horodatage,media,reussis,echecs
2026-06-08T00:24:50,le_journal_du_dimanche,2081,20
2026-06-08T00:24:50,le_monde,724,1377
2026-06-08T00:24:50,le_nouvel_observateur,1987,114
2026-06-08T00:24:50,les_echos,2100,1
2026-06-08T00:24:50,nice_matin,1588,513
2026-06-08T00:24:50,paris_match,2096,5
2026-06-08T00:24:50,telerama,1560,541
2026-06-08T00:24:50,valeurs_actuelles,2100,1
2026-06-08T00:45:41,le_capital,2193,8
2026-06-08T00:45:41,le_figaro,1507,694
2026-06-08T00:45:41,le_journal_du_dimanche,2180,21
2026-06-08T00:45:41,le_monde,749,1452
2026-06-08T00:45:41,le_nouvel_observateur,2084,117
2026-06-08T00:45:41,les_echos,2198,3
2026-06-08T00:45:41,nice_matin,1688,513
2026-06-08T00:45:41,paris_match,2196,5
2026-06-08T00:45:41,telerama,1660,541
2026-06-08T00:45:41,valeurs_actuelles,2200,1
2026-06-08T01:06:29,le_capital,2293,8
2026-06-08T01:06:29,le_figaro,1566,735
2026-06-08T01:06:29,le_journal_du_dimanche,2279,22
2026-06-08T01:06:29,le_monde,784,1517
2026-06-08T01:06:29,le_nouvel_observateur,2181,120
2026-06-08T01:06:29,les_echos,2298,3
2026-06-08T01:06:29,nice_matin,1781,520
2026-06-08T01:06:29,paris_match,2296,5
2026-06-08T01:06:29,telerama,1759,542
2026-06-08T01:06:29,valeurs_actuelles,2300,1
2026-06-08T01:27:51,le_capital,2393,8
2026-06-08T01:27:51,le_figaro,1627,774
2026-06-08T01:27:51,le_journal_du_dimanche,2378,23
2026-06-08T01:27:51,le_monde,816,1585
2026-06-08T01:27:51,le_nouvel_observateur,2278,123
2026-06-08T01:27:51,les_echos,2398,3
2026-06-08T01:27:51,nice_matin,1880,521
2026-06-08T01:27:51,paris_match,2396,5
2026-06-08T01:27:51,telerama,1859,542
2026-06-08T01:27:51,valeurs_actuelles,2400,1
2026-06-08T01:49:23,le_capital,2493,8
2026-06-08T01:49:23,le_figaro,1684,817
2026-06-08T01:49:23,le_journal_du_dimanche,2477,24
2026-06-08T01:49:23,le_monde,853,1648
2026-06-08T01:49:23,le_nouvel_observateur,2373,128
2026-06-08T01:49:23,les_echos,2497,4
2026-06-08T01:49:23,nice_matin,1980,521
2026-06-08T01:49:23,paris_match,2496,5
2026-06-08T01:49:23,telerama,1959,542
2026-06-08T01:49:23,valeurs_actuelles,2500,1
2026-06-08T02:12:40,le_capital,2593,8
2026-06-08T02:12:40,le_figaro,1740,861
2026-06-08T02:12:40,le_journal_du_dimanche,2576,25
2026-06-08T02:12:40,le_monde,881,1720
2026-06-08T02:12:40,le_nouvel_observateur,2472,129
2026-06-08T02:12:40,les_echos,2597,4
2026-06-08T02:12:40,nice_matin,2080,521
2026-06-08T02:12:40,paris_match,2596,5
2026-06-08T02:12:40,telerama,2058,543
2026-06-08T02:12:40,valeurs_actuelles,2600,1
2026-06-08T02:34:59,le_capital,2693,8
2026-06-08T02:34:59,le_figaro,1795,906
2026-06-08T02:34:59,le_journal_du_dimanche,2675,26
2026-06-08T02:34:59,le_monde,913,1788
2026-06-08T02:34:59,le_nouvel_observateur,2569,132
2026-06-08T02:34:59,les_echos,2697,4
2026-06-08T02:34:59,nice_matin,2179,522
2026-06-08T02:34:59,paris_match,2696,5
2026-06-08T02:34:59,telerama,2158,543
2026-06-08T02:34:59,valeurs_actuelles,2700,1
2026-06-08T02:56:40,le_capital,2793,8
2026-06-08T02:56:40,le_figaro,1853,948
2026-06-08T02:56:40,le_journal_du_dimanche,2774,27
2026-06-08T02:56:40,le_monde,951,1850
2026-06-08T02:56:40,le_nouvel_observateur,2667,134
2026-06-08T02:56:40,les_echos,2797,4
2026-06-08T02:56:40,nice_matin,2278,523
2026-06-08T02:56:40,paris_match,2794,7
2026-06-08T02:56:40,telerama,2258,543
2026-06-08T02:56:40,valeurs_actuelles,2800,1
2026-06-08T03:19:30,le_capital,2893,8
2026-06-08T03:19:30,le_figaro,1903,998
2026-06-08T03:19:30,le_journal_du_dimanche,2873,28
2026-06-08T03:19:30,le_monde,982,1919
2026-06-08T03:19:30,le_nouvel_observateur,2763,138
2026-06-08T03:19:30,les_echos,2897,4
2026-06-08T03:19:30,nice_matin,2377,524
2026-06-08T03:19:30,paris_match,2893,8
2026-06-08T03:19:30,telerama,2358,543
2026-06-08T03:19:30,valeurs_actuelles,2900,1
2026-06-08T03:40:29,le_capital,2993,8
2026-06-08T03:40:29,le_figaro,1974,1027
2026-06-08T03:40:29,le_journal_du_dimanche,2971,30
2026-06-08T03:40:29,le_monde,1010,1991
2026-06-08T03:40:29,le_nouvel_observateur,2862,139
2026-06-08T03:40:29,les_echos,2997,4
2026-06-08T03:40:29,nice_matin,2477,524
