rang,zscore,minmax,colonne
1,0.11493933,0.26398468,0.75869443
2,0.07965363,0.08173670,0.03786066
3,0.05571969,0.06767007,0.03243012
4,0.04845604,0.04535593,0.01741995
5,0.04254898,0.03706456,0.01497936
6,0.03788920,0.03358581,0.01210024
7,0.03654644,0.02924003,0.00903747
8,0.03418552,0.02852667,0.00874074
9,0.03172835,0.02476347,0.00787587
10,0.03085365,0.02450155,0.00711539
11,0.02953228,0.02255177,0.00649599
12,0.02850873,0.02177678,0.00603493
13,0.02820048,0.02157926,0.00561080
14,0.02732200,0.02054296,0.00538823
15,0.02634239,0.01992720,0.00519331
16,0.02615249,0.01967063,0.00503004
17,0.02526611,0.01901252,0.00471376
18,0.02469135,0.01843297,0.00469737
19,0.02436708,0.01816287,0.00453527
20,0.02410408,0.01789645,0.00443629
21,0.02382036,0.01757997,0.00436173
22,0.02351469,0.01742217,0.00426510
23,0.02326001,0.01714598,0.00405789
24,0.02290756,0.01689892,0.00393366
25,0.02230108,0.01637872,0.00381117
26,0.02214390,0.01621836,0.00375976
27,0.02155544,0.01578361,0.00366985
28,0.02136197,0.01559539,0.00355687
29,0.02112509,0.01543577,0.00351961
30,0.02100208,0.01530254,0.00338908
31,0.00000000,0.00025567,0.00328509
