mot,date,surprise,c1_s4,c2_s4,c3_s4,c4_s4,c1_s6,c2_s6,c3_s6,c4_s6
premier,20161127,6.2802,-0.8371,0.322,1.6012,2.4585,-0.8728,0.3889,1.9327,2.6011
premier,20170122,7.646,-0.3023,-1.0336,0.0618,1.8894,-0.257,-1.0449,0.2418,2.1194
premier,20170423,12.8775,1.1159,-1.7865,0.0713,1.2333,1.0767,-1.6139,0.328,0.9001
premier,20170611,22.0445,0.5022,-1.4595,0.5621,1.6397,0.4572,-1.4665,0.6878,1.3878
premier,20200315,26.7632,0.4113,-0.3535,1.2621,0.2163,0.1221,-0.3744,1.254,-0.8224
premier,20200628,23.1881,-0.2953,-1.1555,0.4223,-0.081,-0.5683,-1.1319,0.3333,-0.1256
premier,20210627,15.2499,-1.6205,1.4999,1.3864,1.7448,-1.6805,1.5553,1.6747,2.087
premier,20220424,20.5013,-1.3628,-0.3042,1.431,1.2181,-1.3482,-0.3118,1.3755,0.6424
premier,20220612,83.1587,-0.6438,-0.8829,0.2935,-0.1345,-0.9076,-0.8709,0.1115,-0.1566
premier,20240630,22.3726,0.9509,-1.5185,0.5669,1.7695,0.9194,-1.5254,0.7609,1.6403
premier,20251006,4.7486,1.5619,0.545,-0.8335,0.2076,,,,
premier,20260315,39.1397,1.1042,-2.0328,0.3428,1.1953,1.0096,-2.0395,0.4725,1.0486
là,20080601,4.145,-2.3121,0.2978,-2.3167,2.713,,,,
là,20161113,5.1328,-1.8254,1.2515,-1.4819,1.2923,,,,
là,20180715,4.297,-1.3384,0.4392,-1.5664,1.5404,,,,
première,20080323,7.0718,-0.928,1.3832,-0.924,1.9531,-0.7966,1.4201,-0.5014,1.8794
première,20080810,4.0114,-0.2842,-0.8228,-3.6636,2.4368,,,,
première,20080928,7.5736,-2.0293,0.7925,-0.8556,1.9371,-1.8792,0.8422,-0.5836,1.8866
première,20090215,5.9623,-2.3338,-0.0333,-0.5475,1.687,,,,
première,20090412,4.5587,-1.785,-0.9676,-1.0724,3.5526,,,,
première,20090823,5.6473,-2.1196,-0.3073,-1.9324,3.5963,,,,
première,20100214,5.1921,-2.2861,-0.0327,-0.3053,2.7158,,,,
première,20220706,4.6167,-0.3999,1.6912,0.7573,-0.1933,,,,
première,20220911,4.1009,-0.7128,2.5031,-1.3487,2.5211,,,,
paris,20080309,10.7971,-0.3172,0.4488,-2.1285,1.2547,-0.188,0.5545,-1.9206,1.5405
paris,20080419,6.6943,-1.9318,0.1688,0.9568,2.0565,-1.7858,0.2105,1.0635,2.1164
paris,20080622,4.8909,-0.6839,-0.4669,-0.4132,-1.2971,,,,
paris,20150111,8.8338,2.7772,1.6926,-0.3047,-1.1008,2.579,1.7331,-0.308,-0.2051
paris,20151115,34.5446,3.0739,-0.3508,-1.6337,0.366,3.0354,-0.3207,-1.5651,-0.2026
paris,20170501,18.1806,-1.9538,-0.9584,-0.3556,-0.8405,-2.186,-0.9089,-0.6789,-0.2671
paris,20170602,4.6021,0.3514,0.3709,-0.4022,-0.8896,,,,
paris,20181208,5.6585,-0.3914,1.6994,1.186,2.1482,,,,
paris,20190416,22.9952,1.339,0.0326,-0.2549,-0.5379,1.0691,0.0437,-0.3985,-1.1156
paris,20240727,13.2315,2.9787,-0.7608,-2.2629,0.4699,3.0047,-0.5753,-2.0638,0.6944
quatre,20080324,5.1307,-0.4424,0.1406,0.1402,0.2821,,,,
quatre,20080817,11.0696,0.2186,1.2825,-1.3226,0.1565,0.1688,1.2719,-1.3772,0.2636
quatre,20090503,4.9405,-0.8241,-0.6969,-0.5197,1.2492,,,,
quatre,20090830,6.8089,-0.3551,-0.6837,-0.2297,-0.1539,-0.5606,-0.6818,-0.3417,-0.2809
quatre,20131030,5.2532,0.5583,-0.196,-0.63,-1.4757,,,,
quatre,20140420,6.6056,0.9974,1.0867,-1.2597,1.7467,1.1042,1.0882,-0.8672,0.4508
quatre,20160319,4.3368,-0.1363,-0.4006,0.3813,1.1587,,,,
quatre,20180903,4.0492,1.1487,-0.5305,0.1237,-0.3647,,,,
président,20080714,7.7831,-0.255,2.9265,0.1856,0.6398,-0.2429,2.9366,0.1625,0.4762
président,20081105,8.0911,0.8207,-0.0056,0.5422,0.4464,0.6409,-0.0783,0.5777,-0.3626
président,20090101,6.3344,-1.4845,-0.3282,-0.9752,-0.8339,-1.5974,-0.3228,-1.0606,-0.1126
président,20110211,4.2336,-1.7243,3.457,0.8012,-0.0749,,,,
président,20120506,11.0801,1.9314,-2.0525,1.5632,-0.3132,1.6845,-2.0746,1.3591,0.2863
président,20161109,4.243,1.6173,-1.4956,-0.3159,-0.1655,,,,
président,20170508,9.6656,1.8782,-1.3548,-1.8832,0.4664,1.8638,-1.2955,-1.9063,0.444
président,20190926,7.3353,0.8746,-0.9502,-0.0661,-0.5789,0.6467,-0.9975,-0.1857,-0.9434
président,20220425,5.2585,-0.7513,1.9362,0.1161,0.4866,,,,
grand,20080622,10.3765,-0.9523,0.2942,-1.073,1.2014,-0.9256,0.3381,-0.8795,0.5209
grand,20080928,4.1575,-2.5557,-0.2365,-1.1448,0.4156,,,,
grand,20090524,5.8136,-1.4294,-0.268,-2.9435,2.6375,,,,
grand,20090705,5.8649,-1.1739,0.123,-1.6459,3.0967,,,,
grand,20090913,4.0115,-0.5756,0.2816,0.4953,1.5872,,,,
grand,20110605,5.4172,-0.927,1.7672,-1.2324,1.608,,,,
grand,20110828,4.4004,-1.1966,0.7422,-1.6953,0.9114,,,,
grand,20120527,5.359,0.3736,0.9604,-1.7688,0.944,,,,
grand,20170528,4.1239,-1.7891,1.3946,-0.604,1.139,,,,
grand,20190127,7.2334,-1.8359,2.689,-0.6668,1.6954,-1.6071,2.8559,-0.5381,2.3613
grand,20190408,6.408,0.6722,-0.4861,-1.7174,0.9155,0.701,-0.4685,-1.4504,1.0219
grand,20230611,4.3978,-1.8881,0.9408,-1.9659,2.2203,,,,
cinq,20080324,6.6276,-0.4738,0.9122,0.7547,0.3358,-0.5946,1.047,0.885,0.7754
cinq,20100919,4.7468,1.3999,0.6953,-0.4244,0.4094,,,,
cinq,20140601,4.8332,0.3342,0.9763,0.7897,1.1536,,,,
cinq,20170320,4.1886,2.727,0.6644,-1.6277,-0.2166,,,,
cinq,20210418,4.1845,-0.0694,-0.0062,-0.0011,0.3407,,,,
cinq,20220424,17.3654,-0.6806,0.5599,1.8497,1.6799,-0.7262,0.5754,2.0545,0.718
cinq,20220613,5.495,-0.6046,-1.5451,-0.3469,1.325,,,,
devant,20080309,13.1432,-0.8673,-0.9118,-0.967,0.6299,-0.9235,-0.862,-0.9814,0.4347
devant,20080420,4.7409,-1.6451,1.1292,-2.3616,2.3919,,,,
devant,20090426,5.2646,-0.8547,-1.315,-2.6611,1.6907,,,,
devant,20090614,4.7544,-0.4255,0.0057,-1.9548,2.5273,,,,
devant,20090823,4.5505,-2.5915,0.6242,-1.0091,3.2339,,,,
devant,20100314,4.9193,-1.522,-0.5516,-1.3271,2.4378,,,,
devant,20100501,4.2492,0.09,-1.1017,1.5389,1.5446,,,,
devant,20100801,4.2084,-2.2204,0.281,-1.7811,2.5229,,,,
devant,20110306,4.304,-0.4515,0.252,0.0915,1.1183,,,,
devant,20110724,4.0605,-0.9908,1.2119,0.9447,1.1388,,,,
devant,20120422,4.8805,-1.0794,-1.1495,-1.1179,2.2574,,,,
devant,20140323,5.7233,-0.0151,-1.0673,-1.0672,2.4395,,,,
devant,20140525,6.6118,-1.437,-0.4617,0.9606,1.7252,-1.4836,-0.4338,1.1798,0.9442
devant,20151206,8.5649,-0.5729,-1.5085,-0.9081,0.7362,-0.6356,-1.3872,-0.9339,1.046
devant,20190526,4.1976,0.6544,0.0681,0.8573,0.7212,,,,
devant,20210620,4.4605,-0.2934,-0.4631,-0.5909,0.9496,,,,
devant,20220629,7.0319,-1.9769,-0.3427,-0.4563,-0.5633,-2.074,-0.3232,-0.7677,0.3811
jour,20090221,4.706,0.2326,0.928,-0.2113,2.346,,,,
jour,20090725,7.2097,-2.7488,0.6281,-1.0743,1.7849,-2.4311,0.7272,-0.9441,3.0901
jour,20111226,4.2502,2.9279,0.8818,-1.5311,-0.3655,,,,
jour,20200328,16.5195,2.2866,-0.4131,-1.015,0.0449,2.2559,-0.3157,-0.7007,1.9818
jour,20200511,9.027,0.0539,2.8502,2.8132,-0.0362,-0.0967,2.6752,2.7876,0.4513
jour,20241225,7.3391,1.5702,-0.2295,-1.3351,-0.2197,1.4346,-0.152,-1.3305,0.4433
jour,20251225,7.7382,1.7491,-0.94,-0.1035,-0.1093,1.5957,-1.0037,-0.2184,0.3015
dernier,20080313,4.5957,2.1966,-0.5267,-1.4021,1.4448,,,,
dernier,20121222,4.3229,0.2418,-0.7916,-1.4267,-0.5156,,,,
heures,20110917,4.6738,-2.0542,0.4907,-1.8266,2.5486,,,,
heures,20111224,6.7986,-2.0858,0.0789,-0.248,1.0083,-2.0768,0.0422,-0.1463,1.2112
heures,20120908,4.6781,-1.8267,0.6019,-1.8446,1.965,,,,
heures,20121224,7.9007,-0.983,-0.5142,-0.123,-1.7942,-1.2902,-0.5318,-0.5332,-0.8158
heures,20130713,4.1376,-1.4091,-0.4678,-3.0648,0.4724,,,,
heures,20130914,5.0443,-1.3118,2.6523,-2.3385,1.8478,,,,
heures,20140919,4.8102,-0.1382,1.5278,1.0944,2.3674,,,,
heures,20150918,4.3753,-0.9364,1.2927,0.1918,2.8717,,,,
heures,20160916,4.3843,-0.8009,1.3547,0.5563,2.8289,,,,
fin,20080302,5.4369,-0.6125,-0.391,-0.8503,-1.0465,,,,
fin,20080426,4.8522,0.6309,-1.5455,0.479,2.2218,,,,
fin,20081012,5.6131,-0.0586,0.4579,-0.8922,0.7545,,,,
fin,20090524,4.9865,-1.4478,1.5459,1.2299,-0.2764,,,,
fin,20090731,6.0014,2.3401,-1.1366,0.5733,0.1921,2.1722,-1.1897,0.6659,-0.0855
fin,20091004,4.5212,-1.339,0.5879,0.7367,0.9711,,,,
fin,20100822,4.0375,1.2754,-0.4533,-2.1661,-0.5436,,,,
fin,20110619,4.3867,0.5625,1.7728,0.1402,-1.3701,,,,
fin,20121221,5.5076,3.1509,0.0193,-1.6961,-0.4127,,,,
fin,20191221,6.049,1.1853,0.1983,0.9261,0.0732,0.9682,0.1853,0.8511,0.4095
fin,20200301,5.2334,1.0248,0.868,-0.1354,0.3611,,,,
fin,20200501,4.9757,0.6655,0.5388,-1.4036,-1.3174,,,,
fin,20210501,14.272,-0.1022,-1.2563,-0.3033,-0.0406,-0.3123,-1.0842,-0.5232,0.4022
fin,20220423,5.1532,-2.1301,-1.361,-2.3162,-0.0672,,,,
aujourd'hui,20081012,4.1242,0.6342,1.4343,1.4739,-1.8577,,,,
aujourd'hui,20090117,5.0848,0.1634,-0.0023,-2.4598,0.1303,,,,
aujourd'hui,20090307,5.5554,-1.787,0.3993,-1.667,1.8,,,,
aujourd'hui,20090418,5.1513,-2.17,0.0763,-1.6326,2.3647,,,,
aujourd'hui,20090606,6.9506,-2.1192,-0.0267,-2.0954,2.0785,-1.8089,0.1074,-1.7044,3.3189
aujourd'hui,20090815,6.6198,-1.4755,0.2607,-0.978,0.998,-1.3405,0.3429,-0.7467,1.7524
aujourd'hui,20090919,7.6837,-2.2648,0.1179,-1.9117,1.8332,-1.9416,0.2842,-1.6891,2.7288
aujourd'hui,20091024,4.1137,-1.9445,0.0069,-1.9697,2.4211,,,,
aujourd'hui,20091205,7.3712,-1.8758,-0.0881,-1.6807,2.0141,-1.5823,-0.0019,-1.365,2.681
aujourd'hui,20100109,5.0928,-1.5109,-0.5492,-1.2733,2.1087,,,,
aujourd'hui,20100213,4.5698,-2.0016,-0.3873,-1.4439,3.4122,,,,
aujourd'hui,20100327,5.5116,-1.9282,-0.4109,-2.5459,2.9805,,,,
aujourd'hui,20100529,7.0584,-1.3984,0.485,-0.748,2.9342,-1.1253,0.5609,-0.3532,2.8232
aujourd'hui,20100918,5.8011,-1.4872,-0.3836,-0.8174,2.7943,,,,
aujourd'hui,20121224,5.9171,-1.843,-0.5455,0.0567,-1.8258,,,,
jours,20200328,9.2348,2.1596,1.3706,0.5202,0.0687,2.0914,1.3582,0.7428,1.8947
jours,20200511,4.139,1.1161,3.1965,0.8959,0.2767,,,,
jours,20220102,6.8646,1.5814,2.2192,1.606,-0.5496,1.3065,2.1539,1.5792,0.3283
jours,20250716,4.9143,0.8405,0.6633,-0.8376,0.4606,,,,
grande,20090621,6.7519,-1.1636,-0.2867,-1.194,1.7434,-1.0811,-0.1459,-1.0329,1.6851
grande,20120904,4.0429,2.101,-0.4361,-1.4876,-0.9985,,,,
grande,20130903,4.218,0.2685,1.7509,0.8697,0.281,,,,
grande,20140713,5.0931,-2.2817,-0.3681,-0.4871,3.1316,,,,
grande,20140903,4.417,2.2285,1.2826,1.1464,-0.3201,,,,
grande,20141111,5.6571,2.2466,0.9304,0.4192,-1.1648,,,,
grande,20150719,6.0024,0.4746,-0.9883,-1.8402,1.0436,0.5108,-0.9011,-1.6602,1.0575
grande,20160624,6.9571,1.7665,-1.7529,-0.3625,0.3895,1.6765,-1.6963,-0.426,1.071
grande,20170523,15.9377,0.1778,-2.1315,-0.1649,-1.0811,-0.0183,-2.1096,-0.3356,-0.3398
grande,20181111,11.9997,0.3098,3.7107,-0.3043,-0.3104,0.2252,3.7876,-0.234,0.6821
grande,20220703,4.6172,0.9477,-1.1685,-1.6451,0.5982,,,,
grande,20240824,7.1048,0.1346,-1.5327,1.8602,1.4719,0.0119,-1.5547,1.8813,0.544
grande,20260704,4.8975,0.8158,-0.3837,-0.1638,0.1347,,,,
français,20080622,4.98,-0.6637,-0.8553,-0.2877,0.3534,,,,
français,20080824,7.0958,-2.2459,3.7906,1.4635,1.1781,-2.1275,3.7928,1.6396,2.4752
français,20110109,10.0328,-0.6002,-0.2372,-0.0462,0.4769,-0.7125,-0.2699,-0.0921,0.5188
français,20111023,4.0878,-0.2465,2.5733,1.1954,-0.2271,,,,
français,20120122,5.1362,-0.0048,1.0538,0.2459,2.2602,,,,
français,20120311,4.0141,0.1832,0.0906,0.3241,0.3196,,,,
français,20120506,6.4742,-0.5038,0.5518,0.8563,0.5542,-0.5762,0.6319,0.7377,0.3888
français,20151115,6.5886,2.5699,-0.2356,-0.1083,-0.5309,2.3625,-0.2697,-0.3062,-0.7549
français,20240802,4.2736,2.5218,0.8706,1.0151,1.0309,,,,
mois,20081224,9.7471,-0.4795,1.0111,-1.3342,1.3374,-0.4095,1.1112,-1.1254,1.0741
mois,20120627,5.026,-0.502,-0.8079,-1.8156,0.8611,,,,
place,20090620,4.8622,0.3781,1.1861,0.5565,1.573,,,,
place,20140726,5.6952,-2.5576,0.4833,0.1804,2.7315,,,,
place,20150111,6.1967,-0.0361,2.6014,-1.037,-0.2438,-0.1127,2.651,-0.9629,-0.483
place,20171209,4.0223,-1.0558,-0.114,-1.6274,2.92,,,,
place,20181208,4.805,-1.432,0.2335,-1.3934,3.3913,,,,
place,20220612,16.4903,-1.6148,-0.1679,-0.6578,-0.7724,-1.8451,-0.1132,-0.905,-0.3988
pays,20080612,6.2477,2.5728,-0.1959,0.5809,-0.8904,2.4019,-0.1786,0.5842,0.981
pays,20080730,6.1158,-0.8286,1.5965,-0.6546,-0.1817,-0.8971,1.6727,-0.566,0.0972
pays,20081012,6.6314,0.6176,-0.1801,0.9536,-0.7213,0.3181,-0.1536,0.8221,-0.4238
pays,20111101,5.908,-0.8369,1.1927,1.7083,0.3441,,,,
pays,20151212,4.7802,-0.2989,2.4289,1.9519,-0.9751,,,,
pays,20160624,4.0788,0.3977,-1.0005,-0.3051,-0.9856,,,,
pays,20210816,4.1521,2.6665,-0.0627,0.7578,0.9112,,,,
pays,20220227,6.1012,3.9457,-0.8196,-0.8172,-0.8641,3.835,-0.7857,-0.8173,0.4161
nouveau,20080324,30.7279,-0.2894,1.5545,1.261,0.1301,-0.5349,1.582,1.3015,0.541
nouveau,20081105,6.5375,1.474,-1.5063,0.5206,0.5493,1.3121,-1.5274,0.5635,-0.0221
nouveau,20090120,4.0897,0.5972,1.5094,0.5939,1.5742,,,,
nouveau,20101114,15.0775,1.6217,-1.0005,0.9996,-0.1617,1.343,-1.0621,0.8959,-0.7332
nouveau,20120515,12.1508,1.4681,0.7533,0.637,2.0433,1.4582,0.7222,1.097,2.2183
nouveau,20121127,4.4886,1.4479,-0.2012,-0.7793,1.5725,,,,
nouveau,20130314,6.1207,0.8096,1.6644,-0.5999,-0.4345,0.6467,1.6406,-0.6198,-0.9429
nouveau,20140402,14.8439,3.5163,0.367,-1.762,0.0835,3.4732,0.4167,-1.559,0.1664
nouveau,20140826,5.1198,2.6594,-1.6323,-1.3205,1.2734,,,,
nouveau,20170508,11.0435,2.3254,-2.1467,-2.4748,1.1549,2.459,-2.0071,-2.4052,1.6615
nouveau,20200526,5.5,3.1984,-0.7924,0.1584,0.1529,,,,
nouveau,20200705,10.6324,3.3392,0.1952,0.6523,-0.5358,3.0884,0.1798,0.606,-0.2932
nouveau,20201029,5.7819,2.5021,-0.4147,-0.6487,-0.1816,,,,
nouveau,20211129,5.9977,2.5648,0.5397,-0.1891,0.0046,,,,
nouveau,20240707,31.1262,-0.5895,0.6518,2.6026,2.1273,-0.6845,0.6457,2.9725,2.1043
nouveau,20240922,5.0123,1.7953,1.1221,1.2122,0.4784,,,,
nouveau,20241213,4.5205,0.3192,0.7297,-0.0022,-1.4275,,,,
nouveau,20250508,5.2828,1.3069,-0.1651,0.2291,-0.2887,,,,
nouveau,20260324,6.2593,2.7463,0.4746,-1.034,0.1615,2.6752,0.4169,-0.9127,-0.1915
général,20080522,4.1896,1.1811,0.0927,-0.5846,0.4917,,,,
général,20080713,6.523,0.9446,-0.9131,1.6415,0.1397,0.6752,-0.8994,1.6025,-0.3664
général,20110327,9.1126,-0.0801,0.7352,2.3406,0.253,-0.3661,0.6713,2.3667,0.3777
général,20110515,4.4182,0.4336,-2.0828,2.3061,-0.631,,,,
général,20120331,4.3241,-0.0462,-0.5371,-0.6468,-0.6813,,,,
part,20080201,4.6763,-1.7711,-0.0263,-1.4221,0.4036,,,,
part,20080423,4.5404,-0.5423,1.6483,-0.0589,2.3874,,,,
part,20080624,4.3352,-1.371,0.5284,-1.8329,1.8849,,,,
part,20080804,4.169,-1.2371,-0.162,2.6062,-0.0535,,,,
part,20081026,4.4345,-1.8681,0.1294,1.4785,-0.3069,,,,
part,20220612,14.6967,-1.4531,-0.4718,0.2346,-1.4921,-1.787,-0.4213,-0.2472,-1.0117
plusieurs,20260723,4.1003,0.837,-1.8815,-2.6724,1.1568,,,,
faut,20080413,4.8992,-2.334,-0.4459,-0.8193,2.629,,,,
faut,20080615,5.6143,0.599,0.907,0.036,-1.1161,,,,
faut,20080927,5.9237,0.6976,-1.1516,-0.122,0.5723,,,,
faut,20090906,4.8902,-1.431,-0.784,-1.3936,1.0651,,,,
faut,20100829,4.7189,-1.7743,0.4084,-1.6492,1.914,,,,
faut,20170115,5.7005,-0.4776,-0.8299,-1.828,0.0292,,,,
faut,20190113,7.3162,0.0925,-0.3927,-0.634,0.401,-0.0575,-0.3216,-0.4372,0.7732
politique,20080424,4.2707,-1.7755,0.8503,-0.3103,0.7728,,,,
politique,20081105,4.5507,-0.2522,-0.4791,-0.4597,0.6385,,,,
politique,20101114,4.8764,1.0945,-0.6052,2.2115,-0.4026,,,,
politique,20120507,4.4853,2.5243,0.7712,1.5015,1.1759,,,,
politique,20140408,4.2436,-1.3623,2.7807,1.3083,1.7331,,,,
politique,20140526,4.115,1.3484,-0.2202,0.8698,0.5562,,,,
politique,20140825,7.0644,2.8552,-0.5783,0.2219,0.8468,2.7063,-0.5424,0.4091,0.1718
politique,20170424,6.1747,0.3204,-1.4477,-1.7338,1.0027,0.4219,-1.2074,-1.7348,1.1826
politique,20190527,4.5674,0.3114,2.2848,0.0897,0.8374,,,,
politique,20190926,5.7957,-0.1981,-1.0531,0.6556,-0.3161,,,,
politique,20240610,4.0512,3.0181,-2.1592,-1.1341,0.6398,,,,
politique,20251006,4.074,1.9018,-1.6367,-0.5739,0.8191,,,,
partie,20090101,5.653,-1.2857,1.1411,0.2031,-0.6534,,,,
partie,20190416,5.1964,-0.3178,0.504,1.2235,1.0352,,,,
partie,20191221,7.0668,0.6721,-1.3529,0.03,1.9822,0.7727,-1.2055,0.0678,1.8555
partie,20200126,6.001,-1.2301,0.7986,-1.5583,0.6002,-1.0923,0.8433,-1.5849,0.4412
partie,20200307,6.2677,-1.6872,1.6403,0.7722,2.2447,-1.5606,1.6925,1.1213,2.3454
partie,20200501,10.0312,-1.3346,1.1167,0.7372,0.054,-1.5262,1.1994,0.4721,0.5949
partie,20200607,6.0155,1.2269,0.3242,-2.2648,1.5486,1.4506,0.371,-1.9678,1.3048
partie,20200718,4.4941,-1.0146,-1.3794,-1.1601,0.9348,,,,
partie,20200823,8.0731,-0.6095,2.0599,0.1445,1.549,-0.5139,2.052,0.4668,1.3709
partie,20210523,5.5628,-0.8621,3.1091,1.7766,1.2088,,,,
partie,20220812,4.0706,-0.8752,0.5465,1.0341,-0.5876,,,,
dix,20080825,5.0464,1.1432,1.9153,1.2938,0.4388,,,,
dix,20090727,6.7767,-0.2328,0.0828,-0.3675,-0.3392,-0.3697,0.1729,-0.5403,0.1929
dix,20100131,4.1833,0.1329,-0.0721,0.671,1.7263,,,,
dix,20110909,4.8408,1.9722,0.0433,1.5551,-0.6018,,,,
