seuil,composante,cote,rang,mot,date,surprise,coefficient,parlant
4,1,positif,1,virus,20200317,6.1,4.5915,0
4,1,positif,2,certains,20200320,6.86,4.5888,0
4,1,positif,3,précautions,20200314,12.88,4.5437,0
4,1,positif,4,disponibles,20200317,4.12,4.54,0
4,1,positif,5,téléphonique,20200317,16.41,4.5301,0
4,1,positif,6,guerre,20220301,11.39,4.4774,1
4,1,positif,7,strict,20200317,7.12,4.4701,0
4,1,positif,8,continuent,20200320,17.96,4.4597,0
4,1,positif,9,télétravail,20200317,4.33,4.4592,1
4,1,positif,10,l'instant,20200317,10.88,4.4559,0
4,1,positif,11,gens,20200320,5.95,4.4503,1
4,1,positif,12,denrées,20200317,5.08,4.4404,0
4,1,positif,13,ouverts,20200314,15.59,4.4316,0
4,1,positif,14,s'occuper,20200320,13.7,4.4197,0
4,1,positif,15,personnels,20200320,18.7,4.4185,0
4,1,negatif,1,mondial,20100711,5.61,-4.6365,1
4,1,negatif,2,création,20200311,4.86,-4.5822,1
4,1,negatif,3,créer,20200311,6.74,-4.4762,0
4,1,negatif,4,développer,20200311,5.49,-4.4618,0
4,1,negatif,5,sortant,20140331,9.1,-4.4041,0
4,1,negatif,6,positives,20200519,6.36,-4.3935,0
4,1,negatif,7,présente,20080314,11.7,-4.3818,1
4,1,negatif,8,urbain,20200311,4.57,-4.3503,0
4,1,negatif,9,s'engage,20200311,4.17,-4.3364,0
4,1,negatif,10,ouvertes,20091002,5.12,-4.2897,0
4,1,negatif,11,distance,20200621,4.85,-4.2646,0
4,1,negatif,12,thématiques,20200311,5.21,-4.2339,1
4,1,negatif,13,environnement,20200311,8.35,-4.1933,0
4,1,negatif,14,législative,20120618,4.28,-4.173,0
4,1,negatif,15,d'association,20140322,5.6,-4.1316,0
4,2,positif,1,retraité,20200225,23.21,4.259,1
4,2,positif,2,ans,20200222,13.92,4.2406,0
4,2,positif,3,tissu,20200504,25.3,4.1809,0
4,2,positif,4,tissus,20200504,12.24,4.1578,0
4,2,positif,5,septembre,20250917,4.16,4.1511,0
4,2,positif,6,agent,20140307,7.57,4.1507,0
4,2,positif,7,conseillère,20200222,12.81,4.1329,1
4,2,positif,8,ouvrier,20260301,5.88,4.0968,0
4,2,positif,9,ingénieur,20200222,13.22,4.0902,0
4,2,positif,10,retraité,20140307,19.55,4.0778,1
4,2,positif,11,ingénieur,20140301,11.15,4.0651,0
4,2,positif,12,ux,20140118,4.03,4.0622,0
4,2,positif,13,liste,20200305,6.8,4.0234,1
4,2,positif,14,technicien,20200222,7.34,4.0231,0
4,2,positif,15,comptable,20140301,5.98,4.0104,0
4,2,negatif,1,droit,20080320,5.19,-3.4496,1
4,2,negatif,2,rendent,20240706,4.09,-3.3208,0
4,2,negatif,3,soins,20210707,4.33,-3.2854,0
4,2,negatif,4,rapidité,20260518,5.14,-3.2725,0
4,2,negatif,5,monsieur,20240817,5.8,-3.1968,0
4,2,negatif,6,rentre,20120624,5.08,-3.1864,0
4,2,negatif,7,gueule,20160329,4.25,-3.1839,0
4,2,negatif,8,niveau,20171216,4.45,-3.1347,0
4,2,negatif,9,l'observatoire,20120627,6.2,-3.1082,0
4,2,negatif,10,bêtes,20160703,5.19,-3.0948,0
4,2,negatif,11,consultant,20260112,5.99,-3.0797,0
4,2,negatif,12,express,20230603,4.09,-3.0602,0
4,2,negatif,13,trimestres,20081004,6.71,-3.0482,1
4,2,negatif,14,reconnaître,20110311,5.69,-3.043,0
4,2,negatif,15,numéros,20171122,4.1,-3.0333,0
4,3,positif,1,l'île,20170908,5.31,3.2697,0
4,3,positif,2,occupent,20140409,4.64,3.2629,0
4,3,positif,3,retailleau,20251005,5.75,3.1919,1
4,3,positif,4,coûts,20081203,4.95,3.1714,0
4,3,positif,5,rachida,20090102,4.06,3.151,1
4,3,positif,6,session,20240826,4.02,3.1287,0
4,3,positif,7,l'egypte,20130815,7.66,3.1268,0
4,3,positif,8,stabilité,20251005,4.02,3.0947,0
4,3,positif,9,règne,20081224,4.91,3.0656,0
4,3,positif,10,magnifique,20210905,6.86,3.0401,0
4,3,positif,11,froid,20210210,4.64,3.024,0
4,3,positif,12,égyptiens,20130815,7.21,2.9715,0
4,3,positif,13,notation,20120114,14.97,2.9608,1
4,3,positif,14,frères,20130815,17.55,2.9608,0
4,3,positif,15,respecter,20200829,5.96,2.9605,0
4,3,negatif,1,moyennes,20080907,4.53,-3.7999,0
4,3,negatif,2,cahiers,20181220,5.22,-3.7181,0
4,3,negatif,3,partie,20200501,4.65,-3.4978,1
4,3,negatif,4,prioritaires,20201203,4.03,-3.4957,0
4,3,negatif,5,golfe,20100503,4.69,-3.4786,0
4,3,negatif,6,dj,20260620,4.25,-3.4339,1
4,3,negatif,7,soutenir,20200311,4.95,-3.384,0
4,3,negatif,8,rurale,20240201,15.8,-3.361,0
4,3,negatif,9,alexandre,20190101,11.5,-3.3386,0
4,3,negatif,10,représentants,20181108,5.49,-3.2893,1
4,3,negatif,11,prime,20251008,5.01,-3.27,0
4,3,negatif,12,favori,20110904,4.45,-3.2348,0
4,3,negatif,13,coordination,20240201,9.99,-3.2332,0
4,3,negatif,14,valu,20190107,4.71,-3.2324,0
4,3,negatif,15,carnet,20090514,5.5,-3.2233,0
4,4,positif,1,immobilier,20080326,4.76,3.7014,0
4,4,positif,2,pouvaient,20080413,4.96,3.6885,0
4,4,positif,3,prévoit,20081203,4.23,3.6023,0
4,4,positif,4,craintes,20081016,7.33,3.583,0
4,4,positif,5,fonctionnaires,20100608,4.02,3.5727,0
4,4,positif,6,jones,20140430,4.01,3.5483,0
4,4,positif,7,demain,20090905,4.89,3.5299,0
4,4,positif,8,redressement,20120516,4.81,3.4921,0
4,4,positif,9,l'entraînement,20090806,5.55,3.4215,0
4,4,positif,10,demain,20100424,4.95,3.4208,0
4,4,positif,11,reçoivent,20100319,8.03,3.4181,0
4,4,positif,12,spécialiste,20240814,6.72,3.4082,0
4,4,positif,13,nette,20081016,4.39,3.3624,0
4,4,positif,14,remis,20131201,4.02,3.3498,0
4,4,positif,15,finir,20230513,4.14,3.3232,0
4,4,negatif,1,demi,20180711,5.86,-2.766,0
4,4,negatif,2,imprimé,20190528,5.11,-2.7211,0
4,4,negatif,3,demi,20221214,4.24,-2.6661,0
4,4,negatif,4,serge,20150425,5.88,-2.6338,0
4,4,negatif,5,initial,20260118,5.85,-2.5628,0
4,4,negatif,6,privée,20200216,6.82,-2.5541,0
4,4,negatif,7,fixant,20160730,6.98,-2.5283,0
4,4,negatif,8,humanitaires,20240404,4.29,-2.5152,0
4,4,negatif,9,navire,20150101,8.54,-2.502,0
4,4,negatif,10,pape,20090511,4.95,-2.4859,0
4,4,negatif,11,sages,20250809,5.5,-2.4802,0
4,4,negatif,12,chef,20110504,4.62,-2.4724,1
4,4,negatif,13,judo,20120802,7.77,-2.462,1
4,4,negatif,14,xvi,20090511,8.42,-2.4282,1
4,4,negatif,15,lancés,20140822,4.67,-2.4235,0
6,1,positif,1,téléphonique,20200317,16.41,4.46,0
6,1,positif,2,virus,20200317,6.1,4.4284,0
6,1,positif,3,précautions,20200314,12.88,4.3974,0
6,1,positif,4,certains,20200320,6.86,4.3932,0
6,1,positif,5,guerre,20220301,11.39,4.3871,1
6,1,positif,6,l'instant,20200317,10.88,4.3474,0
6,1,positif,7,ukrainiens,20220301,6.98,4.3399,1
6,1,positif,8,réfugiés,20220301,7.98,4.3338,0
6,1,positif,9,personnels,20200320,18.7,4.3222,0
6,1,positif,10,éviter,20200317,12.03,4.3187,0
6,1,positif,11,ouverts,20200314,15.59,4.3125,0
6,1,positif,12,s'occuper,20200320,13.7,4.3085,0
6,1,positif,13,continuent,20200320,17.96,4.3013,0
6,1,positif,14,ukrainien,20220226,6.26,4.2829,1
6,1,positif,15,strict,20200317,7.12,4.2668,0
6,1,negatif,1,créer,20200311,6.74,-4.1813,0
6,1,negatif,2,présente,20080314,11.7,-4.1361,1
6,1,negatif,3,environnement,20200311,8.35,-4.034,0
6,1,negatif,4,positives,20200519,6.36,-4.0332,0
6,1,negatif,5,sortant,20140331,9.1,-3.9169,0
6,1,negatif,6,johannesburg,20100711,14.03,-3.7022,1
6,1,negatif,7,l'air,20210523,6.36,-3.6752,0
6,1,negatif,8,conseillers,20080323,24.37,-3.6721,0
6,1,negatif,9,propositions,20200311,7.07,-3.6157,0
6,1,negatif,10,quartiers,20200311,7.09,-3.5641,0
6,1,negatif,11,durable,20080401,9.28,-3.5618,0
6,1,negatif,12,souhaitons,20200311,7.97,-3.55,0
6,1,negatif,13,rio,20140714,6.06,-3.5391,0
6,1,negatif,14,dominique,20080323,6.12,-3.5275,1
6,1,negatif,15,nord,20210523,12.25,-3.5221,1
6,2,positif,1,tissus,20200504,12.24,4.1504,0
6,2,positif,2,agent,20140307,7.57,4.1086,0
6,2,positif,3,retraité,20200225,23.21,4.0926,1
6,2,positif,4,tissu,20200504,25.3,4.0571,0
6,2,positif,5,ans,20200222,13.92,4.0472,0
6,2,positif,6,comptable,20260226,6.27,4.0468,0
6,2,positif,7,ans,20140307,7.84,4.0418,0
6,2,positif,8,retraité,20140307,19.55,3.9952,1
6,2,positif,9,liste,20200305,6.8,3.9766,1
6,2,positif,10,conseillère,20200222,12.81,3.967,1
6,2,positif,11,d'âge,20140304,6.26,3.9053,0
6,2,positif,12,ingénieur,20200222,13.22,3.8942,0
6,2,positif,13,annan,20170908,300.0,3.8785,1
6,2,positif,14,ingénieur,20140301,11.15,3.878,0
6,2,positif,15,technicien,20200222,7.34,3.8182,0
6,2,negatif,1,l'observatoire,20120627,6.2,-2.8493,0
6,2,negatif,2,trimestres,20081004,6.71,-2.7657,1
6,2,negatif,3,partisans,20110203,7.04,-2.664,0
6,2,negatif,4,répercussions,20080916,8.83,-2.6184,0
6,2,negatif,5,acteur,20240817,6.64,-2.6068,0
6,2,negatif,6,efficaces,20201221,6.3,-2.5973,0
6,2,negatif,7,charles,20081224,9.8,-2.5903,0
