valeur_propre_s4,valeur_propre_s6
1.662601,1.709798
1.502626,1.550154
0.990128,0.954513
0.875679,0.82818
0.692581,0.626927
0.558646,0.472496
0.532772,0.46271
0.518041,0.432613
0.465584,0.369832
0.43717,0.336868
0.408175,0.320972
0.394129,0.296646
0.372383,0.287143
0.357345,0.262249
0.33417,0.243874
0.317752,0.236864
0.307217,0.222605
0.305257,0.218837
0.278514,0.205503
0.274552,0.199411
0.269938,0.187849
0.264717,0.185664
0.252443,0.174998
0.246754,0.169703
0.241069,0.163212
0.238001,0.160361
0.233685,0.156732
0.229142,0.153669
0.223871,0.152226
0.219297,0.143479
0.0,0.0
