mot,date,surprise,c1_s4,c2_s4,c3_s4,c4_s4,c1_s6,c2_s6,c3_s6,c4_s6
ans,20140307,7.84,-1.9494,3.9582,0.6652,1.1069,-1.4447,4.0418,1.6642,0.6988
ans,20200222,13.918,-0.158,4.2406,1.3607,1.2355,0.3997,4.0472,2.0673,0.6813
ans,20260223,13.8714,-0.5834,3.9537,1.0844,1.2656,-0.1023,3.8077,1.9572,0.7417
france,20080703,8.0425,-2.1295,2.7494,1.1337,0.7593,-1.7303,2.8021,1.8532,0.3813
france,20100620,4.085,1.1323,1.7443,1.3927,0.2431,,,,
france,20120114,5.4391,1.1187,0.2091,-1.0941,0.0604,,,,
france,20151115,10.6769,-0.3593,-0.6209,2.1889,-0.8983,-0.343,-0.8739,1.6334,-1.2361
france,20160709,5.5825,-1.6326,0.7075,1.1309,-1.0487,,,,
france,20180714,6.7451,-1.4278,2.3024,1.5435,-1.2607,-1.1499,2.1737,1.5007,-1.6332
france,20240811,4.9038,-3.7589,2.0579,-0.1741,0.4574,,,,
temps,20191224,6.7062,2.5459,1.6207,-0.3695,1.5828,2.6907,1.4501,0.1281,1.6538
temps,20200425,10.3668,-0.2448,1.6928,-0.6745,3.0279,0.0124,1.9094,0.3588,2.8696
temps,20200823,16.1068,-0.9651,2.5758,0.3963,1.7427,-0.6394,2.6555,1.0951,1.434
temps,20210502,4.949,0.6004,1.4965,0.3168,2.7688,,,,
monde,20080817,7.216,0.5721,2.5604,0.6639,-0.1938,0.8137,2.3947,0.8668,-0.3623
monde,20100611,8.9839,3.0789,0.7144,-0.9825,1.1279,3.0029,0.5609,-0.982,1.3169
monde,20110910,4.7254,-0.0826,-1.2772,-2.9212,1.6739,,,,
monde,20140714,5.1579,-4.0458,0.7879,-0.1515,0.6838,,,,
monde,20180714,19.1933,0.2977,1.5292,1.5205,-0.9498,0.4362,1.1962,1.3383,-1.4217
monde,20221217,8.1543,-1.8908,2.2967,1.4243,0.962,-1.4971,2.3143,1.8516,0.3683
monde,20230907,4.3123,-1.5726,0.3846,2.0759,-0.3822,,,,
monde,20260611,4.9241,4.0611,-0.6061,-0.8362,0.7406,,,,
premier,20080323,16.9769,-1.1636,1.9456,-1.8328,0.7009,-1.2162,2.2735,-0.9724,1.2319
premier,20080901,4.2329,-2.7127,1.7779,0.0809,0.1262,,,,
premier,20120422,8.5745,2.4465,-0.2804,-1.1044,0.9927,2.2467,-0.3107,-1.1956,1.3436
premier,20140331,12.1073,0.6514,1.8599,-1.0837,0.627,0.5658,1.9012,-0.6142,1.0254
premier,20150323,7.1311,0.04,-0.3553,0.7854,0.6536,-0.0863,-0.4855,0.9499,0.6451
premier,20151206,6.0094,1.2357,-0.5841,1.0293,0.5081,1.1284,-0.8034,0.928,0.4461
premier,20170423,8.8327,1.9799,-0.3834,-0.6988,0.8868,1.7811,-0.4515,-0.8725,1.0725
premier,20200314,6.8271,0.2944,-0.0982,1.4841,-0.9168,0.2498,-0.3888,1.2073,-1.1246
premier,20200627,5.4528,-0.6611,0.0789,1.9941,0.0963,,,,
premier,20210628,4.7681,-1.8949,2.1759,-1.655,0.7651,,,,
premier,20220611,32.9249,-0.073,-1.064,0.3585,0.0627,-0.2769,-1.1058,0.135,0.2751
premier,20240630,12.4874,0.5323,0.6507,1.2502,0.4041,0.5271,0.354,1.2922,0.1611
premier,20260316,24.2098,1.1596,-0.2814,1.0611,0.428,1.0365,-0.5935,1.0102,0.3341
paris,20080308,5.683,0.7293,-3.0176,-1.9457,0.5898,,,,
paris,20150110,9.0597,1.2736,-0.3472,0.1844,-2.0528,1.105,-0.523,-0.6385,-1.8505
paris,20151115,38.1216,1.9166,-0.594,1.1761,0.1002,1.7507,-1.0045,0.8248,-0.0264
paris,20181202,4.0204,1.6368,0.4412,1.2957,1.0502,,,,
paris,20190416,17.3557,-0.3112,-0.7322,0.8793,-0.4462,-0.5201,-0.8993,0.5786,-0.4729
paris,20240727,14.8842,2.0726,1.3054,0.5846,0.4458,2.1218,0.994,0.4663,0.2974
quatre,20080817,5.9979,-0.5119,1.4835,1.2178,0.359,,,,
