a,b,lag,pearson,spearman,pearson_seg,spearman_seg,n
lemonde,ouestfrance,-4,0.1846,0.2959,-0.0172,-0.0197,26118
lemonde,ouestfrance,-3,0.1638,0.2946,-0.0283,-0.0285,26118
lemonde,ouestfrance,-2,0.1389,0.2937,-0.0384,-0.0354,26118
lemonde,ouestfrance,-1,0.1758,0.3029,-0.0190,-0.0272,26118
lemonde,ouestfrance,0,0.2504,0.3519,0.0684,0.0703,26118
lemonde,ouestfrance,1,0.2477,0.3680,0.0547,0.0519,26118
lemonde,ouestfrance,2,0.2029,0.3317,0.0040,-0.0024,26118
lemonde,ouestfrance,3,0.1457,0.3152,0.0028,-0.0004,26118
lemonde,ouestfrance,4,0.1515,0.3082,-0.0075,-0.0119,26118
lemonde,ouestfrance,5,0.1334,0.3010,-0.0165,-0.0231,26118
lemonde,ouestfrance,6,0.1227,0.2841,-0.0301,-0.0338,26118
lemonde,ouestfrance,7,0.1572,0.2935,-0.0251,-0.0296,26118
lemonde,ouestfrance,8,0.1702,0.3070,0.0064,0.0025,26118
lemonde,ouestfrance,9,0.1525,0.3004,0.0005,0.0018,26118
lemonde,ouestfrance,10,0.1328,0.2987,0.0194,0.0158,26118
lemonde,ouestfrance,11,0.1279,0.2822,-0.0071,-0.0013,26118
lemonde,ouestfrance,12,0.1345,0.2780,-0.0039,-0.0021,26118
lemonde,ouestfrance,13,0.1270,0.2787,-0.0084,-0.0051,26118
lemonde,ouestfrance,14,0.1243,0.2819,0.0023,-0.0007,26118
lemonde,ouestfrance,15,0.1328,0.2835,0.0143,0.0191,26118
lefigaro,lemonde,-15,0.5020,0.3934,-0.0281,-0.0104,26118
lefigaro,lemonde,-14,0.4578,0.3787,-0.0423,-0.0234,26118
lefigaro,lemonde,-13,0.5183,0.3986,-0.0363,-0.0209,26118
lefigaro,lemonde,-12,0.5226,0.4024,-0.0372,-0.0178,26118
lefigaro,lemonde,-11,0.5236,0.4083,-0.0389,-0.0216,26118
lefigaro,lemonde,-10,0.4944,0.4104,-0.0335,-0.0167,26118
lefigaro,lemonde,-9,0.5178,0.4017,-0.0488,-0.0296,26118
lefigaro,lemonde,-8,0.5289,0.4115,-0.0392,-0.0127,26118
lefigaro,lemonde,-7,0.4722,0.4037,-0.0417,-0.0284,26118
lefigaro,lemonde,-6,0.5436,0.4178,-0.0412,-0.0320,26118
lefigaro,lemonde,-5,0.5719,0.4238,-0.0606,-0.0473,26118
lefigaro,lemonde,-4,0.5685,0.4387,-0.0387,-0.0273,26118
lefigaro,lemonde,-3,0.5542,0.4516,-0.0306,-0.0163,26118
lefigaro,lemonde,-2,0.5679,0.4620,-0.0274,-0.0214,26118
lefigaro,lemonde,-1,0.5610,0.5077,0.0279,0.0235,26118
lefigaro,lemonde,0,0.5572,0.6193,0.2710,0.2681,26118
lefigaro,lemonde,1,0.6715,0.5984,0.1700,0.1644,26118
lefigaro,lemonde,2,0.6416,0.5133,0.0351,0.0432,26118
lefigaro,lemonde,3,0.6128,0.4838,-0.0021,0.0103,26118
lefigaro,lemonde,4,0.6019,0.4718,-0.0139,0.0006,26118
lefigaro,lemonde,5,0.5876,0.4669,-0.0098,0.0061,26118
lefigaro,lemonde,6,0.5383,0.4541,-0.0169,-0.0026,26118
lefigaro,lemonde,7,0.4729,0.4371,-0.0199,-0.0110,26118
lefigaro,lemonde,8,0.5460,0.4523,-0.0131,0.0005,26118
lefigaro,lemonde,9,0.5532,0.4304,-0.0360,-0.0208,26118
lefigaro,lemonde,10,0.5600,0.4182,-0.0407,-0.0227,26118
lefigaro,lemonde,11,0.5399,0.4207,-0.0379,-0.0230,26118
lefigaro,lemonde,12,0.5175,0.4066,-0.0450,-0.0307,26118
lefigaro,lemonde,13,0.5223,0.4080,-0.0358,-0.0146,26118
lefigaro,lemonde,14,0.4934,0.4012,-0.0316,-0.0083,26118
lefigaro,lemonde,15,0.5347,0.4055,-0.0414,-0.0286,26118
lefigaro,lefigaro,-15,0.5537,0.4568,-0.0707,0.0038,26118
lefigaro,lefigaro,-14,0.5863,0.4759,-0.0564,0.0086,26118
lefigaro,lefigaro,-13,0.5793,0.4830,-0.0701,-0.0001,26118
lefigaro,lefigaro,-12,0.5831,0.4791,-0.0910,-0.0194,26118
lefigaro,lefigaro,-11,0.5778,0.4765,-0.0873,-0.0201,26118
lefigaro,lefigaro,-10,0.5789,0.4774,-0.0858,-0.0217,26118
lefigaro,lefigaro,-9,0.5860,0.4777,-0.0942,-0.0285,26118
lefigaro,lefigaro,-8,0.5698,0.4801,-0.0860,-0.0191,26118
lefigaro,lefigaro,-7,0.6224,0.5068,-0.0591,-0.0107,26118
lefigaro,lefigaro,-6,0.6157,0.5072,-0.0754,-0.0215,26118
lefigaro,lefigaro,-5,0.6199,0.5043,-0.0909,-0.0363,26118
lefigaro,lefigaro,-4,0.6256,0.5165,-0.0857,-0.0288,26118
lefigaro,lefigaro,-3,0.6264,0.5221,-0.0857,-0.0398,26118
lefigaro,lefigaro,-2,0.6464,0.5462,-0.0812,-0.0457,26118
lefigaro,lefigaro,-1,0.6659,0.5956,-0.0386,-0.0157,26118
lefigaro,lefigaro,0,1.0000,1.0000,1.0000,1.0000,26118
lefigaro,lefigaro,1,0.7579,0.6629,0.0522,0.0779,26118
lefigaro,lefigaro,2,0.7048,0.6014,-0.0164,0.0195,26118
lefigaro,lefigaro,3,0.6724,0.5694,-0.0447,0.0021,26118
lefigaro,lefigaro,4,0.6534,0.5557,-0.0523,-0.0041,26118
lefigaro,lefigaro,5,0.6444,0.5439,-0.0677,-0.0157,26118
lefigaro,lefigaro,6,0.6283,0.5335,-0.0516,0.0091,26118
lefigaro,lefigaro,7,0.6400,0.5395,-0.0523,0.0005,26118
lefigaro,lefigaro,8,0.6260,0.5255,-0.0581,-0.0046,26118
lefigaro,lefigaro,9,0.6086,0.5081,-0.0830,-0.0213,26118
lefigaro,lefigaro,10,0.6014,0.4979,-0.0858,-0.0200,26118
