date,20minutes,atlantico,bfmtv,challenges,cnews,francesoir,gala,l_opinion,la_croix,la_depeche,laprovence,latribune,le_capital,le_courrier_de_l_ouest,le_journal_du_dimanche,le_maine_libre,le_marin,le_nouvel_observateur,le_telegramme,leparisien,marianne,midilibre,nice_matin,ouest_france2,paris_match,paris_normandie,presse_ocean,sud_ouest,telerama,valeurs_actuelles,voici,voiles_et_voiliers,lemonde,lefigaro,lesechos,mediapart
20080203,5550,0,490,0,0,0,0,0,6863,0,178,0,0,0,33027,0,0,0,0,0,0,0,0,9892,0,0,0,0,388,0,262,0,4752,41089,612,0
20080204,24362,0,2280,22440,0,0,1464,0,9292,3597,0,0,4694,0,9348,0,0,0,0,0,0,0,0,73938,0,0,0,0,1951,0,0,0,79357,95421,70065,0
20080205,21450,0,4020,22785,0,0,1938,0,10174,3566,375,0,3963,0,13156,0,0,0,0,0,0,0,0,32302,7227,0,0,0,2216,0,0,0,82696,90409,73368,0
20080206,27207,0,2568,20739,0,0,3773,0,13181,5500,0,0,5088,0,11412,0,0,0,0,0,0,0,0,42218,90,0,0,0,3467,13331,0,0,66126,86898,70394,0
20080207,26409,0,2316,24695,0,0,3810,0,7667,4423,403,0,4288,0,14180,0,0,0,0,0,0,0,0,43717,59,0,0,0,1508,0,0,0,86359,99474,74165,0
20080208,30613,0,2530,16945,0,0,2588,0,6800,5906,289,0,2145,0,12048,0,0,0,0,0,0,0,0,45488,0,0,0,0,3490,0,0,0,70544,197810,75851,0
20080209,7522,0,0,0,0,0,156,0,0,1893,695,0,0,0,11835,0,0,0,0,0,117,0,0,70081,0,0,0,0,20502,0,0,0,52571,148572,1532,0
20080210,4717,0,0,0,0,0,258,0,8118,0,1435,0,0,0,19047,0,0,0,0,0,0,0,0,11384,0,0,0,0,0,0,0,0,8764,41678,1747,0
20080211,25880,0,4686,24983,0,0,1793,0,11566,4711,928,0,1935,0,12384,0,0,0,0,0,0,0,0,132144,0,0,0,0,2782,0,0,0,78180,110222,66180,0
20080212,24514,0,2637,20796,0,0,2943,0,8054,4562,169,0,3167,0,17835,0,0,0,0,0,0,0,0,54646,5983,0,0,0,3053,0,0,0,72421,79384,55516,0
20080213,29270,0,2326,21412,0,0,5068,0,10597,4427,2041,0,2543,0,14652,0,0,0,0,0,0,0,0,65638,14,0,0,0,5169,17608,0,0,76912,87331,9082,0
