mot,date,X_t,N_t,f_t,p_t,surprise,n_absorbes
partie,20210502,2185,3461111,63.13,1.846836e-05,4.7336,2
dix,20080820,388,835536,46.44,1.098761e-07,6.9591,1
dix,20110910,658,1493230,44.07,3.187512e-07,6.4965,0
dix,20111230,713,1743970,40.88,1.731898e-05,4.7615,0
dix,20251113,1992,4690132,42.47,3.857503e-07,6.4137,0
point,20080123,543,1100628,49.34,3.724103e-05,4.429,0
point,20081019,392,755412,51.89,7.842227e-06,5.1056,2
point,20181117,2683,3648065,73.55,2.011038e-24,23.6966,7
point,20240129,2235,4728893,47.26,5.092621e-05,4.2931,1
point,20250911,2485,4571718,54.36,3.885193e-09,8.4106,0
cours,20090908,1980,1839629,107.63,1.432889e-10,9.8438,7
cours,20120904,4150,4271140,97.16,1.677853e-08,7.7752,4
cours,20130902,3483,4006738,86.93,1.84032e-06,5.7351,3
cours,20140903,3186,3995178,79.75,3.687255e-05,4.4333,0
cours,20200907,3754,4535759,82.76,1.05705e-05,4.9759,1
pris,20160814,1155,2418778,47.75,4.864004e-05,4.313,0
certains,20200320,2583,4162331,62.06,1.00037e-07,6.9998,16
certains,20201103,2696,4846187,55.63,3.104535e-05,4.508,0
ministre,20101114,2921,1614048,180.97,5.668857e-12,11.2465,0
ministre,20120516,3654,2220469,164.56,2.800578e-10,9.5528,2
ministre,20140403,5493,4381261,125.37,1.959043e-06,5.708,0
ministre,20140825,4230,2654450,159.36,9.347855e-10,9.0293,0
ministre,20170517,5254,4471022,117.51,1.028619e-05,4.9877,0
ministre,20200706,4587,4146456,110.62,4.20914e-05,4.3758,0
ministre,20240111,5554,4979375,111.54,3.468576e-05,4.4598,0
ministre,20240922,4409,3944195,111.78,3.344014e-05,4.4757,0
ministre,20241224,3254,2758742,117.95,9.744604e-06,5.0112,0
nouvelle,20120904,3535,4271140,82.76,3.011078e-05,4.5213,0
nouvelle,20140903,3350,3995178,83.85,1.707786e-05,4.7676,0
nouvelle,20201221,3122,3871518,80.64,9.378552e-05,4.0279,0
nouvelle,20210902,4045,5009092,80.75,8.319655e-05,4.0799,0
nouvelle,20220629,9875,6364325,155.16,1.061708e-30,29.974,1
nouvelle,20230907,4413,5249761,84.06,1.410804e-05,4.8505,0
nouvelle,20240516,4831,5790575,83.43,1.951739e-05,4.7096,0
nouvelle,20250102,2854,2879025,99.13,1.640213e-09,8.7851,0
lieu,20251128,5458,4504871,121.16,8.565286e-09,8.0673,5
lieu,20260623,4648,3918408,118.62,2.257681e-08,7.6463,2
près,20140726,1653,2638445,62.65,2.642381e-05,4.578,1
près,20260726,1609,2393341,67.23,4.033652e-07,6.3943,5
chef,20080210,635,890998,71.27,3.589581e-08,7.445,5
chef,20080703,603,936336,64.4,1.451579e-06,5.8382,2
chef,20110504,1152,2000012,57.6,3.004287e-05,4.5223,0
chef,20120129,957,1627134,58.82,1.778334e-05,4.75,0
chef,20120516,1265,2220469,56.97,3.965182e-05,4.4017,0
chef,20170719,2404,4024012,59.74,8.196661e-06,5.0864,0
vie,20251228,2850,2756599,103.39,9.910616e-06,5.0039,0
question,20080425,422,888799,47.48,2.161389e-05,4.6653,0
reste,20080314,707,1141163,61.95,5.03972e-07,6.2976,1
gouvernement,20101114,2333,1614048,144.54,1.999343e-08,7.6991,0
gouvernement,20120516,3036,2220469,136.73,9.373807e-08,7.0281,0
gouvernement,20140825,4632,2654450,174.5,3.183593e-11,10.4971,0
cas,20090502,917,857667,106.92,3.200956e-06,5.4947,0
cas,20200323,5739,4118154,139.36,2.123324e-10,9.673,17
cas,20220103,4160,3647346,114.06,3.291458e-07,6.4826,4
cas,20240422,6955,6019419,115.54,2.07534e-07,6.6829,2
cas,20240829,7435,6543642,113.62,3.511568e-07,6.4545,3
prendre,20200323,2265,4118154,55.0,3.911881e-14,13.4076,5
prendre,20210114,2187,5095386,42.92,7.284357e-05,4.1376,0
prendre,20220226,1774,4110234,43.16,6.316437e-05,4.1995,0
compte,20130402,3074,4530319,67.85,1.012097e-08,7.9948,1
compte,20210108,2491,4222911,58.99,5.239113e-05,4.2807,0
guerre,20141111,2769,3585764,77.22,2.278817e-06,5.6423,0
guerre,20151115,2930,3377213,86.76,1.548247e-07,6.8102,0
guerre,20181111,4278,3675116,116.4,2.2455e-11,10.6487,2
guerre,20220301,6448,4950830,130.24,2.946602e-13,12.5307,14
guerre,20230224,3729,4540107,82.13,5.62836e-07,6.2496,0
guerre,20260304,3115,4478794,69.55,1.829361e-05,4.7377,0
six,20080401,441,987241,44.67,1.424665e-05,4.8463,1
six,20080703,420,936336,44.86,1.341956e-05,4.8723,0
six,20081224,263,594190,44.26,9.411775e-05,4.0263,0
six,20260316,1964,4233427,46.39,9.164807e-08,7.0379,1
seul,20080323,316,617191,51.2,3.737205e-11,10.4275,3
seul,20080823,264,614559,42.96,9.335258e-07,6.0299,1
mis,20180723,1902,3509059,54.2,7.072798e-05,4.1504,0
mis,20200329,1905,3188473,59.75,2.364474e-07,6.6263,10
nationale,20120618,1890,3568671,52.96,4.733284e-05,4.3248,0
nationale,20170619,2612,4187989,62.37,2.768828e-07,6.5577,0
nationale,20220620,4288,4783922,89.63,6.545212e-15,14.1841,0
nationale,20230317,2548,4902087,51.98,7.368126e-05,4.1326,0
nationale,20240609,3104,3923588,79.11,8.896594e-12,11.0508,3
seulement,20080504,241,701470,34.36,5.140753e-05,4.289,0
seulement,20080928,252,720064,35.0,1.867425e-05,4.7288,0
seulement,20231124,1617,5024606,32.18,9.524521e-06,5.0212,0
pouvoir,20080108,599,1006776,59.5,4.115892e-06,5.3855,1
pouvoir,20080425,497,888799,55.92,3.625823e-05,4.4406,0
pouvoir,20081224,342,594190,57.56,2.381808e-05,4.6231,0
pouvoir,20110212,1110,2029860,54.68,4.146816e-05,4.3823,0
française,20080126,360,801957,44.89,8.95813e-05,4.0478,0
française,20080814,466,752074,61.96,5.710395e-10,9.2433,11
française,20240727,2372,3971775,59.72,3.957312e-10,9.4026,1
unis,20081106,1419,1159577,122.37,2.778748e-13,12.5562,2
unis,20110808,1173,1583963,74.05,1.0286e-05,4.9878,0
unis,20161109,4037,4292957,94.04,8.1056e-09,8.0912,0
unis,20250120,2954,4277374,69.06,4.368529e-05,4.3597,0
unis,20260301,2699,3441934,78.42,2.0866e-06,5.6806,1
nombre,20200329,2273,3188473,71.29,1.806396e-08,7.7432,14
déclaré,20110320,983,1901281,51.7,7.383194e-05,4.1318,0
déclaré,20110724,852,1591147,53.55,2.835245e-05,4.5474,0
déclaré,20120528,923,1731719,53.3,3.12021e-05,4.5058,2
travail,20120501,1842,2087844,88.22,3.423863e-06,5.4655,0
travail,20160525,4727,4470006,105.75,2.7518e-10,9.5604,5
travail,20170607,4165,4620376,90.14,1.048138e-06,5.9796,2
travail,20170911,3421,4046249,84.55,1.491804e-05,4.8263,0
situation,20110317,1310,2339981,55.98,9.070711e-05,4.0424,0
situation,20200320,3513,4162331,84.4,6.739023e-11,10.1714,12
situation,20201028,2716,4743742,57.25,4.671548e-05,4.3305,0
presse,20080108,520,1006776,51.65,1.16925e-08,7.9321,0
presse,20080528,460,1111303,41.39,2.804569e-05,4.5521,0
presse,20081001,530,1165249,45.48,1.310698e-06,5.8825,5
presse,20100620,610,1489876,40.94,3.031988e-05,4.5183,0
presse,20120615,1514,3454699,43.82,2.17766e-06,5.662,0
presse,20140115,2149,4161779,51.64,2.750278e-09,8.5606,0
presse,20150107,2232,4157181,53.69,4.299835e-10,9.3665,2
presse,20190425,1907,4775867,39.93,3.823634e-05,4.4175,0
parti,20081124,777,895319,86.78,2.132893e-06,5.671,4
parti,20090607,1668,1437618,116.03,7.786282e-10,9.1087,0
parti,20120507,1888,2167664,87.1,1.615686e-06,5.7916,0
parti,20140527,3672,4194779,87.54,1.34648e-06,5.8708,1
parti,20150323,3203,3826165,83.71,3.61605e-06,5.4418,0
parti,20151206,2524,3364162,75.03,3.199773e-05,4.4949,0
parti,20170610,2892,3585745,80.65,7.881974e-06,5.1034,1
parti,20190528,4498,5124631,87.77,1.250053e-06,5.9031,1
parti,20240609,3798,3923588,96.8,1.192956e-07,6.9234,1
conseil,20080323,1440,617191,233.32,1.924183e-14,13.7158,2
conseil,20140331,4612,3721906,123.92,1.560805e-05,4.8067,0
conseil,20260322,5502,3902927,140.97,7.665576e-07,6.1155,1
hommes,20080210,551,890998,61.84,3.800505e-10,9.4202,2
hommes,20080817,283,575212,49.2,6.247358e-06,5.2043,1
hommes,20140307,1606,3714913,43.23,6.836215e-05,4.1652,0
hommes,20180307,2585,5249800,49.24,1.06857e-06,5.9712,0
hommes,20190308,2087,4237104,49.26,1.121191e-06,5.9503,0
hommes,20240308,1911,4432353,43.11,7.077784e-05,4.1501,0
hommes,20240805,2040,4710763,43.31,6.192417e-05,4.2081,0
suite,20110516,655,1674331,39.12,2.176025e-05,4.6623,0
suite,20151115,1340,3377213,39.68,2.718504e-06,5.5657,0
suite,20220611,2035,5199282,39.14,3.837394e-06,5.416,0
ci,20080108,390,1006776,38.74,1.048206e-05,4.9796,1
ci,20240630,1575,4372010,36.02,3.439737e-05,4.4635,0
jean,20080323,1580,617191,256.0,3.407313e-09,8.4676,2
jean,20140331,7270,3721906,195.33,7.526835e-06,5.1234,0
porte,20080102,322,616547,52.23,2.128506e-06,5.6719,0
porte,20081230,425,790068,53.79,2.691063e-07,6.5701,2
porte,20110320,1023,1901281,53.81,4.27023e-08,7.3695,2
porte,20150110,1950,3111979,62.66,9.313925e-13,12.0309,1
soir,20151115,4684,3377213,138.69,5.655193e-08,7.2476,0
début,20191230,3720,3063886,121.41,9.667306e-10,9.0147,10
début,20200501,4870,3633950,134.01,4.45595e-12,11.3511,24
début,20200823,3954,3187090,124.06,3.205964e-10,9.494,7
début,20210502,3464,3461111,100.08,3.269561e-06,5.4855,0
début,20260813,4609,3103147,148.53,7.259404e-15,14.1391,0
l'un,20151115,1481,3377213,43.85,3.832089e-11,10.4166,0
l'un,20160727,1491,3874265,38.48,1.184574e-06,5.9264,0
millions,20080730,1381,790123,174.78,1.434017e-07,6.8434,6
millions,20081215,1153,820219,140.57,2.753276e-05,4.5602,0
droit,20080320,538,1211510,44.41,8.829531e-06,5.0541,0
droit,20180912,2164,5309494,40.76,6.584256e-05,4.1815,0
droit,20220626,1714,3814393,44.94,2.451267e-06,5.6106,0
vingt,20080314,251,1141163,22.0,9.524632e-05,4.0212,0
vingt,20080627,229,964652,23.74,7.449049e-06,5.1279,4
vingt,20081230,195,790068,24.68,3.203976e-06,5.4943,3
vingt,20180714,731,3276606,22.31,4.824742e-06,5.3165,0
vingt,20210911,872,4034764,21.61,1.656955e-05,4.7807,0
demande,20081203,487,1149978,42.35,3.132732e-05,4.5041,0
demande,20200326,2243,5008309,44.79,8.434158e-07,6.074,4
raison,20100109,721,1484098,48.58,1.081187e-06,5.9661,0
raison,20101220,868,1963225,44.21,2.320228e-05,4.6345,0
raison,20200317,2171,5075458,42.77,4.570659e-05,4.34,0
nord,20180611,3248,4599049,70.62,5.081105e-05,4.294,0
nord,20200516,3995,3630802,110.03,3.279559e-10,9.4842,7
nord,20200823,7327,3187090,229.9,1.2816990000000002e-28,27.8922,27
nord,20210207,3733,3893607,95.88,2.947012e-08,7.5306,1
nord,20210523,4420,3494089,126.5,1.422775e-12,11.8469,11
nord,20260813,8898,3103147,286.74,6.522372999999999e-38,37.1856,0
secrétaire,20080210,484,890998,54.32,9.702762e-06,5.0131,1
secrétaire,20081124,652,895319,72.82,9.988808e-09,8.0005,2
secrétaire,20101114,821,1614048,50.87,2.760988e-05,4.5589,0
vue,20100801,510,1469449,34.71,1.781267e-05,4.7493,1
vue,20110416,882,2143153,41.15,2.906707e-09,8.5366,3
vue,20140702,1768,4224297,41.85,3.95481e-10,9.4029,0
vue,20160718,1163,3140366,37.03,4.367103e-07,6.3598,0
vue,20180720,1305,3983788,32.76,6.348927e-05,4.1973,0
vue,20181208,1213,3742599,32.41,9.618387e-05,4.0169,0
vue,20250327,1787,5040386,35.45,2.286087e-06,5.6409,1
vue,20260403,1324,3993270,33.16,4.053311e-05,4.3922,0
matin,20101018,1449,1841442,78.69,6.924151e-07,6.1596,1
matin,20130902,2655,4006738,66.26,7.968065e-05,4.0986,0
matin,20140903,2830,3995178,70.84,1.38345e-05,4.859,0
matin,20151115,2302,3377213,68.16,3.98722e-05,4.3993,0
mettre,20080305,574,1274427,45.04,5.592948e-05,4.2524,0
mettre,20090105,461,906793,50.84,1.585581e-07,6.7998,0
mettre,20200311,2696,5991940,44.99,7.873004e-06,5.1039,2
semble,20080123,293,1100628,26.62,3.867474e-06,5.4126,0
semble,20080504,192,701470,27.37,6.137479e-06,5.212,1
semble,20081028,284,1112257,25.53,2.137335e-05,4.6701,4
semble,20220629,2492,6364325,39.16,8.544557000000001e-22,21.0683,0
aucun,20101129,478,1851267,25.82,7.909374e-05,4.1019,0
aucun,20150323,980,3826165,25.61,3.50887e-05,4.4548,0
aucun,20200317,1333,5075458,26.26,6.588285e-06,5.1812,0
aucun,20220611,4102,5199282,78.9,3.7456949999999995e-100,99.4265,0
sécurité,20091228,567,958855,59.13,9.33377e-06,5.0299,0
sécurité,20110317,1387,2339981,59.27,4.777313e-06,5.3208,1
sécurité,20151115,3237,3377213,95.85,2.6642710000000002e-17,16.5744,3
sécurité,20160323,2486,4406802,56.41,2.01309e-05,4.6961,0
sécurité,20160715,1861,3108785,59.86,3.035323e-06,5.5178,2
sécurité,20260310,2417,4310891,56.07,2.453775e-05,4.6102,1
ville,20200311,6746,5991940,112.58,2.881233e-05,4.5404,0
ville,20220611,6422,5199282,123.52,1.920843e-06,5.7165,0
tant,20220521,1277,4164951,30.66,3.9303e-05,4.4056,0
effet,20080501,329,655467,50.19,9.876942e-06,5.0054,3
effet,20091207,725,1488521,48.71,7.212151e-06,5.1419,0
effet,20220629,3082,6364325,48.43,2.865882e-06,5.5427,0
effet,20240422,3070,6019419,51.0,1.894266e-07,6.7226,1
effet,20240829,3382,6543642,51.68,8.493962e-08,7.0709,4
national,20081124,423,895319,47.25,8.233324e-05,4.0844,0
national,20100316,1118,2402370,46.54,7.473336e-05,4.1265,0
national,20110320,1164,1901281,61.22,1.386197e-08,7.8582,2
national,20120422,1583,2324466,68.1,1.278794e-10,9.8932,2
national,20140325,2608,4078665,63.94,1.589125e-09,8.7988,2
national,20150323,3488,3826165,91.16,4.375872e-18,17.3589,1
national,20151206,3193,3364162,94.91,2.647424e-19,18.5772,3
national,20170508,2685,3593058,74.73,9.514831e-13,12.0216,5
