seuil,composante,cote,rang,mot,date,surprise,coefficient,parlant
4,1,positif,1,grévistes,20221012,5.24,5.0262,0
4,1,positif,2,douane,20250403,18.6,4.7157,0
4,1,positif,3,tactiques,20230326,16.21,4.6882,0
4,1,positif,4,attentats,20150111,8.2,4.6136,0
4,1,positif,5,globale,20201128,32.63,4.4442,0
4,1,positif,6,victoire,20080309,4.46,4.4107,1
4,1,positif,7,violences,20200606,4.37,4.3805,1
4,1,positif,8,comporter,20241123,4.75,4.3788,0
4,1,positif,9,protéger,20200319,7.06,4.3716,0
4,1,positif,10,irakien,20140810,9.92,4.3465,0
4,1,positif,11,mali,20130116,16.12,4.2727,0
4,1,positif,12,mesures,20200317,13.24,4.2719,1
4,1,positif,13,accueillir,20200509,4.83,4.2677,0
4,1,positif,14,froid,20120204,23.17,4.2382,0
4,1,positif,15,vigilance,20260212,6.96,4.2177,0
4,1,negatif,1,statue,20230828,4.23,-3.5835,0
4,1,negatif,2,mécaniques,20201211,17.06,-3.4399,0
4,1,negatif,3,chef,20180806,6.79,-3.4055,1
4,1,negatif,4,rémunération,20240206,5.14,-3.3977,0
4,1,negatif,5,dois,20200412,4.66,-3.3696,0
4,1,negatif,6,brusquement,20200621,4.52,-3.332,0
4,1,negatif,7,divise,20240707,4.13,-3.3304,0
4,1,negatif,8,delhi,20081214,4.06,-3.3182,0
4,1,negatif,9,s'élèvent,20260322,5.15,-3.2849,0
4,1,negatif,10,gagnée,20170618,4.3,-3.2798,0
4,1,negatif,11,téléphone,20200522,5.12,-3.2725,0
4,1,negatif,12,noms,20151127,4.36,-3.2397,0
4,1,negatif,13,actes,20150127,6.59,-3.2213,0
4,1,negatif,14,sort,20191130,5.01,-3.2199,0
4,1,negatif,15,barrière,20210622,4.09,-3.1989,0
4,2,positif,1,développer,20200312,4.37,5.3161,0
4,2,positif,2,axes,20260311,5.1,5.274,0
4,2,positif,3,donne,20200920,7.88,5.1874,0
4,2,positif,4,bronze,20160821,11.1,5.1412,0
4,2,positif,5,page,20200920,5.64,5.0914,0
4,2,positif,6,recensement,20180118,4.81,5.0667,0
4,2,positif,7,piste,20240810,4.36,5.0052,0
4,2,positif,8,partenariat,20200920,4.48,4.9908,0
4,2,positif,9,connaître,20200920,8.26,4.9724,0
4,2,positif,10,médical,20200402,11.66,4.9676,0
4,2,positif,11,l'or,20080823,11.98,4.9658,0
4,2,positif,12,voulons,20200310,4.7,4.9652,0
4,2,positif,13,créer,20200312,6.54,4.9527,0
4,2,positif,14,jaunes,20190112,19.95,4.9493,0
4,2,positif,15,médaille,20160820,10.72,4.934,0
4,2,negatif,1,mandat,20140105,4.11,-4.1026,1
4,2,negatif,2,garder,20200313,13.37,-4.0283,0
4,2,negatif,3,disponibles,20200316,6.12,-3.8655,0
4,2,negatif,4,réalisations,20130106,8.14,-3.8022,0
4,2,negatif,5,liste,20200209,4.29,-3.7511,1
4,2,negatif,6,nécessité,20200317,10.05,-3.7208,0
4,2,negatif,7,premier,20080309,33.4,-3.7194,0
4,2,negatif,8,fièvre,20140322,4.1,-3.7052,0
4,2,negatif,9,téléphoniques,20200317,4.53,-3.6733,0
4,2,negatif,10,réalisations,20140105,7.9,-3.672,0
4,2,negatif,11,jérusalem,20151004,4.68,-3.6601,0
4,2,negatif,12,navires,20260301,4.53,-3.6505,0
4,2,negatif,13,maire,20140105,4.75,-3.6474,1
4,2,negatif,14,progressive,20200414,14.88,-3.6254,0
4,2,negatif,15,cérémonie,20130106,4.16,-3.6224,0
4,3,positif,1,spectre,20151225,4.19,3.4475,0
4,3,positif,2,bat,20090901,7.62,3.357,0
4,3,positif,3,giscard,20201202,300.0,3.3463,0
4,3,positif,4,peuple,20120527,4.03,3.2847,1
4,3,positif,5,carlo,20130519,5.47,3.2605,0
4,3,positif,6,secret,20101022,4.12,3.2444,0
4,3,positif,7,maintenir,20260315,17.48,3.2236,0
4,3,positif,8,prochain,20120610,4.19,3.2121,0
4,3,positif,9,commises,20250323,4.01,3.2117,0
4,3,positif,10,aimé,20090829,4.77,3.2104,0
4,3,positif,11,qualifié,20170611,4.03,3.1678,0
4,3,positif,12,corse,20080902,5.83,3.1566,0
4,3,positif,13,indiens,20080125,5.17,3.1558,0
4,3,positif,14,têtes,20250909,7.42,3.1375,0
4,3,positif,15,blancs,20170507,29.08,3.1323,0
4,3,negatif,1,modérée,20240814,8.62,-3.8457,0
4,3,negatif,2,formes,20211224,4.28,-3.8384,0
4,3,negatif,3,énergies,20221027,4.96,-3.8346,0
4,3,negatif,4,boire,20250621,4.68,-3.8037,0
4,3,negatif,5,physiquement,20100815,4.04,-3.7273,0
4,3,negatif,6,partir,20090606,5.57,-3.6909,0
4,3,negatif,7,égyptienne,20081229,4.3,-3.6626,0
4,3,negatif,8,possible,20200429,5.98,-3.6201,1
4,3,negatif,9,latine,20200523,5.13,-3.569,0
