mot,date,surprise,c1_s4,c2_s4,c3_s4,c4_s4,c1_s6,c2_s6,c3_s6,c4_s6
ans,20080211,90.3117,2.8048,-0.9774,-1.5441,0.6366,2.6474,-1.1015,-1.5997,0.8706
ans,20080324,19.9491,-0.2,3.2011,0.1315,0.196,0.0047,3.2028,0.3457,0.3086
ans,20090101,20.4056,-1.78,-0.4287,-0.1037,-0.5521,-1.9972,-0.2124,-0.2301,-0.2588
ans,20140308,11.5626,-0.5544,4.429,1.179,1.9029,-0.1495,4.2678,1.3924,1.9496
ans,20200216,17.8166,3.3245,-1.9113,-1.9068,2.0763,3.1013,-2.0004,-1.7011,2.3869
ans,20260216,18.6813,2.5785,-0.4369,-2.5241,3.2262,2.5313,-0.4858,-2.0694,3.5332
france,20080704,6.5787,0.8775,2.9635,-0.2717,0.7033,1.0887,2.8226,-0.2058,0.711
france,20081207,4.3357,-0.771,-0.1265,-1.5304,0.4145,,,,
france,20120113,5.4455,2.3163,0.6732,1.4346,1.2506,,,,
france,20120506,4.5055,-1.4598,0.9542,0.6766,0.1074,,,,
france,20150111,4.058,2.3812,1.4199,-0.2521,0.3259,,,,
france,20151114,12.2464,2.0485,-1.7292,1.5913,-0.0884,1.7611,-1.9976,1.3622,-0.202
france,20160710,8.0514,1.2651,2.8139,0.588,-0.1104,1.3218,2.6997,0.6315,-0.0196
france,20180107,8.848,0.2336,0.0159,0.1856,0.1042,0.0014,0.0372,0.1713,0.286
france,20180715,15.0194,0.2508,2.0168,1.6297,-0.723,0.2112,1.9584,1.6149,-0.7295
france,20210627,4.283,0.2455,1.953,1.5773,0.4051,,,,
france,20221218,6.9467,-0.1231,2.2653,-0.6987,-0.3051,-0.1297,2.4273,-0.5314,-0.0348
france,20240727,4.7929,1.8627,-2.2319,-1.6777,0.8554,,,,
temps,20080810,4.3706,1.5121,-2.233,-0.3588,0.9182,,,,
temps,20191225,9.011,2.685,-1.2635,-0.4854,0.8417,2.4745,-1.4854,-0.6032,0.8831
temps,20200126,7.9976,0.8567,-1.3688,-1.8838,0.0744,0.8423,-1.2687,-1.9754,0.3758
temps,20200322,8.3565,2.9116,-0.3372,-1.5404,1.3623,2.9713,-0.3714,-1.2424,1.6208
