reglage,seuil,n,hebdo,K50,var1,var2,var3,var4,ac7_c1,ac7_c2,ac7_c3,ac7_c4,cos1,cos2,cos3,cos4,fuite,pic_perdu
origine,4,38856,0.036,0.258,0.12,0.107,0.069,0.063,0.22,-0.01,-0.1,-0.02,1.0,1.0,1.0,1.0,,
origine,6,15903,0.022,0.194,0.144,0.131,0.08,0.07,0.16,-0.01,0.04,-0.04,1.0,1.0,1.0,1.0,,
classique,4,38856,0.025,0.258,0.122,0.109,0.071,0.06,0.22,-0.02,-0.12,-0.17,1.0,1.0,0.99,0.97,0.008,0.024
classique,6,15903,0.016,0.194,0.146,0.133,0.082,0.068,0.15,-0.01,0.04,-0.12,1.0,1.0,1.0,0.99,0.006,0.018
stl25r,4,38856,0.018,0.258,0.124,0.112,0.072,0.059,0.22,-0.01,-0.13,-0.26,1.0,1.0,0.99,0.93,0.013,0.037
stl25r,6,15903,0.012,0.194,0.148,0.137,0.084,0.067,0.15,0.0,0.04,-0.18,1.0,1.0,1.0,0.97,0.01,0.028
stl7r,4,38856,0.019,0.226,0.127,0.12,0.075,0.057,0.21,0.03,-0.13,-0.36,1.0,0.99,0.98,0.88,0.027,0.069
stl7r,6,15903,0.012,0.194,0.151,0.145,0.086,0.063,0.1,0.08,0.05,-0.26,0.93,0.93,1.0,0.94,0.021,0.059
