valeur_propre_s4,valeur_propre_s6
1.800193,1.815062
1.693024,1.743341
1.055433,1.037153
0.808169,0.762744
0.710885,0.626193
0.57692,0.493807
0.549787,0.48129
0.534743,0.43365
0.458267,0.371743
0.44633,0.341404
0.40057,0.322207
0.393111,0.295337
0.363493,0.26298
0.347037,0.254913
0.331694,0.239645
0.329219,0.231897
0.297421,0.214851
0.291737,0.202021
0.277273,0.195948
0.270247,0.190873
0.267501,0.183002
0.260083,0.175992
0.242065,0.167492
0.233352,0.165352
0.214105,0.148678
0.210354,0.14398
0.204632,0.142095
0.19823,0.13639
0.196516,0.132523
0.19171,0.123445
0.0,0.0
