mot,date,surprise,c1_s4,c2_s4,c3_s4,c4_s4,c1_s6,c2_s6,c3_s6,c4_s6
demande,20081203,4.5041,-1.7033,1.8185,0.715,0.0307,,,,
demande,20200326,6.074,4.0335,1.0114,-2.2152,0.7476,3.9605,-0.0482,-2.411,1.1892
raison,20100109,5.9661,-0.4563,1.3385,-0.3105,0.0438,,,,
raison,20101220,4.6345,-0.8907,1.7047,1.526,0.397,,,,
raison,20200317,4.34,4.4247,0.1583,-1.9314,0.546,,,,
nord,20180611,4.294,-2.7653,-0.9013,0.4392,-0.1669,,,,
nord,20200516,9.4842,0.2152,0.9145,0.1861,1.3353,0.5531,0.8693,0.0488,1.125
nord,20200823,27.8922,-1.1984,2.9299,0.1924,1.3748,-0.1021,3.2181,0.5613,1.0145
nord,20210207,7.5306,0.3458,0.0487,-1.9817,-0.6508,0.2003,0.2312,-1.6887,0.0827
nord,20210523,11.8469,-3.8205,2.4364,-0.3143,1.8272,-2.5922,3.7264,0.6584,1.6084
secrétaire,20081124,8.0005,-0.653,2.669,-1.3488,0.508,0.1072,2.8928,-1.0004,0.6121
secrétaire,20101114,4.5589,-1.1272,0.6541,0.7181,0.3009,,,,
vue,20100801,4.7493,0.6115,1.337,-0.8589,0.6599,,,,
vue,20110416,8.5366,1.0532,-1.6697,-0.6609,-0.562,0.2398,-1.8442,-0.9973,-0.3059
vue,20140702,9.4029,-0.2308,-1.4908,-1.1671,0.1803,-0.938,-1.106,-1.3002,0.4792
vue,20160718,6.3598,1.2122,-0.5891,1.1499,0.3514,0.9119,-1.0436,0.8236,0.3063
vue,20180720,4.1973,1.1796,-0.3691,-0.8654,-0.1537,,,,
vue,20181208,4.0169,2.6595,-0.9671,-1.4703,1.685,,,,
vue,20250327,5.6409,-1.0348,0.5208,-1.0109,-2.2671,,,,
vue,20260403,4.3922,1.1046,-0.1582,0.0916,0.0977,,,,
matin,20101018,6.1596,0.223,1.0379,0.7328,-2.2309,0.615,0.8316,0.5732,-2.0061
matin,20130902,4.0986,-2.4024,-0.2147,1.4523,-0.4927,,,,
matin,20140903,4.859,-1.5606,0.1908,0.1118,-1.825,,,,
matin,20151115,4.3993,-0.2968,-0.6764,2.1335,-0.4541,,,,
mettre,20080305,4.2524,-3.3353,0.2537,-2.0175,0.839,,,,
mettre,20090105,6.7998,-1.9344,0.1991,1.1771,0.5799,-1.6568,0.8603,1.3352,0.5535
mettre,20200311,5.1039,3.7124,-0.1989,-1.6108,2.0853,,,,
semble,20080504,5.212,3.4089,-0.5597,-0.5094,1.1539,,,,
semble,20081028,4.6701,-0.5931,-1.4959,1.0636,1.7545,,,,
