mot,date,surprise,c1_s4,c2_s4,c3_s4,c4_s4,c1_s6,c2_s6,c3_s6,c4_s6
ans,20140307,7.7795,-2.1793,3.8552,0.3281,0.9717,-1.9472,3.9138,1.3121,0.5017
ans,20200222,13.4716,-0.4295,4.2471,1.1752,1.1984,-0.1334,4.1265,1.8793,0.4638
ans,20260223,16.9378,-0.8263,3.9325,0.8434,1.0737,-0.586,3.8174,1.6786,0.4525
france,20080703,8.3329,-2.2974,2.6545,0.9886,0.7619,-2.0785,2.6416,1.7334,0.2891
france,20120114,5.7494,1.1313,0.1854,-0.9416,-0.036,,,,
france,20151115,10.6579,-0.4468,-0.6687,2.3204,-0.7235,-0.3673,-0.9669,1.7362,-1.2156
france,20160709,5.6383,-1.7672,0.7177,1.1694,-1.0216,,,,
france,20180714,6.6863,-1.6693,2.2508,1.4514,-1.296,-1.5128,2.0255,1.2892,-1.7951
france,20240811,4.5813,-3.7845,1.8983,-0.4293,0.3535,,,,
temps,20191224,6.5864,2.4394,1.7411,-0.432,1.4894,2.4827,1.7802,0.1416,1.599
temps,20200413,10.2735,2.0229,1.1678,-2.3109,2.1884,1.8877,1.5347,-1.4818,2.8275
temps,20200823,15.819,-1.1114,2.54,0.2346,1.7299,-1.0122,2.6561,0.9848,1.3147
temps,20210502,4.8302,0.455,1.5382,0.2492,2.8196,,,,
monde,20080823,7.0418,-2.085,2.4602,-2.1241,0.4961,-2.2176,2.8151,-1.3124,0.9637
monde,20100611,7.0967,3.1473,0.8452,-0.9598,1.1001,3.0377,0.901,-0.9334,1.3036
monde,20110910,4.4056,0.0153,-1.4886,-2.9459,1.4682,,,,
monde,20140714,4.633,-4.1106,0.5461,-0.4618,0.5,,,,
monde,20180714,18.9285,0.101,1.5752,1.4541,-0.9444,0.1868,1.2344,1.1998,-1.4958
monde,20221217,8.0911,-2.1671,2.2325,1.2902,1.0099,-1.9342,2.2174,1.7368,0.2388
monde,20230907,4.4892,-1.5593,0.3031,1.9756,-0.4951,,,,
monde,20260617,4.6993,2.9243,1.1192,-2.3308,0.3485,,,,
premier,20080323,17.0871,-1.1436,1.744,-2.1455,0.3843,-1.3452,1.9942,-1.3755,1.0812
premier,20080901,4.3708,-2.7523,1.4843,0.0152,0.1576,,,,
premier,20120422,8.8448,2.4702,-0.1688,-0.9663,0.9197,2.2681,-0.0782,-1.0429,1.2891
premier,20140331,12.0372,0.64,1.8786,-1.1789,0.4886,0.4362,1.9406,-0.7582,0.9114
premier,20150323,7.2782,0.0158,-0.3855,0.7308,0.658,-0.0823,-0.5249,0.9367,0.6556
premier,20151206,5.9955,1.2511,-0.4841,1.1324,0.5303,,,,
premier,20170423,8.9338,1.9289,-0.2813,-0.4953,0.8913,1.7528,-0.2632,-0.6523,1.0355
premier,20200314,6.7863,0.2193,-0.0516,1.5293,-0.9751,0.2399,-0.3806,1.1734,-1.2214
premier,20200627,5.4832,-0.799,0.0688,1.9782,0.1888,,,,
premier,20210628,4.9351,-1.9349,2.0614,-1.8394,0.5546,,,,
premier,20220611,33.6525,-0.0577,-1.0688,0.3945,0.0612,-0.203,-1.1431,0.1554,0.2667
premier,20240630,12.8856,0.4104,0.6751,1.2334,0.4142,0.385,0.4026,1.2885,0.1105
premier,20260316,27.9097,0.7841,-0.3584,0.7486,0.7412,0.6618,-0.5488,0.8349,0.7511
paris,20080308,6.0263,0.9066,-3.1329,-1.8163,0.4067,0.6817,-2.629,-1.8491,1.3764
paris,20150110,8.4557,1.3332,-0.3855,0.4784,-1.9411,1.2241,-0.5969,-0.4511,-1.8103
paris,20151115,36.2615,1.8294,-0.5647,1.3001,0.2131,1.735,-0.8944,0.9696,0.0467
paris,20190416,15.8883,-0.322,-0.7141,0.9842,-0.4074,-0.4648,-0.9562,0.6463,-0.4797
paris,20240727,13.4716,1.8794,1.3164,0.6829,0.4729,1.8573,1.1093,0.5527,0.2248
quatre,20080817,5.8868,-0.8209,1.3912,1.1624,0.3485,,,,
président,20080703,4.5498,0.8564,1.0842,0.2431,1.0147,,,,
président,20081106,5.3433,-1.6407,-1.782,0.1217,-0.9175,,,,
président,20120507,9.7321,0.9216,0.9501,1.0135,0.1815,0.8891,0.687,0.9413,-0.038
président,20170508,6.0801,2.2857,-0.2391,1.3093,1.1074,2.2622,-0.5085,1.2422,0.8775
grand,20190125,6.3367,1.6482,2.3651,-2.5313,1.192,1.4912,2.6441,-1.7848,1.9219
cinq,20080323,7.0756,-1.8538,-0.1604,-0.2517,-0.1381,-1.9811,-0.0666,-0.2325,0.1491
cinq,20100918,5.5501,1.0555,-0.6568,0.6434,-0.3358,,,,
cinq,20220424,15.2189,-1.1924,0.9413,-1.1866,0.4108,-1.4207,1.0274,-0.7548,0.8117
devant,20150110,4.9839,0.396,-0.6002,0.8348,-1.8756,,,,
devant,20151115,7.3029,1.0608,-2.1757,-0.3703,0.0681,0.8332,-2.1237,-0.713,0.4181
jour,20141226,4.8847,0.6326,1.1621,0.5828,-0.3679,,,,
jour,20200329,17.3291,3.7558,1.3988,-2.119,0.8859,3.5581,1.5858,-1.8993,1.5703
jour,20211225,4.6166,1.8427,0.8169,0.3405,-0.3859,,,,
jour,20241224,4.841,1.3989,0.5476,1.1445,0.513,,,,
jour,20251225,4.7062,0.3835,1.3019,2.386,-0.2589,,,,
fin,20121221,6.2234,1.8426,2.0889,0.5748,0.5954,1.8577,1.8822,0.5566,0.3424
fin,20191221,4.0612,2.3232,1.7223,-1.1487,0.5845,,,,
