seuil,composante,cote,rang,mot,date,surprise,coefficient,vocab600
4,1,positif,1,chaleur,20260623,12.4,4.222,0
4,1,positif,2,terroristes,20150111,10.39,4.0777,0
4,1,positif,3,russes,20220228,14.26,4.0703,1
4,1,positif,4,doyen,20200527,12.29,3.9994,0
4,1,positif,5,délégué,20200527,5.15,3.9862,0
4,1,positif,6,pays,20220227,5.59,3.9781,1
4,1,positif,7,délégations,20200527,7.48,3.9766,0
4,1,positif,8,carburant,20101019,14.59,3.9752,0
4,1,positif,9,chaud,20260623,7.13,3.9627,0
4,1,positif,10,mandat,20200527,5.8,3.9625,1
4,1,positif,11,japonaises,20110314,23.0,3.9565,0
4,1,positif,12,adjoint,20200527,25.9,3.9528,0
4,1,positif,13,bulletin,20200527,5.54,3.9446,0
4,1,positif,14,fermer,20200315,17.32,3.9445,0
4,1,positif,15,consigne,20200316,4.47,3.9431,0
4,1,negatif,1,brusquement,20200621,4.52,-3.6899,0
4,1,negatif,2,s'établir,20081030,4.15,-3.5392,0
4,1,negatif,3,croix,20090523,4.14,-3.4944,0
4,1,negatif,4,atteindre,20200116,6.4,-3.4504,0
4,1,negatif,5,mécaniques,20201211,17.06,-3.423,0
4,1,negatif,6,dois,20200412,4.66,-3.3969,0
4,1,negatif,7,lyon,20090322,6.89,-3.3905,1
4,1,negatif,8,parle,20081122,4.6,-3.3812,0
4,1,negatif,9,statue,20230828,4.23,-3.3756,0
4,1,negatif,10,gagnée,20170618,4.3,-3.3587,0
4,1,negatif,11,téléphone,20200522,5.12,-3.3565,0
4,1,negatif,12,semaines,20200525,5.29,-3.3326,1
4,1,negatif,13,chef,20180806,6.79,-3.3214,1
4,1,negatif,14,comble,20121230,4.34,-3.3144,0
4,1,negatif,15,l'autoroute,20251230,5.76,-3.2991,0
4,2,positif,1,développer,20200312,4.37,5.0061,0
4,2,positif,2,créer,20200312,6.54,4.7565,0
4,2,positif,3,axes,20260311,5.1,4.7131,0
4,2,positif,4,bronze,20160821,11.1,4.6217,0
4,2,positif,5,recensement,20180118,4.81,4.571,0
4,2,positif,6,création,20200312,5.79,4.5083,1
4,2,positif,7,axes,20200312,5.21,4.4959,0
4,2,positif,8,noël,20221225,6.05,4.4749,0
4,2,positif,9,axe,20260311,5.36,4.4591,0
4,2,positif,10,feu,20220814,7.03,4.4424,1
4,2,positif,11,thèmes,20200312,4.02,4.4222,0
4,2,positif,12,favorisant,20200312,4.14,4.3998,0
4,2,positif,13,électoraux,20210629,5.04,4.3824,0
4,2,positif,14,favoriser,20200312,11.18,4.3745,0
4,2,positif,15,élevée,20200601,4.7,4.3729,0
4,2,negatif,1,mandat,20140105,4.11,-4.0611,1
4,2,negatif,2,garder,20200313,13.37,-3.9232,0
4,2,negatif,3,tissu,20200404,5.69,-3.9079,0
4,2,negatif,4,liste,20200209,4.29,-3.8717,1
4,2,negatif,5,disponibles,20200316,6.12,-3.7484,0
4,2,negatif,6,réalisations,20130106,8.14,-3.7156,0
4,2,negatif,7,jérusalem,20151004,4.68,-3.7121,0
4,2,negatif,8,disposent,20200317,5.7,-3.6791,0
4,2,negatif,9,l'aménagement,20130106,6.79,-3.6786,0
4,2,negatif,10,terroriste,20150107,4.48,-3.6717,0
4,2,negatif,11,cérémonie,20130106,4.16,-3.6701,0
4,2,negatif,12,terroristes,20231007,4.66,-3.6615,0
4,2,negatif,13,nécessité,20200317,10.05,-3.6612,0
4,2,negatif,14,lendemain,20151114,7.9,-3.6531,1
4,2,negatif,15,l'éducation,20240109,6.6,-3.616,0
4,3,positif,1,développer,20080303,7.35,3.6792,0
4,3,positif,2,fortes,20220816,6.28,3.5395,0
4,3,positif,3,création,20080303,5.68,3.4675,1
4,3,positif,4,candidats,20260315,7.12,3.4524,1
4,3,positif,5,santé,20240527,4.31,3.3887,1
4,3,positif,6,développement,20080303,7.23,3.3886,1
4,3,positif,7,trouble,20240527,5.3,3.3749,0
4,3,positif,8,subventions,20090330,4.08,3.345,0
4,3,positif,9,patients,20240527,4.12,3.3437,0
4,3,positif,10,troubles,20240527,10.19,3.3378,0
4,3,positif,11,russes,20220403,7.28,3.3141,1
4,3,positif,12,comptes,20090330,4.04,3.3141,1
4,3,positif,13,maladie,20240527,9.51,3.3068,1
4,3,positif,14,recommande,20240527,5.71,3.2993,0
4,3,positif,15,diminue,20240527,4.23,3.2984,0
4,3,negatif,1,chauffeur,20080211,8.84,-4.1358,0
4,3,negatif,2,réouverture,20210416,5.89,-4.0055,0
4,3,negatif,3,capital,20080829,5.52,-3.9929,1
4,3,negatif,4,net,20080215,5.62,-3.9353,0
4,3,negatif,5,reçoivent,20130202,4.75,-3.8715,0
4,3,negatif,6,l'absence,20240823,4.4,-3.8702,0
4,3,negatif,7,kilomètres,20110710,4.84,-3.8493,1
4,3,negatif,8,partir,20090606,5.57,-3.7577,0
4,3,negatif,9,recul,20081010,4.21,-3.7392,0
4,3,negatif,10,résultat,20140213,5.42,-3.7358,1
4,3,negatif,11,commerçant,20080211,15.67,-3.6947,0
4,3,negatif,12,invités,20090530,4.07,-3.6925,0
4,3,negatif,13,reçoivent,20140322,4.66,-3.6792,0
4,3,negatif,14,pardon,20100718,4.08,-3.6704,0
4,3,negatif,15,marge,20140213,5.68,-3.6635,0
4,4,positif,1,entrée,20100612,4.06,4.5974,0
4,4,positif,2,mobilisation,20190105,5.6,4.5151,0
4,4,positif,3,jouent,20091120,9.98,4.4752,0
4,4,positif,4,nuit,20200613,4.32,4.4452,0
4,4,positif,5,mm,20121020,4.23,4.1865,0
4,4,positif,6,nancy,20080301,5.16,4.1801,0
4,4,positif,7,net,20081029,4.21,4.1404,0
4,4,positif,8,minute,20091011,4.06,4.1087,0
4,4,positif,9,rond,20190302,4.22,4.0852,0
4,4,positif,10,donne,20200530,9.9,4.0841,0
4,4,positif,11,entrée,20101016,4.11,4.0739,0
4,4,positif,12,seconde,20130310,4.41,4.0448,0
4,4,positif,13,reçoit,20091002,7.79,4.0397,0
4,4,positif,14,rapport,20080416,4.66,4.0335,1
4,4,positif,15,rendez,20091002,6.81,4.0213,0
4,4,negatif,1,primaire,20110701,5.77,-3.0085,0
4,4,negatif,2,l'équilibre,20120428,4.49,-2.9217,0
4,4,negatif,3,propres,20121027,5.1,-2.8609,0
4,4,negatif,4,portefeuille,20080920,4.7,-2.7744,0
4,4,negatif,5,rôle,20170128,4.69,-2.7695,1
4,4,negatif,6,éthique,20161105,4.06,-2.7347,0
4,4,negatif,7,complémentaire,20230121,4.28,-2.7288,0
4,4,negatif,8,provisoire,20200726,5.88,-2.7285,0
4,4,negatif,9,attribué,20180908,4.59,-2.6704,0
4,4,negatif,10,élevés,20080927,4.57,-2.664,0
4,4,negatif,11,immobilier,20080405,9.66,-2.6555,0
4,4,negatif,12,titulaire,20121204,4.28,-2.6404,0
4,4,negatif,13,individu,20240824,4.13,-2.6208,0
4,4,negatif,14,habituelle,20191225,9.33,-2.6005,0
4,4,negatif,15,brut,20091205,4.31,-2.5988,0
6,1,positif,1,chaleur,20260623,12.4,4.1033,0
6,1,positif,2,russes,20220228,14.26,4.0648,1
6,1,positif,3,terroristes,20150111,10.39,4.0062,0
6,1,positif,4,japonaises,20110314,23.0,3.9648,0
6,1,positif,5,fermer,20200315,17.32,3.9534,0
6,1,positif,6,fermé,20200317,14.54,3.9504,0
6,1,positif,7,moyen,20260303,16.74,3.9503,1
6,1,positif,8,seuls,20200318,6.97,3.9258,0
6,1,positif,9,froid,20120204,23.17,3.9219,0
6,1,positif,10,orient,20260303,14.56,3.9207,0
6,1,positif,11,carburant,20101019,14.59,3.9194,0
6,1,positif,12,mesures,20200317,13.24,3.9084,1
6,1,positif,13,doyen,20200527,12.29,3.9078,0
6,1,positif,14,délégations,20200527,7.48,3.8982,0
6,1,positif,15,george,20200603,16.62,3.8699,0
6,1,negatif,1,mécaniques,20201211,17.06,-3.3338,0
6,1,negatif,2,chef,20180806,6.79,-3.3337,1
6,1,negatif,3,étape,20090727,41.74,-3.2827,0
6,1,negatif,4,lyon,20090322,6.89,-3.2104,1
6,1,negatif,5,actes,20150127,6.59,-3.1611,0
6,1,negatif,6,témoigner,20211102,6.14,-3.1527,0
6,1,negatif,7,atteindre,20200116,6.4,-3.1217,0
6,1,negatif,8,mine,20120903,6.4,-3.0895,0
6,1,negatif,9,colonie,20190915,8.3,-3.0459,0
6,1,negatif,10,poursuivre,20200827,6.16,-3.0412,0
6,1,negatif,11,obtenu,20080324,28.03,-2.9885,0
6,1,negatif,12,petites,20200314,9.26,-2.9647,0
6,1,negatif,13,l'actualité,20190124,7.33,-2.9393,0
6,1,negatif,14,masculine,20080824,6.32,-2.9355,0
6,1,negatif,15,parti,20081129,8.54,-2.9334,0
6,2,positif,1,créer,20200312,6.54,4.8193,0
6,2,positif,2,bronze,20160821,11.1,4.6429,0
6,2,positif,3,feu,20220814,7.03,4.5163,1
6,2,positif,4,noël,20221225,6.05,4.4348,0
6,2,positif,5,favoriser,20200312,11.18,4.4063,0
6,2,positif,6,transports,20200511,9.25,4.3609,0
6,2,positif,7,flamme,20240608,6.4,4.3396,0
6,2,positif,8,rigoureuse,20260310,6.5,4.3313,0
6,2,positif,9,réel,20200920,6.73,4.3253,0
6,2,positif,10,connaître,20200920,8.26,4.3095,0
6,2,positif,11,olympique,20120812,15.92,4.2979,0
6,2,positif,12,l'entretien,20260311,6.61,4.2913,0
6,2,positif,13,plafond,20131017,9.14,4.2585,0
6,2,positif,14,rouvrir,20210519,10.02,4.2584,0
6,2,positif,15,cadeau,20231225,7.09,4.2497,0
6,2,negatif,1,garder,20200313,13.37,-3.7431,0
6,2,negatif,2,lendemain,20151114,7.9,-3.6888,1
6,2,negatif,3,l'éducation,20240109,6.6,-3.6186,0
6,2,negatif,4,disponibles,20200316,6.12,-3.6006,0
6,2,negatif,5,nécessité,20200317,10.05,-3.5852,0
6,2,negatif,6,réalisations,20130106,8.14,-3.5816,0
6,2,negatif,7,l'aménagement,20130106,6.79,-3.5524,0
6,2,negatif,8,martine,20110515,6.22,-3.4831,0
6,2,negatif,9,compter,20200313,6.97,-3.4622,0
6,2,negatif,10,l'offensive,20220224,9.74,-3.426,0
6,2,negatif,11,réalisations,20140105,7.9,-3.3949,0
6,2,negatif,12,étrangère,20100730,7.29,-3.3574,0
6,2,negatif,13,sécurité,20151114,14.08,-3.3332,1
6,2,negatif,14,efficace,20201109,13.38,-3.3249,0
6,2,negatif,15,téléphonique,20200317,12.61,-3.3165,0
6,3,positif,1,développer,20080303,7.35,3.7818,0
6,3,positif,2,fortes,20220816,6.28,3.7355,0
6,3,positif,3,développement,20080303,7.23,3.5025,1
6,3,positif,4,candidats,20260315,7.12,3.4271,1
6,3,positif,5,liste,20200315,10.2,3.4058,1
6,3,positif,6,maintenir,20260315,17.48,3.3477,0
6,3,positif,7,préserver,20260309,7.77,3.2371,0
6,3,positif,8,maire,20200315,7.7,3.2135,1
6,3,positif,9,sortant,20200315,13.06,3.1903,0
6,3,positif,10,heure,20200919,8.1,3.1788,1
6,3,positif,11,pouvoirs,20080721,9.15,3.1743,0
6,3,positif,12,ouvrière,20260315,10.35,3.1661,0
6,3,positif,13,majorité,20210627,10.42,3.163,1
6,3,positif,14,recensement,20130113,6.3,3.1591,0
6,3,positif,15,russes,20220403,7.28,3.1551,1
6,3,negatif,1,chauffeur,20080211,8.84,-3.8282,0
6,3,negatif,2,obligatoire,20210713,11.22,-3.4079,0
6,3,negatif,3,commerçant,20080211,15.67,-3.3685,0
6,3,negatif,4,prise,20240823,9.43,-3.3617,1
6,3,negatif,5,présentant,20240823,6.03,-3.312,0
6,3,negatif,6,col,20090712,7.53,-3.3046,0
6,3,negatif,7,trésor,20080908,10.42,-3.2906,0
6,3,negatif,8,coordonner,20200303,6.77,-3.2467,0
6,3,negatif,9,entraîne,20240823,17.38,-3.2458,0
6,3,negatif,10,associée,20240823,9.84,-3.213,0
6,3,negatif,11,olympique,20240728,24.04,-3.2012,0
6,3,negatif,12,quitter,20210810,6.06,-3.1953,0
6,3,negatif,13,douce,20200705,13.17,-3.1931,0
6,3,negatif,14,début,20200322,7.98,-3.1844,0
6,3,negatif,15,obtient,20080310,33.78,-3.1675,0
