valeur_propre_s4,valeur_propre_s6
1.720688,1.760878
1.536933,1.598016
0.998698,0.979563
0.899148,0.85292
0.703846,0.640854
0.581606,0.489738
0.546636,0.474987
0.523845,0.430963
0.481934,0.383411
0.436986,0.341694
0.416509,0.325395
0.410187,0.304961
0.382402,0.29458
0.366783,0.271855
0.342721,0.247342
0.327586,0.243156
0.317335,0.230988
0.312173,0.221768
0.285778,0.212117
0.283727,0.203152
0.277025,0.194122
0.271473,0.189002
0.262023,0.182588
0.255532,0.173366
0.248991,0.168092
0.246225,0.16169
0.243318,0.158846
0.23701,0.157082
0.230901,0.155066
0.225064,0.143356
0.0,0.0
