mot,"lambda (Poisson, /1e5)","mu (NB, /1e5)",r (NB),alpha (NB)
gouvernement,70.81697226180896,70.63111637585193,10.768608712286209,0.09286250682124533
président,107.90487840691762,107.61602869429694,17.6048860798982,0.05680241243604699
inflation,1.8410675151314473,1.7666394300921362,0.973092731381056,1.0276512892874619
économie,4.85119812654861,4.824905845694175,4.566689062267328,0.21897702829443508
guerre,55.06594520618999,53.388960288518284,3.556584043531652,0.2811686685202046
climat,12.641602915295836,12.458219468443902,3.123203053296253,0.32018411321178497
