date,X_t,N_t
20201220,21,42443
20201221,86,92242
20201222,66,89441
20201223,62,84085
20201224,62,70233
20201225,12,38152
20201226,20,46380
20201227,12,29613
20201228,34,67194
20201229,44,61048
20201230,64,70535
20201231,55,80498
20210101,29,37745
20210102,29,54325
20210103,24,28483
20210104,71,75804
20210105,67,75306
20210106,97,90208
20210107,64,91422
20210108,55,109184
20210109,62,59742
20210110,28,41536
20210111,76,82096
20210112,47,83683
20210113,86,101521
20210114,73,99440
20210115,63,118807
20210116,67,77720
20210117,26,47657
20210118,81,87893
20210119,69,98818
20210120,88,117625
20210121,63,93962
20210122,77,127834
20210123,38,72990
20210124,32,46552
20210125,77,98848
20210126,90,95402
20210127,128,106901
20210128,83,105017
20210129,101,129771
20210130,52,63086
20210131,19,50447
20210201,57,86725
20210202,77,90906
20210203,49,101739
20210204,70,91128
20210205,67,141401
20210206,42,56646
20210207,18,39559
20210208,65,96789
20210209,80,99000
20210210,82,101876
20210211,73,106536
20210212,72,128996
20210213,20,58925
20210214,29,53789
20210215,78,83244
20210216,110,101640
20210217,110,99788
20210218,89,84058
20210219,81,123870
20210220,33,50288
20210221,29,41413
20210222,57,81624
20210223,76,93038
20210224,70,91163
20210225,100,96936
20210226,76,114839
20210227,26,56072
20210228,56,49756
20210301,60,87348
20210302,62,96427
20210303,97,96979
20210304,113,97619
20210305,58,121308
20210306,34,57562
20210307,31,49045
20210308,75,79723
20210309,68,94929
20210310,58,103210
20210311,102,125628
20210312,88,106769
20210313,33,61786
20210314,45,56209
20210315,81,102252
20210316,85,100775
20210317,59,107381
20210318,82,104039
20210319,85,125591
20210320,48,64639
20210321,28,59803
20210322,51,80319
20210323,101,104407
20210324,95,106792
20210325,85,103655
20210326,98,120487
20210327,47,66999
20210328,37,54530
20210329,75,89579
20210330,73,102446
20210331,49,103522
20210401,74,93376
20210402,74,114045
20210403,32,56628
20210404,34,44420
20210405,39,60865
20210406,85,104013
20210407,90,104029
20210408,109,110511
20210409,63,119376
20210410,26,59954
20210411,33,65051
20210412,78,86347
20210413,129,97268
20210414,83,100665
20210415,95,109113
20210416,79,113966
20210417,41,54380
