date,X_t,N_t
20201220,44,42443
20201221,81,92242
20201222,86,89441
20201223,87,84085
20201224,64,70233
20201225,18,38152
20201226,32,46380
20201227,28,29613
20201228,67,67194
20201229,70,61048
20201230,89,70535
20201231,78,80498
20210101,23,37745
20210102,54,54325
20210103,32,28483
20210104,87,75804
20210105,103,75306
20210106,135,90208
20210107,240,91422
20210108,153,109184
20210109,99,59742
20210110,47,41536
20210111,100,82096
20210112,164,83683
20210113,165,101521
20210114,141,99440
20210115,103,118807
20210116,139,77720
20210117,67,47657
20210118,108,87893
20210119,138,98818
20210120,224,117625
20210121,162,93962
20210122,135,127834
20210123,85,72990
20210124,67,46552
20210125,104,98848
20210126,133,95402
20210127,96,106901
20210128,92,105017
20210129,97,129771
20210130,55,63086
20210131,27,50447
20210201,69,86725
20210202,88,90906
20210203,102,101739
20210204,88,91128
20210205,151,141401
20210206,66,56646
20210207,39,39559
20210208,111,96789
20210209,96,99000
20210210,101,101876
20210211,120,106536
20210212,125,128996
20210213,62,58925
20210214,84,53789
20210215,88,83244
20210216,117,101640
20210217,103,99788
20210218,99,84058
20210219,110,123870
20210220,61,50288
20210221,34,41413
20210222,94,81624
20210223,79,93038
20210224,87,91163
20210225,88,96936
20210226,108,114839
20210227,51,56072
20210228,38,49756
20210301,152,87348
20210302,118,96427
20210303,109,96979
20210304,92,97619
20210305,85,121308
20210306,45,57562
20210307,53,49045
20210308,110,79723
20210309,107,94929
20210310,118,103210
20210311,123,125628
20210312,126,106769
20210313,73,61786
20210314,44,56209
20210315,97,102252
20210316,84,100775
20210317,87,107381
20210318,113,104039
20210319,115,125591
20210320,35,64639
20210321,35,59803
20210322,84,80319
20210323,94,104407
20210324,122,106792
20210325,82,103655
20210326,163,120487
20210327,67,66999
20210328,47,54530
20210329,100,89579
20210330,103,102446
20210331,126,103522
20210401,113,93376
20210402,98,114045
20210403,65,56628
20210404,25,44420
20210405,54,60865
20210406,100,104013
20210407,124,104029
20210408,100,110511
20210409,115,119376
20210410,97,59954
20210411,79,65051
20210412,80,86347
20210413,124,97268
20210414,116,100665
20210415,129,109113
20210416,108,113966
20210417,61,54380
20210418,44,48154
20210419,98,81376
20210420,136,85132
20210421,117,92479
20210422,113,96895
20210423,132,118089
20210424,55,56502
20210425,33,54525
20210426,94,96044
20210427,82,89965
20210428,103,97507
20210429,130,109515
20210430,106,113871
20210501,58,46679
20210502,47,51331
20210503,81,73257
20210504,128,103889
20210505,119,103129
20210506,111,106658
20210507,113,110919
20210508,67,46826
20210509,68,48686
20210510,108,91677
20210511,100,91247
20210512,98,100012
20210513,56,70316
20210514,127,123467
20210515,29,49756
20210516,34,49738
20210517,154,96690
20210518,95,99058
20210519,98,104294
20210520,102,103834
20210521,126,134014
20210522,58,60588
20210523,27,40416
20210524,73,65745
20210525,120,90550
20210526,126,115147
20210527,154,126191
20210528,123,110755
20210529,72,67906
20210530,46,50671
20210531,114,108966
20210601,109,99054
20210602,128,103196
20210603,141,114167
20210604,107,148444
20210605,50,67384
20210606,51,61089
20210607,114,98550
20210608,125,85143
20210609,140,97960
20210610,109,108331
20210611,106,116756
20210612,77,70939
20210613,44,68790
20210614,69,85584
20210615,138,99979
20210616,118,108317
20210617,86,97279
20210618,109,125090
20210619,44,65238
20210620,69,60654
20210621,107,84759
20210622,95,108235
20210623,116,109972
20210624,104,106320
20210625,141,135457
20210626,57,79059
20210627,73,63226
20210628,153,84229
20210629,88,106290
20210630,76,108599
20210701,110,118175
20210702,93,130678
20210703,57,72065
20210704,72,60528
20210705,96,82548
20210706,99,102773
20210707,102,108689
20210708,109,111299
20210709,75,117544
20210710,53,69381
20210711,49,51110
20210712,87,100180
20210713,90,76394
20210714,41,63372
20210715,54,75773
20210716,105,112509
20210717,32,49114
20210718,18,46257
20210719,60,71733
20210720,81,72146
20210721,81,85117
20210722,95,80812
20210723,65,91162
20210724,52,49408
20210725,18,37753
20210726,74,71456
20210727,130,87867
20210728,70,74980
20210729,95,77803
20210730,81,104990
20210731,46,59184
20210801,48,42086
20210802,58,57807
20210803,53,71675
20210804,56,84354
20210805,59,68861
20210806,86,93614
20210807,54,57487
20210808,15,32452
20210809,47,67349
20210810,72,69327
20210811,80,72804
20210812,67,62908
20210813,61,75451
20210814,50,54687
20210815,48,38570
20210816,69,57506
20210817,83,60939
20210818,56,65142
20210819,63,62668
20210820,77,87544
20210821,44,55505
20210822,20,39786
20210823,48,60519
20210824,57,74655
20210825,84,73284
20210826,84,77465
20210827,71,98687
20210828,42,71792
20210829,40,37331
20210830,60,70053
20210831,111,83913
20210901,81,86434
20210902,78,93217
20210903,101,119883
20210904,57,71805
20210905,60,68774
20210906,55,78762
20210907,113,95718
20210908,91,104423
20210909,109,91104
20210910,134,124877
20210911,71,67734
20210912,58,53192
20210913,54,78473
20210914,109,89542
20210915,102,85465
20210916,99,102553
20210917,142,125618
20210918,92,63654
20210919,62,55503
20210920,86,82092
20210921,116,93509
20210922,126,106407
20210923,94,102069
20210924,110,95487
20210925,74,71438
20210926,33,66869
20210927,49,75894
20210928,102,97264
20210929,115,114595
20210930,141,104310
20211001,134,109576
20211002,78,59997
20211003,102,79040
20211004,99,88928
20211005,124,114286
20211006,81,91333
20211007,109,104236
20211008,110,125467
20211009,61,54147
20211010,66,48774
20211011,114,76209
20211012,118,99741
20211013,82,94563
20211014,97,102749
20211015,113,111621
20211016,69,80740
20211017,38,56201
20211018,78,89935
20211019,113,101478
20211020,168,275924
20211021,105,95132
20211022,95,114249
20211023,46,50918
20211024,35,51085
20211025,94,94160
20211026,69,87184
20211027,156,101823
20211028,85,91729
20211029,112,88352
20211030,49,57437
20211031,52,53739
20211101,39,48770
20211102,113,79497
20211103,112,109914
20211104,81,96233
20211105,92,105507
20211106,59,70127
20211107,61,57020
20211108,105,87972
20211109,107,88531
20211110,91,84153
20211111,92,74739
20211112,104,100602
20211113,77,58062
20211114,61,54584
20211115,93,93539
20211116,124,98915
20211117,86,101407
20211118,103,109096
20211119,149,119562
20211120,75,71633
20211121,61,62104
20211122,87,88703
20211123,119,99955
20211124,109,106393
20211125,104,107661
20211126,157,121835
20211127,60,74755
20211128,61,52148
20211129,67,92107
20211130,119,104520
20211201,103,109057
20211202,107,105657
20211203,104,109279
20211204,63,69207
20211205,51,70324
20211206,59,79234
20211207,86,85639
20211208,110,110306
20211209,118,122307
20211210,113,138810
20211211,101,98039
20211212,31,63856
20211213,94,80920
20211214,107,90818
20211215,126,115249
20211216,133,112150
20211217,118,137684
20211218,44,73540
20211219,30,53264
20211220,117,87339
20211221,68,69854
20211222,94,102365
20211223,74,79532
20211224,33,58993
20211225,10,32640
20211226,48,48575
20211227,87,59770
20211228,52,72018
20211229,44,69561
20211230,54,68468
20211231,62,63024
20220101,108,81172
20220102,50,95110
20220103,59,89709
20220104,113,87733
20220105,146,89317
20220106,169,102723
20220107,134,106658
20220108,51,62052
20220109,51,57769
20220110,113,96000
20220111,109,95051
20220112,122,104574
20220113,124,99681
20220114,108,127047
20220115,57,76994
20220116,56,59711
20220117,77,87335
20220118,71,86961
20220119,117,106507
20220120,138,106188
20220121,115,116123
20220122,118,83757
20220123,47,55192
20220124,115,95651
20220125,159,110224
20220126,113,114426
20220127,106,131234
20220128,114,119234
20220129,67,73643
20220130,37,54946
20220131,93,88513
20220201,101,103186
20220202,158,118310
20220203,132,113006
20220204,116,109451
20220205,58,77042
20220206,86,63977
20220207,138,91714
20220208,122,104125
20220209,142,112529
20220210,107,106085
20220211,95,108990
20220212,75,84130
20220213,59,65063
20220214,109,99687
20220215,142,106003
20220216,135,121476
20220217,121,113334
20220218,136,204963
20220219,76,87169
20220220,86,86284
20220221,226,106868
20220222,783,397700
20220223,184,109723
20220224,176,99910
20220225,170,104641
20220226,133,85219
20220227,100,62855
20220228,131,91853
20220301,127,84088
20220302,155,116801
20220303,173,101643
20220304,206,121247
20220305,88,88274
20220306,37,61308
20220307,132,98984
20220308,147,111722
20220309,174,111501
20220310,162,121431
20220311,140,109158
20220312,98,93381
20220313,47,65265
20220314,111,104351
20220315,170,113355
20220316,148,108532
20220317,194,116817
20220318,148,124546
20220319,68,85876
20220320,68,68550
20220321,132,95096
20220322,148,101397
20220323,134,105924
20220324,164,112298
20220325,169,143310
20220326,108,74753
20220327,89,62880
20220328,188,99921
