date,N_1gram,N_2gram,guerre,gaulle,communiste,algerie,europe,francs,euro,chomage,internet,nucleaire,climat,terrorisme,immigration,television,mondialisation,croissance,milliards,mitterrand,chirac,sarkozy,hollande,macron,crise,islam,attentats,irak,inflation,covid,confinement,vaccin,russie,ukraine,poutine,gaza,retraites,jeux,dissolution,zemmour,etudiants,intelligence_artificielle,president,gouvernement,economie
19450123,6338,5468.0,21,7,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0.0,11,18,0
19450124,10663,9145.0,28,4,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,7,25,0
19450125,10786,9338.0,28,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0.0,8,32,1
19450126,10656,9234.0,23,10,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,14,37,0
19450127,10615,9169.0,22,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,6,24,0
19450129,12428,10784.0,32,8,2,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,9,24,0
19450130,9470,8244.0,14,11,2,0,2,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,21,17,0
19450131,9528,8207.0,26,8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,8,24,0
19450201,10140,8745.0,26,1,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0.0,14,16,0
19450202,9639,8252.0,15,1,3,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0.0,6,12,0
