date,X_t,N_t
20201220,11,42443
20201221,17,92242
20201222,40,89441
20201223,15,84085
20201224,21,70233
20201225,19,38152
20201226,28,46380
20201227,8,29613
20201228,33,67194
20201229,31,61048
20201230,12,70535
20201231,18,80498
20210101,6,37745
20210102,16,54325
20210103,37,28483
20210104,41,75804
20210105,12,75306
20210106,24,90208
20210107,16,91422
20210108,38,109184
20210109,19,59742
20210110,5,41536
20210111,11,82096
20210112,15,83683
20210113,48,101521
20210114,18,99440
20210115,44,118807
20210116,14,77720
20210117,25,47657
20210118,15,87893
20210119,39,98818
20210120,73,117625
20210121,45,93962
20210122,114,127834
20210123,31,72990
20210124,15,46552
20210125,40,98848
20210126,24,95402
20210127,25,106901
20210128,16,105017
20210129,33,129771
20210130,11,63086
20210131,6,50447
20210201,17,86725
20210202,15,90906
20210203,27,101739
20210204,47,91128
20210205,83,141401
20210206,30,56646
20210207,17,39559
20210208,16,96789
20210209,30,99000
20210210,15,101876
20210211,13,106536
20210212,30,128996
20210213,16,58925
20210214,14,53789
20210215,27,83244
20210216,37,101640
20210217,31,99788
20210218,22,84058
20210219,29,123870
20210220,22,50288
20210221,9,41413
20210222,25,81624
20210223,26,93038
20210224,23,91163
20210225,31,96936
20210226,41,114839
20210227,10,56072
20210228,15,49756
20210301,21,87348
20210302,32,96427
20210303,40,96979
20210304,30,97619
20210305,35,121308
20210306,21,57562
20210307,27,49045
20210308,22,79723
20210309,35,94929
20210310,22,103210
20210311,41,125628
20210312,25,106769
20210313,32,61786
20210314,17,56209
20210315,72,102252
20210316,28,100775
20210317,32,107381
20210318,31,104039
20210319,40,125591
20210320,16,64639
20210321,14,59803
20210322,24,80319
20210323,32,104407
20210324,22,106792
20210325,56,103655
20210326,41,120487
20210327,11,66999
20210328,11,54530
20210329,32,89579
20210330,47,102446
20210331,30,103522
20210401,46,93376
20210402,21,114045
20210403,15,56628
20210404,13,44420
20210405,11,60865
20210406,13,104013
20210407,24,104029
20210408,47,110511
20210409,57,119376
20210410,37,59954
20210411,10,65051
20210412,19,86347
20210413,31,97268
20210414,30,100665
20210415,54,109113
20210416,60,113966
20210417,10,54380
20210418,16,48154
20210419,14,81376
20210420,28,85132
20210421,41,92479
20210422,45,96895
20210423,31,118089
20210424,15,56502
20210425,14,54525
20210426,23,96044
20210427,21,89965
20210428,36,97507
20210429,45,109515
20210430,60,113871
20210501,20,46679
20210502,11,51331
20210503,21,73257
20210504,17,103889
20210505,30,103129
20210506,44,106658
20210507,16,110919
20210508,16,46826
20210509,9,48686
20210510,23,91677
20210511,24,91247
20210512,66,100012
20210513,17,70316
20210514,57,123467
20210515,28,49756
20210516,15,49738
20210517,32,96690
20210518,34,99058
20210519,23,104294
20210520,28,103834
20210521,47,134014
20210522,21,60588
20210523,9,40416
20210524,12,65745
20210525,36,90550
20210526,43,115147
20210527,58,126191
20210528,48,110755
20210529,6,67906
20210530,8,50671
20210531,27,108966
20210601,14,99054
20210602,19,103196
20210603,47,114167
20210604,41,148444
20210605,25,67384
20210606,11,61089
20210607,13,98550
20210608,28,85143
20210609,23,97960
20210610,44,108331
20210611,26,116756
20210612,24,70939
20210613,18,68790
20210614,17,85584
20210615,22,99979
20210616,40,108317
20210617,19,97279
20210618,46,125090
20210619,4,65238
20210620,18,60654
20210621,23,84759
20210622,18,108235
20210623,10,109972
20210624,35,106320
20210625,55,135457
20210626,24,79059
20210627,8,63226
20210628,6,84229
20210629,38,106290
20210630,35,108599
20210701,43,118175
20210702,44,130678
20210703,28,72065
20210704,19,60528
20210705,31,82548
20210706,9,102773
20210707,52,108689
20210708,26,111299
20210709,55,117544
20210710,13,69381
20210711,16,51110
20210712,31,100180
20210713,21,76394
20210714,20,63372
20210715,14,75773
20210716,36,112509
20210717,10,49114
20210718,14,46257
20210719,15,71733
20210720,13,72146
20210721,29,85117
20210722,22,80812
20210723,19,91162
20210724,16,49408
20210725,13,37753
20210726,14,71456
20210727,13,87867
20210728,28,74980
20210729,15,77803
20210730,39,104990
20210731,4,59184
20210801,12,42086
20210802,10,57807
20210803,17,71675
20210804,31,84354
20210805,15,68861
20210806,32,93614
20210807,17,57487
20210808,14,32452
20210809,18,67349
20210810,24,69327
20210811,29,72804
20210812,31,62908
20210813,22,75451
20210814,29,54687
20210815,18,38570
20210816,31,57506
20210817,33,60939
20210818,26,65142
20210819,19,62668
20210820,23,87544
20210821,22,55505
20210822,28,39786
20210823,27,60519
20210824,35,74655
20210825,32,73284
20210826,39,77465
20210827,63,98687
20210828,27,71792
20210829,5,37331
20210830,27,70053
20210831,76,83913
20210901,36,86434
20210902,28,93217
20210903,62,119883
20210904,13,71805
20210905,21,68774
20210906,12,78762
20210907,23,95718
20210908,37,104423
20210909,81,91104
20210910,95,124877
20210911,32,67734
20210912,12,53192
20210913,11,78473
20210914,18,89542
20210915,26,85465
20210916,39,102553
20210917,29,125618
20210918,21,63654
20210919,22,55503
20210920,28,82092
20210921,47,93509
20210922,51,106407
20210923,30,102069
20210924,45,95487
20210925,13,71438
20210926,13,66869
20210927,21,75894
20210928,20,97264
20210929,61,114595
20210930,35,104310
20211001,18,109576
20211002,33,59997
20211003,12,79040
20211004,33,88928
20211005,37,114286
20211006,24,91333
20211007,20,104236
20211008,58,125467
20211009,35,54147
20211010,24,48774
20211011,11,76209
20211012,24,99741
20211013,29,94563
20211014,22,102749
20211015,55,111621
20211016,29,80740
20211017,18,56201
20211018,45,89935
20211019,26,101478
20211020,49,275924
20211021,24,95132
20211022,17,114249
20211023,26,50918
20211024,22,51085
20211025,11,94160
20211026,22,87184
20211027,25,101823
20211028,11,91729
20211029,19,88352
20211030,19,57437
20211031,11,53739
20211101,5,48770
20211102,14,79497
20211103,47,109914
20211104,33,96233
20211105,27,105507
20211106,23,70127
20211107,12,57020
20211108,8,87972
20211109,17,88531
20211110,34,84153
20211111,49,74739
20211112,44,100602
20211113,18,58062
20211114,16,54584
20211115,17,93539
20211116,40,98915
20211117,31,101407
20211118,39,109096
20211119,40,119562
20211120,36,71633
20211121,9,62104
20211122,25,88703
20211123,40,99955
20211124,46,106393
20211125,17,107661
20211126,28,121835
20211127,12,74755
20211128,19,52148
