mot,categorie,source
moyen,nom,lexique
janvier,nom,lexique
comité,nom,lexique
nécessaire,nom,lexique
désormais,autre,lexique
contraire,nom,lexique
lutte,nom,lexique
production,nom,lexique
société,nom,lexique
besoin,nom,lexique
l'ancien,nom,lexique
ajouté,nom,lexique
international,nom,lexique
ministres,nom,lexique
important,nom,lexique
corps,nom,lexique
discours,nom,lexique
élections,nom,lexique
plutôt,autre,lexique
relations,nom,lexique
libre,adj,lexique
premières,nom,lexique
population,nom,lexique
crise,nom,lexique
second,nom,lexique
gauche,nom,lexique
demi,nom,lexique
simple,nom,lexique
d'autre,nom,lexique
l'assemblée,nom,lexique
seconde,nom,lexique
septembre,nom,lexique
principe,nom,lexique
récemment,autre,lexique
trente,nom,lexique
lundi,nom,lexique
neuf,adj,lexique
jeu,nom,lexique
vendredi,nom,lexique
rue,nom,lexique
nombreuses,adj,lexique
représentants,nom,lexique
période,nom,lexique
travaux,nom,lexique
passer,verbe,lexique
nations,nom,lexique
permis,nom,lexique
ligne,nom,lexique
droits,nom,lexique
ajoute,nom,lexique
revanche,nom,lexique
bas,nom,lexique
new,adj,lexique
fond,nom,lexique
l'une,nom,lexique
mars,nom,lexique
prochain,nom,lexique
véritable,adj,lexique
mai,nom,lexique
maison,nom,lexique
solution,nom,lexique
précise,adj,lexique
sorte,nom,lexique
d'après,autre,lexique
difficultés,nom,lexique
négociations,nom,lexique
propre,nom,lexique
l'est,nom,lexique
territoire,nom,lexique
mission,nom,lexique
sein,nom,lexique
chargé,adj,lexique
l'homme,nom,lexique
total,nom,lexique
économiques,nom,lexique
marché,nom,lexique
raisons,nom,lexique
large,nom,lexique
l'objet,nom,lexique
voit,verbe,lexique
pourra,verbe,lexique
dirigeants,nom,lexique
haute,nom,lexique
décembre,nom,lexique
but,nom,lexique
tenir,verbe,lexique
terre,nom,lexique
socialiste,nom,lexique
appel,nom,lexique
chefs,nom,lexique
l'histoire,nom,lexique
partis,nom,lexique
faits,nom,lexique
débat,nom,lexique
valeur,nom,lexique
l'affaire,nom,lexique
l'europe,nom_propre,spacy
pense,verbe,lexique
mardi,nom,lexique
parlement,nom,lexique
parler,nom,lexique
bureau,nom,lexique
personnel,nom,lexique
