mot,date,X_t,N_t,f_t,p_t,surprise
france,19450221,120,32107,373.75,3.714e-06,5.43
france,19450224,109,32655,333.79,6.328e-05,4.20
france,19450604,199,46537,427.62,1.359e-08,7.87
france,19450705,102,28839,353.69,2.202e-05,4.66
france,19450815,192,55843,343.82,9.292e-06,5.03
france,19450829,109,32014,340.48,4.172e-05,4.38
france,19451013,182,56250,323.56,4.408e-05,4.36
france,19530605,299,95076,314.49,4.395e-05,4.36
france,19540619,331,101507,326.09,1.601e-05,4.80
france,19540714,271,82213,329.63,1.550e-05,4.81
france,19540724,297,92640,320.60,2.774e-05,4.56
france,19540814,286,90446,316.21,4.047e-05,4.39
france,19540818,310,89385,346.81,3.321e-06,5.48
france,19540825,374,98704,378.91,1.713e-07,6.77
france,19540828,352,94014,374.41,2.775e-07,6.56
france,19540901,456,123287,369.87,2.838e-07,6.55
france,19540904,311,86879,357.97,1.334e-06,5.87
france,19540918,269,84848,317.04,4.081e-05,4.39
france,19540922,305,86779,351.47,2.334e-06,5.63
france,19541120,310,100887,307.27,7.318e-05,4.14
france,19541222,350,114290,306.24,7.087e-05,4.15
france,19550101,324,101346,319.70,2.702e-05,4.57
france,19550205,310,98604,314.39,4.262e-05,4.37
france,19600216,336,106143,316.55,3.323e-05,4.48
france,19980714,631,209323,301.45,6.965e-05,4.16
france,20160710,540,178124,303.16,6.608e-05,4.18
france,20180715,488,161890,301.44,8.044e-05,4.09
temps,19451219,82,53133,154.33,6.140e-06,5.21
temps,19821206,438,346623,126.36,8.157e-06,5.09
temps,19921015,250,201513,124.06,4.785e-05,4.32
temps,19950420,278,218116,127.46,1.530e-05,4.82
temps,19950518,360,259464,138.75,2.923e-07,6.53
temps,19951103,238,192054,123.92,5.545e-05,4.26
temps,19960414,487,222935,218.45,1.009e-20,20.00
temps,19960710,223,173189,128.76,1.916e-05,4.72
temps,19961129,277,221097,125.28,2.761e-05,4.56
temps,19970108,421,352594,119.40,6.466e-05,4.19
temps,19970918,307,246163,124.71,2.579e-05,4.59
temps,19971007,562,471472,119.20,4.733e-05,4.32
temps,19971010,642,480548,133.60,4.258e-07,6.37
temps,19980415,264,201762,130.85,6.951e-06,5.16
temps,19991001,317,231411,136.99,7.212e-07,6.14
temps,19991101,259,168990,153.26,1.185e-08,7.93
temps,20000214,494,235848,209.46,3.446e-19,18.46
temps,20200321,310,241621,128.30,9.385e-06,5.03
temps,20200324,377,302375,124.68,1.744e-05,4.76
temps,20200330,273,224400,121.66,7.356e-05,4.13
temps,20200402,414,325432,127.22,7.010e-06,5.15
temps,20200414,299,236296,126.54,1.660e-05,4.78
temps,20200505,416,288663,144.11,3.444e-08,7.46
monde,20101103,735,315611,232.88,4.383e-05,4.36
monde,20180624,498,210494,236.59,3.675e-05,4.43
monde,20180715,521,161890,321.82,6.661e-09,8.18
fois,20000707,338,313639,107.77,2.418e-05,4.62
fois,20220221,684,590852,115.77,3.150e-08,7.50
premier,19760826,277,127324,217.56,9.620e-07,6.02
premier,19760830,270,135362,199.47,1.198e-05,4.92
premier,19770322,461,199241,231.38,5.136e-08,7.29
premier,19840719,284,152159,186.65,6.065e-05,4.22
premier,19890321,338,181087,186.65,5.027e-05,4.30
premier,19890925,265,139496,189.97,4.289e-05,4.37
premier,20010319,992,538927,184.07,3.577e-05,4.45
premier,20020507,1139,620065,183.69,3.598e-05,4.44
premier,20080309,595,255761,232.64,2.933e-08,7.53
premier,20110321,461,241620,190.80,2.142e-05,4.67
premier,20120423,778,436966,178.05,9.265e-05,4.03
premier,20140323,516,185949,277.50,2.224e-11,10.65
premier,20150330,507,269612,188.05,2.919e-05,4.53
premier,20151207,545,246061,221.49,1.910e-07,6.72
premier,20151213,430,180087,238.77,1.816e-08,7.74
premier,20170424,603,261076,230.97,3.774e-08,7.42
premier,20170611,908,240591,377.40,4.778e-20,19.32
premier,20200315,413,222893,185.29,5.020e-05,4.30
premier,20220410,444,233532,190.12,2.429e-05,4.61
premier,20220612,537,239189,224.51,1.214e-07,6.92
premier,20240701,783,275738,283.97,3.039e-12,11.52
premier,20240707,528,266109,198.41,6.420e-06,5.19
première,20060329,479,487655,98.23,3.240e-05,4.49
première,20060401,388,375411,103.35,6.957e-06,5.16
première,20170611,264,240591,109.73,1.883e-06,5.73
première,20220706,348,330331,105.35,4.228e-06,5.37
première,20220910,570,534650,106.61,8.848e-07,6.05
paris,19450404,72,33880,212.51,3.602e-05,4.44
paris,19541218,188,100992,186.15,5.465e-05,4.26
paris,19541222,208,114290,181.99,7.847e-05,4.11
paris,19550101,185,101346,182.54,8.700e-05,4.06
paris,19820703,428,221807,192.96,7.713e-06,5.11
paris,19820707,296,161140,183.69,4.062e-05,4.39
paris,19820710,323,170215,189.76,1.627e-05,4.79
paris,19871127,447,254251,175.81,8.105e-05,4.09
paris,19940824,350,140700,248.76,2.421e-09,8.62
paris,20040824,378,194410,194.43,7.115e-06,5.15
paris,20150111,381,196044,194.34,7.144e-06,5.15
paris,20151113,605,294344,205.54,8.654e-07,6.06
paris,20151116,774,290307,266.61,2.648e-11,10.58
paris,20151119,733,344310,212.89,2.330e-07,6.63
paris,20170430,862,155960,552.71,1.813e-35,34.74
paris,20190417,737,294616,250.16,4.920e-10,9.31
paris,20230725,486,271266,179.16,4.841e-05,4.32
paris,20240725,566,265582,213.12,2.867e-07,6.54
paris,20240728,648,252695,256.44,2.035e-10,9.69
paris,20240731,552,264703,208.54,5.964e-07,6.22
paris,20240803,575,241794,237.81,5.472e-09,8.26
paris,20240806,487,250488,194.42,5.538e-06,5.26
paris,20240809,532,254610,208.95,5.816e-07,6.24
paris,20240812,526,191074,275.29,1.224e-11,10.91
quatre,19511004,186,61693,301.49,8.532e-18,17.07
quatre,19521004,145,93174,155.62,3.169e-06,5.50
quatre,19551006,175,107989,162.05,6.796e-07,6.17
quatre,19561004,160,106803,149.81,6.396e-06,5.19
président,19450414,195,45418,429.35,6.258e-12,11.20
président,19450418,91,32053,283.90,4.468e-05,4.35
président,19450726,90,32526,276.70,7.710e-05,4.11
président,19450804,133,45219,294.12,6.998e-06,5.16
président,19451006,123,43852,280.49,2.582e-05,4.59
président,19460907,179,68112,262.80,5.209e-05,4.28
président,19470117,171,57144,299.24,2.361e-06,5.63
président,19580731,246,92463,266.05,2.426e-05,4.62
président,19590828,261,90279,289.10,2.541e-06,5.60
président,19590901,258,92257,279.65,6.381e-06,5.20
président,19590904,288,82520,349.01,4.895e-09,8.31
président,19621026,313,116718,268.17,1.468e-05,4.83
président,19631123,367,131952,278.13,4.614e-06,5.34
président,19631127,517,139287,371.18,1.069e-10,9.97
président,19690430,433,165945,260.93,2.146e-05,4.67
président,19700930,522,172560,302.50,2.454e-07,6.61
président,19740403,488,196556,248.28,6.710e-05,4.17
président,19740406,522,181144,288.17,1.135e-06,5.95
président,19740410,420,169821,247.32,8.125e-05,4.09
président,19740812,442,138852,318.32,5.479e-08,7.26
président,19880405,249,87120,285.81,3.767e-06,5.42
président,19910823,400,152994,261.45,2.183e-05,4.66
président,19970401,755,252914,298.52,2.684e-07,6.57
président,19980103,773,172192,448.92,3.103e-15,14.51
président,19980717,490,198053,247.41,7.273e-05,4.14
président,19980915,944,251662,375.11,2.552e-11,10.59
président,19990105,579,222655,260.04,1.897e-05,4.72
président,19990716,475,191513,248.02,6.993e-05,4.16
président,20000103,705,176084,400.38,1.736e-12,11.76
président,20071231,225,88157,255.23,7.222e-05,4.14
président,20080923,601,240052,250.36,4.851e-05,4.31
président,20170509,752,288200,260.93,1.493e-05,4.83
grand,19450414,61,45418,134.31,1.571e-06,5.80
grand,19760911,163,169655,96.08,9.740e-05,4.01
grand,19970419,221,231260,95.56,5.378e-05,4.27
grand,20091123,174,179696,96.83,6.606e-05,4.18
grand,20170527,225,239313,94.02,8.341e-05,4.08
grand,20190120,208,218431,95.22,6.854e-05,4.16
grand,20190123,338,330075,102.40,1.980e-06,5.70
grand,20190126,314,270624,116.03,1.386e-08,7.86
grand,20190408,315,258184,122.01,1.279e-09,8.89
cinq,19480430,62,50111,123.73,5.938e-05,4.23
devant,19471121,67,53274,125.76,8.125e-06,5.09
devant,19481111,68,57976,117.29,3.299e-05,4.48
devant,19501129,94,79177,118.72,6.786e-06,5.17
devant,19520117,83,77240,107.46,9.461e-05,4.02
devant,19580515,100,92978,107.55,5.267e-05,4.28
devant,19601025,104,96657,107.60,4.651e-05,4.33
devant,19610420,107,93506,114.43,1.022e-05,4.99
devant,19610717,112,91621,122.24,1.604e-06,5.79
devant,19611109,107,98933,108.15,3.815e-05,4.42
devant,19620125,128,113115,113.16,7.510e-06,5.12
devant,19620212,136,107918,126.02,3.088e-07,6.51
devant,19620216,126,121262,103.91,6.074e-05,4.22
jour,19450510,71,46528,152.60,8.301e-11,10.08
jour,19460810,68,71825,94.67,9.237e-05,4.03
jour,19470519,63,59722,105.49,1.222e-05,4.91
jour,19471107,61,61575,99.07,5.976e-05,4.22
jour,19471128,36,29052,123.92,2.148e-05,4.67
jour,19481126,69,70833,97.41,4.574e-05,4.34
jour,19490504,77,70162,109.75,1.178e-06,5.93
jour,19501125,75,77736,96.48,3.752e-05,4.43
jour,19520218,101,96733,104.41,8.365e-07,6.08
jour,19531030,105,109536,95.86,8.408e-06,5.08
jour,19531127,137,112066,122.25,2.494e-10,9.60
jour,19540128,77,81101,94.94,4.813e-05,4.32
jour,20040604,218,265195,82.20,5.933e-05,4.23
jour,20140727,114,124880,91.29,2.267e-05,4.64
jour,20200318,259,316174,81.92,4.524e-05,4.34
jour,20200321,203,241621,84.02,3.671e-05,4.44
jour,20200324,280,302375,92.60,4.990e-07,6.30
jour,20200330,194,224400,86.45,1.724e-05,4.76
jour,20200408,243,277269,87.64,5.781e-06,5.24
jour,20200411,176,206573,85.20,3.570e-05,4.45
heures,19461120,78,62028,125.75,1.778e-05,4.75
heures,19471104,76,64128,118.51,5.608e-05,4.25
heures,19471202,47,30340,154.91,2.885e-06,5.54
heures,19530813,109,73649,148.00,1.643e-07,6.78
heures,19530818,178,92944,191.51,6.281e-12,11.20
heures,19580515,108,92978,116.16,3.552e-05,4.45
heures,19610424,143,120625,118.55,1.358e-05,4.87
heures,19610502,109,97556,111.73,7.204e-05,4.14
heures,19650520,143,122827,116.42,1.978e-05,4.70
heures,19680528,222,151309,146.72,2.456e-08,7.61
heures,19680531,191,138186,138.22,1.898e-07,6.72
heures,19900410,132,111356,118.54,1.583e-05,4.80
heures,19910508,278,158276,175.64,2.957e-11,10.53
heures,19971007,484,471472,102.66,7.965e-05,4.10
heures,19981017,276,245892,112.24,1.779e-05,4.75
heures,19991017,184,151875,121.15,5.424e-06,5.27
heures,20000214,560,235848,237.44,1.381e-18,17.86
heures,20001222,360,316046,113.91,1.005e-05,5.00
heures,20001225,181,144816,124.99,2.707e-06,5.57
heures,20010705,585,550498,106.27,3.538e-05,4.45
heures,20020907,357,334010,106.88,4.117e-05,4.39
heures,20030511,256,193214,132.50,3.392e-07,6.47
heures,20040713,191,162147,117.79,9.621e-06,5.02
heures,20040830,218,189447,115.07,1.343e-05,4.87
heures,20050205,196,186342,105.18,9.572e-05,4.02
heures,20050512,494,333950,147.93,4.588e-09,8.34
heures,20060516,261,214996,121.40,3.105e-06,5.51
heures,20070607,346,270331,127.99,5.679e-07,6.25
heures,20110102,104,86646,120.03,2.044e-05,4.69
heures,20141130,218,166593,130.86,6.207e-07,6.21
fin,20121219,320,281657,113.61,3.217e-05,4.49
jours,19680531,131,138186,94.80,6.996e-06,5.16
jours,19680830,126,142168,88.63,4.647e-05,4.33
jours,19880318,269,234901,114.52,4.099e-10,9.39
jours,19921108,214,154654,138.37,1.509e-13,12.82
jours,19931118,224,250630,89.37,8.020e-06,5.10
jours,19940505,166,197591,84.01,8.705e-05,4.06
jours,19960222,210,248015,84.67,4.331e-05,4.36
jours,20030815,141,165369,85.26,8.856e-05,4.05
jours,20030818,116,130945,88.59,6.019e-05,4.22
jours,20111225,104,99864,104.14,1.338e-06,5.87
jours,20200315,211,222893,94.66,1.549e-06,5.81
jours,20200318,355,316174,112.28,3.375e-10,9.47
jours,20200321,280,241621,115.88,1.987e-10,9.70
jours,20200324,383,302375,126.66,4.867e-13,12.31
jours,20200327,316,268965,117.49,6.049e-11,10.22
jours,20200330,264,224400,117.65,1.294e-10,9.89
jours,20200402,364,325432,111.85,3.703e-10,9.43
jours,20200405,197,198307,99.34,3.873e-07,6.41
jours,20200408,251,277269,90.53,4.160e-06,5.38
jours,20200414,230,236296,97.34,4.725e-07,6.33
