composante,j-15,j-14,j-13,j-12,j-11,j-10,j-9,j-8,j-7,j-6,j-5,j-4,j-3,j-2,j-1,j+0,j+1,j+2,j+3,j+4,j+5,j+6,j+7,j+8,j+9,j+10,j+11,j+12,j+13,j+14,j+15
16,0.04146303,0.01766155,0.00512834,-0.11053109,-0.03300050,-0.03512168,0.15184304,0.07440484,-0.02388192,-0.01011364,-0.25426317,0.18888820,0.03680571,-0.01669805,0.00120674,0.05395724,-0.01982876,0.08524341,-0.07173843,-0.26606279,0.58248632,-0.10882112,-0.36139999,-0.15565259,0.09474567,0.35220571,0.16346781,0.11421144,-0.11993710,-0.21645540,-0.16021282
17,0.11478397,0.13841295,0.03258782,-0.15288983,-0.16864977,-0.17348074,0.26025667,0.15665017,0.05100297,-0.18544507,-0.25066375,0.31284024,-0.03932114,-0.06577996,0.00313027,-0.09183835,-0.01187362,0.04135329,-0.13342347,0.14091038,0.08553838,-0.48274244,0.20893814,0.21082021,0.11635552,-0.14109446,-0.28202152,-0.10238273,-0.01187002,0.22839442,0.19150148
18,0.02838813,0.14912553,-0.05726477,-0.22430981,-0.08710487,0.00851826,0.27750799,0.10568605,0.03655869,-0.39456136,0.00440900,0.24736742,-0.10495213,0.00325952,0.00803107,0.05203533,0.00775710,-0.01148383,0.03029175,0.09194759,-0.25677883,0.16806548,0.32361761,-0.34354263,-0.19733261,0.00113561,0.28131170,0.26217133,-0.01890171,-0.14345507,-0.24749753
19,0.29636350,-0.00530317,0.00508852,-0.39229948,-0.06962548,0.08626848,0.30303675,0.11717899,-0.35203908,-0.21242869,0.41022054,-0.12669493,-0.05286130,0.04018477,-0.02443831,-0.05724154,-0.01118148,-0.02116704,0.06184286,-0.04441697,-0.06606528,0.22145140,-0.32399735,0.09724033,0.13516006,0.09346814,-0.17370968,-0.13344689,0.00208531,0.02786827,0.16945877
20,-0.05218089,-0.09943198,0.08125469,0.05356065,0.21976520,-0.22579416,-0.04213773,-0.12174939,0.48942027,-0.33966886,-0.07214186,0.12559760,-0.03595500,0.00817324,-0.00626950,-0.01099659,-0.00142214,0.00589326,0.00614818,0.05533352,-0.15569408,0.23694512,-0.18090023,-0.21737192,0.18984584,0.32384331,-0.12392471,-0.32938399,-0.07584274,0.20705217,0.08803268
21,-0.02201777,0.05930117,-0.08407494,0.13443553,-0.18682613,0.08900621,-0.20422344,0.40316153,-0.18006522,0.00793916,-0.05871126,0.06740626,-0.06024045,0.03998151,-0.01488004,-0.01395708,0.00481865,-0.01099498,0.02790089,-0.03669960,0.00917746,0.03079270,0.04375633,-0.35554945,0.41637182,-0.22969995,0.34073012,-0.41966198,0.05648209,-0.00987501,0.15621587
22,-0.00709144,-0.27532670,0.23348176,0.18040568,0.18438241,-0.43699647,-0.06242675,0.31519798,0.04465878,-0.30432648,0.12877076,0.05099183,-0.09682465,0.04806067,-0.01350906,-0.01308509,-0.01248014,0.01365308,-0.04335272,-0.01746216,0.08604394,0.05516236,-0.18479112,0.26763587,-0.02165346,-0.35896855,0.13685629,0.18720096,0.15287410,-0.24044344,0.00336178
23,-0.17672331,0.15523707,-0.09510070,0.38259210,-0.25612124,-0.10477725,-0.14537199,0.40594613,-0.12196642,-0.24382202,0.25504611,-0.13417612,0.07786633,-0.02918759,0.02013038,0.05442344,0.02324851,-0.02374420,0.05325222,-0.08519031,0.07295033,-0.05436267,0.04967339,0.00331722,-0.15720150,0.30915714,-0.23032995,0.09384354,-0.18676591,0.28513838,-0.19698111
24,-0.17666624,0.34365036,-0.19481283,0.03349872,-0.18726038,0.22331760,-0.02529389,-0.18014165,0.24493336,-0.16876506,0.01841439,0.05613858,-0.02401280,-0.00502739,0.01450224,0.04308253,0.01669994,-0.03466323,0.06709203,-0.02498734,0.00705422,0.10954555,-0.33591619,0.14802783,0.39524066,-0.38544098,-0.10504360,0.26379979,0.01170778,0.08211875,-0.23079276
25,0.11203129,-0.14252000,-0.03361395,-0.01647448,0.28064978,-0.24731415,0.03129164,0.09422552,-0.23602781,0.23551882,-0.05798515,-0.02275219,0.03707432,-0.01554780,0.00507208,0.01820504,0.00878338,0.00941774,-0.04537050,0.07669930,-0.07655296,0.02622911,0.09569731,-0.36854844,0.41900016,-0.03149796,-0.39410223,0.30679458,0.12935378,0.09734817,-0.29508440
26,0.42403682,-0.07904870,-0.28219171,-0.25755836,0.27174081,0.31033212,-0.53910047,0.22071873,0.17502383,-0.19247105,-0.01750586,0.04444908,-0.03343511,0.00318443,0.00450096,-0.02866894,-0.01101190,-0.00386962,0.02242923,-0.03445523,0.08089713,-0.13450967,0.04677730,0.08282173,-0.09654626,0.03251087,-0.05690989,0.02822693,0.11471608,0.04978402,-0.14486730
27,-0.47766860,0.17537512,0.55270595,-0.44567881,0.10384108,0.10917584,-0.17555869,0.13910692,-0.03811393,0.00237813,0.04349136,-0.04711235,0.01619014,0.00468857,0.00609730,0.03522198,-0.00807559,0.01577239,-0.01318882,0.01105260,0.04774538,-0.06276303,0.02177164,0.01979302,-0.00307199,0.04006079,-0.03139219,-0.13893298,0.24316585,0.09661094,-0.24268804
28,-0.05960495,0.17911668,-0.16673133,-0.19434774,0.41881943,-0.22947631,0.03380321,0.06326114,-0.12731891,0.12194830,-0.01451992,-0.03454514,0.02814276,-0.02108521,0.01091411,0.00691744,0.01146857,-0.00628928,-0.01089210,0.00567577,-0.00681211,0.02701531,-0.07905352,0.12785873,-0.04692342,-0.17635185,0.35535569,-0.03067301,-0.52012776,0.41320762,-0.07875222
29,-0.23969129,0.29624581,-0.05102323,-0.13941849,0.20142940,-0.00519442,-0.21103616,0.13035616,0.02843979,-0.03731954,0.03398308,-0.04316410,0.03615308,-0.02993827,0.00662676,-0.02337667,-0.00204366,0.00019480,-0.02715453,0.02222622,-0.01871567,-0.00071773,0.05911188,-0.12744854,0.07565306,0.05778129,-0.20911060,0.29714228,-0.26966350,-0.38966835,0.57934115
30,0.13571497,-0.41706235,0.47288763,-0.05018975,-0.25572739,0.26815883,-0.14085426,-0.00742984,0.05769644,-0.02941801,-0.02157278,0.01893043,-0.01306555,0.00891847,-0.00585973,0.00042293,0.00105670,0.00475752,0.01424398,0.00072960,-0.01095113,0.00670040,0.03976660,-0.09919320,0.11918240,-0.11298592,0.01454196,0.26904257,-0.51823900,0.18753168,0.06226577
31,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530
