composante,j-15,j-14,j-13,j-12,j-11,j-10,j-9,j-8,j-7,j-6,j-5,j-4,j-3,j-2,j-1,j+0,j+1,j+2,j+3,j+4,j+5,j+6,j+7,j+8,j+9,j+10,j+11,j+12,j+13,j+14,j+15
1,-0.11967931,-0.12599543,-0.12398897,-0.12434276,-0.12862922,-0.12123221,-0.11199641,-0.10310862,-0.09019007,-0.06761271,-0.04720340,-0.00875634,0.05783746,0.19052780,0.49480282,-0.33953467,0.54907625,0.30081832,0.17683253,0.11090354,0.06137299,0.03014892,0.00070783,-0.01873407,-0.03666715,-0.05106441,-0.06067509,-0.07111176,-0.07215882,-0.07318615,-0.07716092
2,0.03840711,0.03434691,0.03333442,0.04653356,0.06406327,0.07270102,0.08330880,0.09675313,0.12014646,0.14346769,0.16179205,0.21368372,0.26134465,0.36206238,0.52053696,-0.06265678,-0.31112005,-0.24833839,-0.20492701,-0.19803944,-0.17044982,-0.15805922,-0.13788796,-0.12685701,-0.11640445,-0.09699033,-0.08460683,-0.08792058,-0.08517988,-0.08542231,-0.07762207
3,-0.09352793,-0.11339240,-0.11858739,-0.13638403,-0.13719845,-0.13414881,-0.14643116,-0.14637135,-0.16510310,-0.16315551,-0.15138878,-0.13290828,-0.08347412,0.05062864,0.39277559,0.00285314,-0.55637257,-0.07455601,0.06718629,0.12786552,0.14587152,0.16427167,0.18015032,0.18304815,0.17961374,0.16895130,0.15498554,0.14477255,0.15110885,0.13385198,0.10506511
4,0.16957512,0.17058846,0.15610865,0.14231862,0.12501321,0.09564349,0.04442992,0.00885006,-0.05065183,-0.13167838,-0.21832301,-0.31008994,-0.35059692,-0.28961832,0.46479575,0.26363559,0.27167805,-0.14142251,-0.20633968,-0.15771852,-0.13171769,-0.11044271,-0.06815665,-0.04226079,-0.00926319,0.01955855,0.04643433,0.04582320,0.06394887,0.07339244,0.05648582
5,-0.14153506,-0.15922931,-0.16579392,-0.17574568,-0.16606605,-0.14651420,-0.12008602,-0.07795549,-0.05096274,0.00693396,0.07036671,0.14471166,0.19248437,0.15379201,-0.12658960,0.11493651,0.35745563,-0.27282601,-0.31808523,-0.27612446,-0.18235956,-0.10047203,-0.00653617,0.06961647,0.11606019,0.17970754,0.19894809,0.23305121,0.22185187,0.22624291,0.20072241
6,0.26160556,0.24640177,0.21841294,0.14896998,0.07659595,-0.03643711,-0.13489892,-0.24256396,-0.30554175,-0.33655147,-0.28949154,-0.13161855,0.25212473,0.52522022,-0.19545647,0.10908935,-0.00538598,0.09855615,0.01120666,-0.02233652,-0.03731934,-0.05219952,-0.04853191,-0.03820188,-0.01745015,-0.01672280,-0.00500587,-0.00872533,0.00453418,-0.00968491,-0.01859350
7,-0.00953315,-0.04955731,-0.08167348,-0.04884862,-0.03672792,-0.00879766,0.02423999,0.00343011,0.02159620,0.04110107,0.01275591,0.00580528,0.00201061,-0.07546068,0.03324045,0.07851148,-0.20698753,0.54244855,0.27561377,-0.10182165,-0.27810609,-0.35662303,-0.32678849,-0.21544072,-0.12111745,-0.01926698,0.08210833,0.16363583,0.20579077,0.23261590,0.21184651
8,0.02461562,-0.02607903,-0.07475790,-0.12665108,-0.17135473,-0.15745235,-0.12153293,-0.08816594,-0.04902136,0.01986582,0.08933103,0.14544914,0.11617098,-0.05452507,0.09964625,0.68110561,0.07991588,-0.20232039,0.20759852,0.28869077,0.19101474,0.03528153,-0.10018006,-0.18872787,-0.20075213,-0.20802198,-0.16500529,-0.08497986,-0.02452371,0.02160354,0.04376226
9,0.17990403,0.14080774,0.11797745,0.00377805,-0.05862721,-0.18323998,-0.23606265,-0.24245662,-0.15622627,0.03982349,0.21181944,0.32871121,0.12492694,-0.35290434,0.10407779,0.15432171,-0.06887617,0.36641404,-0.17229572,-0.25112521,-0.14444266,0.05663007,0.18700592,0.20727448,0.14289332,0.05261074,-0.03370744,-0.08097687,-0.14070060,-0.14702808,-0.15030658
10,-0.15877529,-0.19634950,-0.19333069,-0.13292961,-0.04704442,0.04775558,0.17282915,0.21701929,0.16335532,0.03160468,-0.10724734,-0.24863512,-0.12317033,0.33876001,-0.02399950,0.48103757,-0.01476086,0.33276859,-0.11705984,-0.19184357,-0.09348740,0.05454517,0.15946081,0.15120142,0.10871664,0.03782838,-0.02796846,-0.11416351,-0.13550641,-0.21033631,-0.16027445
