mot,date,X_t,N_t,f_t,p_t,surprise,n_absorbes
pris,19610424,132,249277,52.95,3.278e-05,4.48,0
certains,20200417,424,585006,72.48,6.564e-05,4.18,0
ministre,19740410,757,397241,190.56,9.775e-05,4.01,0
ministre,19760830,722,304998,236.72,2.149e-07,6.67,0
ministre,19840723,732,362841,201.74,2.42e-05,4.62,0
ministre,19860322,754,383468,196.63,4.584e-05,4.34,0
nouvelle,19841201,347,406085,85.45,9.543e-05,4.02,0
nouvelle,19850816,368,327066,112.52,3.993e-10,9.4,4
nouvelle,19870827,277,318649,86.93,8.365e-05,4.08,0
nouvelle,19890508,299,333268,89.72,2.41e-05,4.62,0
nouvelle,20050902,724,817997,88.51,8.556e-06,5.07,0
nouvelle,20240524,625,721674,86.6,2.445e-05,4.61,0
près,20150807,285,383445,74.33,3.51e-06,5.45,0
près,20220812,1184,1765880,67.05,2.205e-05,4.66,0
chef,19450503,102,93625,108.95,1.579e-05,4.8,0
chef,19580610,235,234853,100.06,1.541e-05,4.81,0
chef,19600908,276,232286,118.82,4.055e-08,7.39,7
chef,19610909,231,245479,94.1,8.028e-05,4.1,0
question,19450724,108,91199,118.42,1.674e-07,6.78,0
question,19460416,126,102337,123.12,2.512e-08,7.6,14
question,19470211,130,136608,95.16,2.387e-05,4.62,0
question,19491107,160,174532,91.67,3.577e-05,4.45,0
question,19540902,253,243006,104.11,4.548e-07,6.34,0
gouvernement,19451122,473,119584,395.54,2.548e-05,4.59,0
cas,19720212,289,327476,88.25,3.906e-05,4.41,0
cas,20090501,352,377296,93.3,3.943e-06,5.4,0
cas,20200320,946,644636,146.75,2.191e-19,18.66,21
cas,20211231,677,539062,125.59,1.512e-13,12.82,2
prendre,19580516,120,232009,51.72,2.911e-05,4.54,1
prendre,19680522,168,346177,48.53,4.865e-05,4.31,0
prendre,20200320,350,644636,54.29,6.701e-09,8.17,1
compte,20130405,506,645365,78.41,9.526e-11,10.02,0
guerre,19450511,315,97071,324.5,3.016e-10,9.52,32
guerre,19910124,1333,442531,301.22,8.456e-10,9.07,6
guerre,20030321,2120,632832,335.0,2.898e-11,10.54,5
guerre,20220304,1447,672345,215.22,2.355e-06,5.63,0
six,19581215,181,203659,88.87,4.985e-06,5.3,0
six,19591124,180,231830,77.64,9.913e-05,4.0,0
six,19620803,225,213480,105.4,2.75e-08,7.56,5
six,19660729,201,257988,77.91,8.057e-05,4.09,0
six,19710818,212,263298,80.52,3.761e-05,4.42,0
moment,19541123,153,246823,61.99,9.75e-06,5.01,0
moment,19620523,185,303788,60.9,8.096e-06,5.09,0
moment,20200410,299,538176,55.56,4.767e-05,4.32,0
nationale,19460927,218,156428,139.36,1.277e-05,4.89,2
pouvoir,19580602,279,261321,106.77,1.759e-05,4.75,0
pouvoir,19680530,390,337018,115.72,1.499e-06,5.82,1
française,19450201,96,74306,129.2,2.31e-05,4.64,2
française,19460416,150,102337,146.57,7.064e-07,6.15,4
française,19470422,185,140927,131.27,5.502e-06,5.26,1
française,19600128,341,252755,134.91,1.507e-06,5.82,0
unis,19450416,149,87678,169.94,3.999e-06,5.4,1
unis,19621024,402,288127,139.52,8.279e-05,4.08,0
unis,19640810,337,229538,146.82,3.35e-05,4.47,0
unis,19710818,388,263298,147.36,2.831e-05,4.55,0
unis,20010914,2467,1245878,198.01,4.424e-09,8.35,3
unis,20030321,911,632832,143.96,3.233e-05,4.49,1
nombre,19450910,102,115772,88.1,7.255e-06,5.14,0
nombre,20200501,421,547632,76.88,8.918e-06,5.05,2
côté,20080104,178,310314,57.36,1.318e-05,4.88,0
travail,19471201,176,69475,253.33,2.873e-16,15.54,2
travail,19680607,618,360086,171.63,8.819e-11,10.05,2
travail,19960419,592,505173,117.19,1.64e-05,4.79,0
travail,19971007,1256,1124034,111.74,3.834e-05,4.42,0
travail,20160527,799,703192,113.62,2.971e-05,4.53,1
situation,19561103,263,254626,103.29,4.499e-06,5.35,0
situation,19680828,349,372479,93.7,3.259e-05,4.49,0
presse,19450314,68,74494,91.28,9.727e-06,5.01,1
presse,19460314,119,105976,112.29,2.211e-09,8.66,2
presse,19470405,139,149684,92.86,3.653e-07,6.44,2
presse,19480228,109,134086,81.29,2.227e-05,4.65,0
presse,19650318,191,262785,72.68,8.387e-05,4.08,0
presse,19720204,298,316515,94.15,2.561e-08,7.59,0
presse,19741101,298,418003,71.29,7.551e-05,4.12,0
presse,19791103,383,484707,79.02,4.167e-06,5.38,0
presse,19831214,352,396115,88.86,1.302e-07,6.89,1
presse,19860108,285,339502,83.95,1.106e-06,5.96,0
presse,20031205,523,634957,82.37,8.749e-07,6.06,0
voir,19610603,110,206054,53.38,9.762e-05,4.01,0
voir,19640818,111,201177,55.18,3.603e-05,4.44,0
voir,19650906,158,265486,59.51,3.284e-07,6.48,2
voir,19780622,221,439001,50.34,4.132e-05,4.38,0
parti,19461115,308,129476,237.88,1.741e-06,5.76,2
parti,19471029,278,129198,215.17,1.294e-05,4.89,1
conseil,19460408,273,116563,234.21,5.108e-05,4.29,0
conseil,19580729,470,211836,221.87,9.336e-05,4.03,0
conseil,19890311,1539,476220,323.17,6.553e-08,7.18,0
conseil,19950611,1286,490540,262.16,5.108e-06,5.29,1
hommes,19450511,83,97071,85.5,5.252e-07,6.28,0
hommes,19500829,110,161101,68.28,3.878e-05,4.41,0
hommes,19620419,166,261870,63.39,8.15e-05,4.09,0
hommes,20040813,326,435458,74.86,2.25e-07,6.65,2
hommes,20060818,199,291289,68.32,9.204e-06,5.04,0
jean,19880927,1565,459685,340.45,1.809e-09,8.74,1
jean,19920326,2148,518800,414.03,4.06e-12,11.39,1
jean,19930326,2859,722293,395.82,1.711e-11,10.77,0
