mot,date,X_t,N_t,f_t,p_t,surprise
jours,20211231,492,539062,91.27,1.150e-08,7.94
grande,19450511,133,97071,137.01,5.350e-05,4.27
grande,19450605,151,103719,145.59,1.120e-05,4.95
grande,19460511,162,114205,141.85,1.761e-05,4.75
grande,19561103,367,254626,144.13,3.711e-06,5.43
grande,19630114,356,277429,128.32,6.336e-05,4.20
grande,19630122,379,270633,140.04,7.573e-06,5.12
grande,19630130,518,285026,181.74,1.499e-09,8.82
grande,19630207,339,266609,127.15,8.031e-05,4.10
français,19450605,229,103719,220.79,4.180e-08,7.38
français,19450613,140,73149,191.39,1.446e-05,4.84
français,19450910,208,115772,179.66,2.973e-05,4.53
français,19460314,184,105976,173.62,8.676e-05,4.06
français,19540825,378,223806,168.90,6.547e-05,4.18
français,19561026,455,253380,179.57,9.861e-06,5.01
français,19580214,401,230390,174.05,2.752e-05,4.56
français,19610722,561,260813,215.10,1.372e-08,7.86
français,19610731,468,242154,193.27,9.357e-07,6.03
place,20110204,531,584486,90.85,8.725e-05,4.06
pays,19620921,652,277014,235.37,3.907e-05,4.41
pays,19790626,1203,498226,241.46,1.150e-05,4.94
nouveau,19450407,78,74241,105.06,4.827e-05,4.32
nouveau,19690620,324,369980,87.57,7.333e-05,4.13
nouveau,19720710,357,370634,96.32,1.705e-06,5.77
nouveau,19740522,431,413913,104.13,2.854e-08,7.54
nouveau,19740530,415,412875,100.51,1.745e-07,6.76
nouveau,19810527,411,447447,91.85,8.267e-06,5.08
nouveau,19840723,348,362841,95.91,2.174e-06,5.66
nouveau,19860322,367,383468,95.71,2.067e-06,5.68
nouveau,19890311,679,476220,142.58,1.558e-18,17.81
nouveau,19890318,551,446418,123.43,4.536e-13,12.34
nouveau,19920403,451,518718,86.95,5.395e-05,4.27
nouveau,19930403,447,512289,87.26,4.820e-05,4.32
nouveau,19950611,512,490540,104.37,1.501e-08,7.82
nouveau,19950618,719,503898,142.69,1.009e-18,18.00
nouveau,19970608,516,563957,91.50,6.339e-06,5.20
nouveau,20070518,482,478448,100.74,1.041e-07,6.98
nouveau,20120511,686,803966,85.33,6.307e-05,4.20
nouveau,20140404,589,614481,95.85,6.815e-07,6.17
nouveau,20170512,624,655000,95.27,8.102e-07,6.09
nouveau,20170519,665,718388,92.57,2.603e-06,5.58
nouveau,20240705,620,704347,88.02,2.218e-05,4.65
général,19450731,416,116418,357.33,8.620e-05,4.06
général,19450824,362,96114,376.64,4.527e-05,4.34
général,19500222,706,181034,389.98,2.432e-05,4.61
général,19580602,1066,261321,407.93,1.194e-05,4.92
général,19580610,889,234853,378.53,3.562e-05,4.45
général,19620523,1064,303788,350.24,9.693e-05,4.01
politique,19620828,525,228848,229.41,5.994e-05,4.22
partie,19450629,83,97013,85.56,8.060e-06,5.09
pris,19450116,49,55684,88.00,4.466e-08,7.35
pris,19450124,48,61155,78.49,1.126e-06,5.95
pris,19450322,50,73564,67.97,2.334e-05,4.63
pris,19450416,57,87678,65.01,2.362e-05,4.63
