composante,j-15,j-14,j-13,j-12,j-11,j-10,j-9,j-8,j-7,j-6,j-5,j-4,j-3,j-2,j-1,j+0,j+1,j+2,j+3,j+4,j+5,j+6,j+7,j+8,j+9,j+10,j+11,j+12,j+13,j+14,j+15
16,0.00982766,-0.08609620,0.02150215,-0.06016317,0.00628410,0.01131381,0.06203482,0.15191413,-0.01464774,0.02210849,-0.00876812,-0.05433853,-0.18618464,0.12847047,-0.01997769,-0.04896726,-0.00935188,-0.10633670,0.09473058,-0.14618457,-0.15810434,0.25940694,-0.30420437,0.38297099,0.34129104,0.17142573,-0.14269615,-0.52585378,-0.14287620,0.12352813,0.22794228
17,0.30717756,0.14998566,-0.17531290,-0.49756685,-0.12738590,0.01842881,0.23971246,0.33294819,-0.29924515,0.16005584,0.20297138,0.06474083,-0.35785647,0.08532692,-0.02942429,-0.04123222,-0.01198968,0.00580395,0.12223425,-0.12654596,-0.02786036,-0.06954547,0.08492850,-0.04607286,-0.02778503,0.01295740,0.02115316,0.12227691,0.15650317,-0.16643206,-0.08294980
18,-0.09665452,0.01003740,0.04416001,0.15145934,0.12047211,-0.10935371,-0.21108312,-0.13616872,0.19357138,-0.42053487,0.43227942,0.32611390,-0.46511117,0.15366497,-0.01372116,-0.00061799,0.01923549,-0.12763297,0.17524966,-0.14952668,0.07841011,0.08149511,-0.05518755,-0.12490452,0.00918484,0.09558083,0.01411390,0.11071854,-0.00050331,-0.05947401,-0.04527270
19,-0.06745111,0.08961564,-0.06664658,0.01536286,-0.00045990,-0.03194971,-0.09402070,0.13267880,0.00017705,-0.06555671,0.17703764,-0.04137893,-0.08820448,0.02965215,0.00795855,0.02285455,0.01168815,0.04676456,-0.22924579,0.59941922,-0.66551046,0.13271758,0.01299344,-0.05880310,0.02366080,0.12730735,0.05152510,0.03498251,0.00334183,-0.01287902,-0.09763128
20,-0.20136651,0.14030346,0.01035598,-0.22029911,0.08852839,0.31688514,0.07467795,-0.20017572,0.01548497,0.14336085,-0.47810876,0.48121369,-0.25502253,0.06066953,0.02153326,0.02588534,0.00875988,0.02146532,-0.03109404,0.03135936,-0.08751475,0.06290651,-0.02062370,0.01617920,-0.09261290,0.09354184,0.06465365,0.14692568,-0.33500459,0.12471871,-0.02758610
21,-0.00698314,-0.02796520,0.19246628,-0.06811251,-0.00409787,-0.04807186,-0.10607744,0.02531783,0.09105995,-0.07563802,-0.17745178,0.23913483,-0.03017802,-0.00860813,-0.00958206,-0.00617585,-0.01671922,-0.01359798,-0.03118443,0.13479096,-0.03611434,-0.07297212,-0.11966014,0.51281468,0.03872245,-0.29444815,-0.40380011,0.19358897,0.44276193,-0.18908474,-0.12413477
22,0.04480601,-0.00956945,0.07784107,-0.06400418,-0.18527602,0.00182696,0.19804308,-0.05126075,-0.00285322,-0.13973889,0.27161163,-0.14865329,0.04431613,-0.05094588,0.02431189,-0.01011843,-0.00641796,-0.02446036,0.00089269,0.04839133,-0.03860907,-0.02584542,-0.01810746,0.24333075,0.02469408,-0.25225359,-0.18030698,0.45458552,-0.56896561,0.02928875,0.31344667
23,0.14150298,0.15365674,-0.36401681,-0.21216882,0.34823189,0.32128182,-0.03753738,-0.52722334,0.12460051,0.06502818,0.20231335,-0.28963235,0.05323633,0.04102598,0.00673352,-0.00544675,-0.00096213,-0.01808794,0.01257517,-0.01891636,-0.02830859,0.06553243,-0.12284139,0.11625243,0.15433658,-0.11839598,-0.03003214,0.03133806,0.09795870,0.03904184,-0.20107652
24,0.12763567,-0.27462199,0.55180355,-0.38078196,0.09527222,0.12542190,0.01513212,-0.28638464,0.09372482,-0.02221902,0.05894857,-0.08370271,-0.01191458,0.03843830,-0.02233826,-0.04731908,-0.02581501,0.04654972,-0.04441779,0.03816641,-0.11836639,0.07904362,0.07622271,-0.14814670,-0.18664564,0.02954588,0.11979315,-0.12738748,0.15114826,-0.22949712,0.36271146
25,0.69801088,-0.31663806,-0.32738282,0.22311241,-0.07426380,-0.06069232,-0.05528761,-0.14554095,0.13954321,0.01399392,-0.19385243,0.22786891,-0.11174894,0.02319892,-0.00670451,-0.02204559,0.01040921,0.00796644,-0.10372466,0.12851565,-0.02709678,-0.05696473,0.06489805,-0.08114558,0.05113624,0.02142383,-0.09925197,-0.01515983,-0.06342188,-0.04420259,0.19504737
26,-0.08503187,0.18717700,-0.33661145,0.01367362,0.30200451,0.01271076,-0.35648197,0.22609397,-0.01236688,0.00800563,-0.03563940,-0.01678214,0.01808240,0.01243452,-0.00579149,-0.01532526,-0.01513116,0.01163977,0.00557358,-0.02566636,0.01994894,0.00352442,-0.01327285,0.23594389,-0.40215669,-0.09862751,0.19215617,-0.02918229,-0.02145520,-0.26444293,0.48499629
27,-0.26750697,0.24007865,-0.15532741,-0.01161982,0.04242845,-0.01734458,0.13553581,-0.06010150,0.00654918,0.02970355,-0.06448138,0.01936459,0.01700893,-0.02515143,0.01962708,0.00539904,0.00449849,0.01705016,-0.11162108,0.04047503,0.08383509,-0.00027325,0.04690559,-0.38623586,0.38125935,0.13355288,-0.45003733,0.05466253,0.14248805,-0.28569801,0.41497617
28,0.14770218,-0.15929840,0.15056801,-0.25127423,0.46787129,-0.11028425,-0.40738540,0.26951091,-0.05576518,0.05069102,-0.03286468,-0.08457643,0.10111946,-0.02904080,-0.00199853,-0.00804601,-0.00481358,0.02728887,-0.04092674,-0.03742574,0.08191722,-0.01839345,0.02154222,-0.10379345,0.06030125,0.29239919,-0.34631211,0.21159703,-0.22072765,0.16872115,-0.13830318
29,0.00281123,-0.05919291,0.09762013,-0.04618686,-0.01328854,0.22879116,-0.36683456,0.20737624,-0.04361987,0.02282191,-0.05340581,0.05494751,-0.04615299,0.02635072,-0.00678328,0.00049444,0.00787035,-0.02497657,0.02067285,0.00854456,-0.01042127,-0.01871883,0.05416885,-0.21998703,0.52781177,-0.57418869,0.27551700,-0.01646457,-0.06719107,-0.00784207,0.03945620
30,-0.00912709,0.01138517,-0.00719768,-0.10589396,0.47204284,-0.67459127,0.35806156,-0.08419507,0.00797701,0.02025372,-0.09435912,0.10242317,-0.00934097,-0.01229978,0.00268401,0.00451194,-0.00605685,0.01267943,-0.02801980,0.04846371,-0.03896415,0.02107025,-0.01258293,-0.00495233,0.13732346,-0.26991077,0.23107647,-0.02829044,-0.05844080,0.01924372,-0.00497343
31,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530,-0.17960530
