mot,total,jours_actifs,n_medias
exemple,1563073,6809,36
environ,1465937,6809,36
départ,2023775,6809,36
système,1391096,6809,36
s'était,980127,6809,36
jeune,3252241,6809,36
peine,1156550,6809,36
rendu,844945,6809,36
certain,623568,6809,36
donne,1203742,6809,36
an,2431995,6809,36
vu,2047803,6809,36
communiqué,1601211,6809,36
main,1462092,6809,36
publié,927001,6809,36
volonté,877440,6809,36
présent,1165015,6809,36
manière,1407258,6809,36
faveur,634166,6809,36
plupart,747031,6809,36
trouver,1463589,6809,36
washington,478333,6808,36
l'année,2855836,6809,36
cadre,2375139,6809,36
semaines,1887748,6809,36
création,1492865,6809,36
peuple,431072,6809,36
particulièrement,1106361,6809,36
voie,846615,6809,36
autant,1600907,6809,36
texte,933497,6809,36
vrai,1056863,6809,36
chose,1650029,6809,36
tenu,998789,6809,36
campagne,1587298,6809,36
londres,606754,6808,36
dimanche,5395519,6809,36
juillet,3184249,6809,36
jeunes,4132729,6809,36
particulier,926440,6809,36
l'organisation,948568,6809,36
journée,3312508,6809,36
garde,1417789,6809,36
écrit,1057020,6809,36
moyen,981823,6809,36
janvier,3128956,6808,36
comité,1392693,6809,36
nécessaire,723548,6809,36
désormais,2483898,6809,36
contraire,517385,6809,36
lutte,863847,6809,36
production,1278817,6809,36
société,2398845,6809,36
besoin,1536255,6809,36
l'ancien,1557171,6809,36
ajouté,1130977,6809,36
international,867878,6809,36
ministres,444773,6807,36
important,1381200,6809,36
corps,1201517,6809,36
discours,772412,6809,36
élections,946757,6807,36
plutôt,1550121,6809,36
relations,628951,6808,36
libre,1455335,6809,36
premières,1055209,6809,36
population,1209299,6808,36
crise,1906319,6809,36
second,1097756,6809,36
gauche,1801175,6809,36
demi,1386744,6809,36
simple,1069732,6809,36
d'autre,399953,6808,36
l'assemblée,1109967,6808,36
seconde,1129723,6809,36
septembre,3339177,6809,36
principe,535157,6805,36
récemment,761542,6809,36
trente,657108,6809,36
lundi,3941092,6809,36
neuf,1030704,6809,36
jeu,2593026,6809,36
vendredi,4841222,6809,36
rue,2652548,6809,36
nombreuses,1422599,6809,36
représentants,547537,6809,36
période,1899757,6809,36
travaux,2193836,6808,36
passer,1817919,6809,36
nations,397190,6808,36
permis,1702142,6809,36
ligne,2284106,6809,36
droits,1183736,6809,36
ajoute,1026443,6809,36
revanche,921037,6809,36
bas,1368996,6809,36
new,910286,6809,36
fond,939612,6809,36
l'une,1112940,6809,36
mars,3301108,6809,36
prochain,1601109,6809,36
véritable,838634,6809,36
mai,3035970,6809,36
maison,2965129,6809,36
solution,687671,6809,36
précise,1868774,6809,36
sorte,570732,6809,36
d'après,1124411,6809,36
difficultés,686139,6809,36
négociations,521483,6809,36
propre,860989,6809,36
l'est,599892,6809,36
territoire,1574930,6808,36
mission,960954,6808,36
sein,1797342,6809,36
chargé,622941,6809,36
l'homme,1363791,6809,36
total,1383672,6809,36
économiques,546226,6808,36
marché,2610179,6809,36
raisons,632381,6809,36
large,846020,6809,36
l'objet,685787,6808,36
voit,994848,6809,36
pourra,948895,6809,36
dirigeants,751552,6809,36
haute,1066981,6809,36
décembre,2831486,6809,36
but,1649895,6809,36
tenir,585128,6809,36
terre,1299694,6809,36
socialiste,553598,6809,36
appel,1073639,6809,36
chefs,464127,6808,36
l'histoire,1534193,6809,36
partis,483474,6809,36
faits,1248777,6808,36
débat,957704,6809,36
valeur,852249,6809,36
l'affaire,745577,6809,36
l'europe,826091,6809,36
pense,1121456,6809,36
mardi,3944348,6809,36
parlement,594344,6808,36
parler,1036117,6809,36
bureau,1110252,6807,36
personnel,971233,6809,36
permettre,1237745,6809,36
l'heure,1027361,6809,36
produits,1903481,6809,36
enfants,4853429,6809,36
gens,1980281,6809,36
octobre,2703320,6807,36
sociale,1083771,6809,36
populaire,677381,6808,36
paul,1108117,6809,36
série,1398777,6809,36
longue,858381,6809,36
faisant,767879,6809,36
l'avenir,743460,6809,36
risque,1606173,6809,36
choses,1340373,6809,36
françaises,576321,6809,36
jeudi,4024786,6809,36
confiance,1013063,6809,36
demander,542986,6809,36
novembre,2795041,6809,36
nature,1064599,6809,36
petite,1888653,6809,36
jusqu'au,1458125,6809,36
réponse,770136,6809,36
prises,568878,6809,36
terme,1411069,6809,36
certes,532977,6809,36
europe,1025304,6809,36
choix,1821632,6809,36
chambre,754003,6808,36
quinze,628397,6809,36
rapidement,1157658,6809,36
importante,706159,6809,36
viennent,850490,6809,36
rencontre,2022572,6809,36
développement,1402028,6809,36
poste,1233042,6809,36
s'y,722116,6809,36
kilomètres,691257,6809,36
samedi,5940761,6809,36
cour,1195644,6807,36
zone,1492388,6809,36
concerne,563414,6807,36
affirme,779340,6809,36
yeux,809185,6808,36
social,1267203,6809,36
atteint,751789,6809,36
niveau,2783740,6809,36
publics,927652,6809,36
etc,761521,6807,36
tient,695268,6809,36
heure,1092341,6809,36
résultat,1040626,6809,36
mer,1536155,6808,36
puisse,495463,6808,36
présente,1049857,6809,36
famille,2817014,6809,36
faite,462569,6807,36
compris,871862,6809,36
membre,777713,6809,36
laisser,787357,6809,36
vice,1006565,6809,36
victoire,1779001,6809,36
matière,929229,6808,36
feu,1495118,6809,36
libération,408990,6806,36
prochaine,1175322,6809,36
commun,680459,6808,36
mme,586100,6806,36
entreprises,1979209,6809,36
européenne,1505353,6809,36
preuve,666511,6809,36
mercredi,3953281,6809,36
termes,534921,6809,36
caractère,426035,6809,36
passe,1547764,6809,36
jacques,1149182,6808,36
précisé,1015236,6809,36
congrès,417312,6809,36
bretagne,1165437,6809,36
cent,262773,6804,36
voulu,614014,6809,36
l'économie,786408,6807,36
groupes,1028690,6809,36
formation,1636692,6809,36
commerce,901592,6807,36
présidence,533203,6809,36
double,798155,6809,36
femme,2110707,6809,36
domaine,766692,6808,36
nécessité,421630,6807,36
seuls,619311,6808,36
prend,1101260,6809,36
affirmé,801076,6809,36
département,1394806,6807,36
forte,1109979,6809,36
york,635001,6809,36
réalité,803825,6809,36
permet,2050812,6809,36
représentant,474445,6808,36
fédération,841465,6809,36
qualité,1369726,6809,36
durant,1869516,6809,36
quarante,332008,6805,36
venir,1577823,6809,36
mille,255785,6805,36
avril,2532769,6807,36
terrain,1819646,6809,36
éléments,609298,6808,36
radio,490610,6809,36
action,727343,6807,36
étrangers,410906,6807,36
sort,683843,6809,36
droite,1599064,6809,36
annonce,843568,6809,36
finalement,1206132,6809,36
croire,471385,6809,36
technique,896364,6809,36
d'autant,768038,6809,36
l'aide,776770,6809,36
certaine,379535,6807,36
mot,595987,6809,36
déclaration,372762,6800,36
ensemble,1264459,6809,36
lettre,476056,6808,36
amis,1031102,6808,36
entendu,506700,6809,36
route,1526591,6809,36
visite,1215663,6809,36
produit,1039784,6809,36
concernant,955718,6809,36
présenté,1019333,6808,36
l'action,499387,6806,36
mondiale,939246,6809,36
dessus,859324,6809,36
d'entre,763622,6809,36
continue,804556,6809,36
mètres,1107516,6809,36
livre,1211667,6808,36
l'étranger,407563,6807,36
commune,3238339,6809,36
milliards,2057182,6809,36
rappelle,1023033,6809,36
juste,1520997,6809,36
pied,1233776,6809,36
penser,472439,6809,36
guère,214240,6809,36
prévu,1093033,6809,36
connu,1204784,6809,36
simplement,660029,6809,36
communiste,193227,6796,36
février,2426474,6809,36
différents,1177246,6809,36
l'issue,789308,6809,36
siècle,888688,6809,36
travers,1192739,6809,36
affaire,696688,6809,36
efforts,449828,6809,36
créer,1139074,6809,36
député,794086,6809,36
dollars,1413820,6809,36
divers,530952,6800,36
jouer,1446853,6809,36
voyage,822508,6808,36
davantage,885068,6809,36
louis,1048804,6809,36
informations,961860,6809,36
obtenu,609242,6809,36
nouvel,989751,6809,36
proche,1134394,6809,36
veille,693953,6809,36
responsabilité,569567,6807,36
l'opposition,514460,6808,36
lesquelles,340513,6807,36
conflit,510590,6806,36
plein,1396627,6809,36
puissance,529256,6809,36
note,882265,6808,36
trouvé,811274,6809,36
principaux,427855,6809,36
commencé,950933,6809,36
secteur,1750728,6809,36
anciens,809008,6808,36
scène,1841194,6809,36
lesquels,453690,6808,36
charge,1663805,6809,36
porter,720236,6809,36
petits,1583515,6809,36
vote,989723,6806,36
l'égard,179515,6799,36
allemand,454212,6807,36
compagnie,1102606,6809,36
l'administration,353962,6804,36
intérêts,325171,6801,36
grave,475510,6809,36
participation,960239,6808,36
obtenir,505977,6809,36
robert,589104,6808,36
manque,1111820,6809,36
source,1280698,6809,36
finances,640853,6802,36
constitution,266810,6801,36
construction,869556,6808,36
cinquante,257806,6799,36
passage,1123088,6809,36
poursuit,1095632,6809,36
américaines,351106,6805,36
siège,545299,6807,36
juge,823889,6809,36
officiel,397367,6809,36
gros,1160636,6809,36
femmes,2099530,6809,36
l'idée,1026867,6809,36
déclare,353613,6807,36
