mot,cle,jours_actifs,total
réunion,reunion,26331,289555
presque,presque,26328,292924
base,base,26325,283767
dû,du,26320,249660
prise,prise,26320,277823
long,long,26320,336618
résultats,resultats,26315,300752
homme,homme,26315,389150
militaires,militaires,26314,281529
l'état,l'etat,26313,401354
l'intérieur,l'interieur,26312,281585
justice,justice,26307,409999
exemple,exemple,26305,385743
environ,environ,26305,288294
départ,depart,26303,264356
système,systeme,26302,472244
s'était,s'etait,26301,240909
jeune,jeune,26298,460282
peine,peine,26298,297325
rendu,rendu,26297,198383
certain,certain,26294,245410
donne,donne,26293,267367
an,an,26293,443940
vu,vu,26288,325340
communiqué,communique,26286,266624
main,main,26286,289149
publié,publie,26284,243734
volonté,volonte,26283,261963
présent,present,26275,236697
manière,maniere,26274,359776
faveur,faveur,26273,235234
plupart,plupart,26273,270093
trouver,trouver,26272,266901
washington,washington,26271,280098
l'année,l'annee,26269,378185
cadre,cadre,26269,336892
semaines,semaines,26267,299369
création,creation,26265,346931
peuple,peuple,26262,269542
particulièrement,particulierement,26259,228186
voie,voie,26258,245411
autant,autant,26256,364463
texte,texte,26246,366387
vrai,vrai,26246,280799
chose,chose,26246,317292
tenu,tenu,26246,205725
campagne,campagne,26243,404407
londres,londres,26240,277274
dimanche,dimanche,26239,484153
juillet,juillet,26237,631508
jeunes,jeunes,26235,563868
particulier,particulier,26231,258966
l'organisation,l'organisation,26226,265249
journée,journee,26226,247480
garde,garde,26225,277225
écrit,ecrit,26222,277210
moyen,moyen,26221,262941
janvier,janvier,26220,678465
comité,comite,26219,367217
nécessaire,necessaire,26217,212268
désormais,desormais,26215,435697
contraire,contraire,26214,216946
lutte,lutte,26214,278726
production,production,26211,383635
société,societe,26210,701476
besoin,besoin,26209,272305
l'ancien,l'ancien,26209,347278
ajouté,ajoute,26208,205548
international,international,26206,293837
ministres,ministres,26202,289318
important,important,26200,228664
corps,corps,26195,289105
discours,discours,26191,266432
élections,elections,26191,363134
plutôt,plutot,26189,346098
relations,relations,26185,308256
libre,libre,26185,219817
premières,premieres,26183,222385
population,population,26182,316387
crise,crise,26182,496315
second,second,26181,263305
gauche,gauche,26179,573687
demi,demi,26178,222985
simple,simple,26177,242510
d'autre,d'autre,26172,335876
l'assemblée,l'assemblee,26169,382304
seconde,seconde,26169,209218
septembre,septembre,26166,670062
