media_a,media_b,annee,tranche,n,echo
lemonde,ouestfrance,2014,0,758,59
lemonde,ouestfrance,2014,1,294,37
lemonde,ouestfrance,2014,2,214,44
lemonde,ouestfrance,2014,3,139,32
lemonde,ouestfrance,2015,0,706,71
lemonde,ouestfrance,2015,1,314,59
lemonde,ouestfrance,2015,2,224,58
lemonde,ouestfrance,2015,3,179,59
lemonde,ouestfrance,2016,0,733,79
lemonde,ouestfrance,2016,1,263,51
lemonde,ouestfrance,2016,2,201,42
lemonde,ouestfrance,2016,3,141,47
lemonde,ouestfrance,2017,0,685,71
lemonde,ouestfrance,2017,1,300,64
lemonde,ouestfrance,2017,2,222,59
lemonde,ouestfrance,2017,3,203,67
lemonde,ouestfrance,2018,0,753,98
lemonde,ouestfrance,2018,1,299,48
lemonde,ouestfrance,2018,2,236,31
lemonde,ouestfrance,2018,3,178,37
lemonde,ouestfrance,2019,0,817,95
lemonde,ouestfrance,2019,1,360,41
lemonde,ouestfrance,2019,2,243,35
lemonde,ouestfrance,2019,3,244,35
lemonde,ouestfrance,2020,0,794,162
lemonde,ouestfrance,2020,1,296,74
lemonde,ouestfrance,2020,2,242,66
lemonde,ouestfrance,2020,3,164,50
lemonde,ouestfrance,2021,0,695,102
lemonde,ouestfrance,2021,1,279,53
lemonde,ouestfrance,2021,2,164,40
lemonde,ouestfrance,2021,3,120,26
lemonde,ouestfrance,2022,0,1281,103
lemonde,ouestfrance,2022,1,517,74
lemonde,ouestfrance,2022,2,405,76
lemonde,ouestfrance,2022,3,307,47
lemonde,ouestfrance,2023,0,673,104
lemonde,ouestfrance,2023,1,243,38
lemonde,ouestfrance,2023,2,149,35
lemonde,ouestfrance,2023,3,78,17
lemonde,ouestfrance,2024,0,626,117
lemonde,ouestfrance,2024,1,221,47
lemonde,ouestfrance,2024,2,158,50
lemonde,ouestfrance,2024,3,140,47
lemonde,ouestfrance,2025,0,575,80
lemonde,ouestfrance,2025,1,225,44
lemonde,ouestfrance,2025,2,159,44
lemonde,ouestfrance,2025,3,95,26
lemonde,mediapart,2008,0,804,51
lemonde,mediapart,2008,1,326,37
lemonde,mediapart,2008,2,245,23
lemonde,mediapart,2008,3,167,25
lemonde,mediapart,2009,0,906,44
lemonde,mediapart,2009,1,349,26
lemonde,mediapart,2009,2,261,22
lemonde,mediapart,2009,3,206,26
lemonde,mediapart,2010,0,994,57
lemonde,mediapart,2010,1,386,35
lemonde,mediapart,2010,2,307,30
lemonde,mediapart,2010,3,251,38
lemonde,mediapart,2011,0,931,58
lemonde,mediapart,2011,1,349,31
lemonde,mediapart,2011,2,289,29
lemonde,mediapart,2011,3,188,38
lemonde,mediapart,2012,0,849,58
lemonde,mediapart,2012,1,320,24
lemonde,mediapart,2012,2,262,38
lemonde,mediapart,2012,3,204,49
lemonde,mediapart,2013,0,738,44
lemonde,mediapart,2013,1,287,30
lemonde,mediapart,2013,2,191,19
lemonde,mediapart,2013,3,144,17
lemonde,mediapart,2014,0,775,53
lemonde,mediapart,2014,1,312,21
lemonde,mediapart,2014,2,222,33
lemonde,mediapart,2014,3,137,25
lemonde,mediapart,2015,0,760,62
lemonde,mediapart,2015,1,321,30
lemonde,mediapart,2015,2,230,26
lemonde,mediapart,2015,3,182,38
lemonde,mediapart,2016,0,757,40
lemonde,mediapart,2016,1,266,25
lemonde,mediapart,2016,2,201,28
lemonde,mediapart,2016,3,145,25
lemonde,mediapart,2017,0,744,52
lemonde,mediapart,2017,1,332,31
lemonde,mediapart,2017,2,244,27
lemonde,mediapart,2017,3,209,47
lemonde,mediapart,2018,0,809,41
lemonde,mediapart,2018,1,308,33
lemonde,mediapart,2018,2,244,15
lemonde,mediapart,2018,3,174,13
lemonde,mediapart,2019,0,842,63
lemonde,mediapart,2019,1,362,26
lemonde,mediapart,2019,2,233,24
lemonde,mediapart,2019,3,230,18
lemonde,mediapart,2020,0,822,61
lemonde,mediapart,2020,1,302,30
lemonde,mediapart,2020,2,241,34
lemonde,mediapart,2020,3,151,26
lemonde,mediapart,2021,0,735,64
lemonde,mediapart,2021,1,288,18
lemonde,mediapart,2021,2,162,28
lemonde,mediapart,2021,3,115,14
lemonde,mediapart,2022,0,1386,53
lemonde,mediapart,2022,1,562,31
lemonde,mediapart,2022,2,453,31
lemonde,mediapart,2022,3,318,27
lemonde,mediapart,2023,0,684,72
lemonde,mediapart,2023,1,239,25
lemonde,mediapart,2023,2,159,15
lemonde,mediapart,2023,3,69,10
lemonde,mediapart,2024,0,650,57
lemonde,mediapart,2024,1,216,23
lemonde,mediapart,2024,2,160,22
lemonde,mediapart,2024,3,128,31
lemonde,mediapart,2025,0,619,29
lemonde,mediapart,2025,1,234,22
lemonde,mediapart,2025,2,150,26
lemonde,mediapart,2025,3,91,11
lefigaro,lemonde,2004,0,13,4
lefigaro,lemonde,2004,1,7,1
lefigaro,lemonde,2004,2,15,2
lefigaro,lemonde,2004,3,6,2
lefigaro,lemonde,2005,0,130,18
lefigaro,lemonde,2005,1,57,6
lefigaro,lemonde,2005,2,78,8
lefigaro,lemonde,2005,3,89,5
lefigaro,lemonde,2006,0,1457,198
lefigaro,lemonde,2006,1,675,126
lefigaro,lemonde,2006,2,492,126
lefigaro,lemonde,2006,3,296,103
lefigaro,lemonde,2007,0,1772,166
lefigaro,lemonde,2007,1,727,98
lefigaro,lemonde,2007,2,546,106
lefigaro,lemonde,2007,3,350,85
lefigaro,lemonde,2008,0,1688,197
lefigaro,lemonde,2008,1,687,118
lefigaro,lemonde,2008,2,460,81
