media_a,media_b,annee,tranche,n,echo
ouestfrance,mediapart,2009,1,936,24
ouestfrance,mediapart,2009,2,824,19
ouestfrance,mediapart,2009,3,627,19
ouestfrance,mediapart,2010,0,1252,34
ouestfrance,mediapart,2010,1,559,22
ouestfrance,mediapart,2010,2,542,26
ouestfrance,mediapart,2010,3,617,44
ouestfrance,mediapart,2011,0,1232,46
ouestfrance,mediapart,2011,1,624,29
ouestfrance,mediapart,2011,2,534,19
ouestfrance,mediapart,2011,3,576,58
ouestfrance,mediapart,2012,0,1016,37
ouestfrance,mediapart,2012,1,408,11
ouestfrance,mediapart,2012,2,344,21
ouestfrance,mediapart,2012,3,386,37
ouestfrance,mediapart,2013,0,785,17
ouestfrance,mediapart,2013,1,317,5
ouestfrance,mediapart,2013,2,212,2
ouestfrance,mediapart,2013,3,274,9
ouestfrance,mediapart,2014,0,729,19
ouestfrance,mediapart,2014,1,328,15
ouestfrance,mediapart,2014,2,257,24
ouestfrance,mediapart,2014,3,386,30
ouestfrance,mediapart,2015,0,606,23
ouestfrance,mediapart,2015,1,273,12
ouestfrance,mediapart,2015,2,200,19
ouestfrance,mediapart,2015,3,272,37
ouestfrance,mediapart,2016,0,488,23
ouestfrance,mediapart,2016,1,200,11
ouestfrance,mediapart,2016,2,153,14
ouestfrance,mediapart,2016,3,194,24
ouestfrance,mediapart,2017,0,517,29
ouestfrance,mediapart,2017,1,202,14
ouestfrance,mediapart,2017,2,180,18
ouestfrance,mediapart,2017,3,244,51
ouestfrance,mediapart,2018,0,576,29
ouestfrance,mediapart,2018,1,215,9
ouestfrance,mediapart,2018,2,172,15
ouestfrance,mediapart,2018,3,213,16
ouestfrance,mediapart,2019,0,542,33
ouestfrance,mediapart,2019,1,218,21
ouestfrance,mediapart,2019,2,183,12
ouestfrance,mediapart,2019,3,252,25
ouestfrance,mediapart,2020,0,856,58
ouestfrance,mediapart,2020,1,443,24
ouestfrance,mediapart,2020,2,531,42
ouestfrance,mediapart,2020,3,640,66
ouestfrance,mediapart,2021,0,544,25
ouestfrance,mediapart,2021,1,248,15
ouestfrance,mediapart,2021,2,179,13
ouestfrance,mediapart,2021,3,239,27
ouestfrance,mediapart,2022,0,553,33
ouestfrance,mediapart,2022,1,229,17
ouestfrance,mediapart,2022,2,201,17
ouestfrance,mediapart,2022,3,294,42
ouestfrance,mediapart,2023,0,514,28
ouestfrance,mediapart,2023,1,269,20
ouestfrance,mediapart,2023,2,173,17
ouestfrance,mediapart,2023,3,227,19
ouestfrance,mediapart,2024,0,640,22
ouestfrance,mediapart,2024,1,298,20
ouestfrance,mediapart,2024,2,266,27
ouestfrance,mediapart,2024,3,352,51
ouestfrance,mediapart,2025,0,580,24
ouestfrance,mediapart,2025,1,227,8
ouestfrance,mediapart,2025,2,183,14
ouestfrance,mediapart,2025,3,181,21
ouestfrance,mediapart,2026,0,503,29
ouestfrance,mediapart,2026,1,224,22
ouestfrance,mediapart,2026,2,229,15
ouestfrance,mediapart,2026,3,266,32
mediapart,lemonde,2008,0,561,68
mediapart,lemonde,2008,1,240,32
mediapart,lemonde,2008,2,156,21
mediapart,lemonde,2008,3,162,24
mediapart,lemonde,2009,0,686,44
mediapart,lemonde,2009,1,290,38
mediapart,lemonde,2009,2,197,28
mediapart,lemonde,2009,3,183,25
mediapart,lemonde,2010,0,659,78
mediapart,lemonde,2010,1,255,25
mediapart,lemonde,2010,2,192,28
mediapart,lemonde,2010,3,186,34
mediapart,lemonde,2011,0,756,58
mediapart,lemonde,2011,1,312,42
mediapart,lemonde,2011,2,212,19
mediapart,lemonde,2011,3,220,37
mediapart,lemonde,2012,0,785,56
mediapart,lemonde,2012,1,342,33
mediapart,lemonde,2012,2,231,27
mediapart,lemonde,2012,3,222,34
mediapart,lemonde,2013,0,802,57
mediapart,lemonde,2013,1,339,29
mediapart,lemonde,2013,2,239,16
mediapart,lemonde,2013,3,254,18
mediapart,lemonde,2014,0,807,70
mediapart,lemonde,2014,1,353,34
mediapart,lemonde,2014,2,249,25
mediapart,lemonde,2014,3,232,19
mediapart,lemonde,2015,0,831,76
mediapart,lemonde,2015,1,364,23
mediapart,lemonde,2015,2,250,20
mediapart,lemonde,2015,3,230,24
mediapart,lemonde,2016,0,812,55
mediapart,lemonde,2016,1,336,24
mediapart,lemonde,2016,2,201,16
mediapart,lemonde,2016,3,207,16
mediapart,lemonde,2017,0,825,72
mediapart,lemonde,2017,1,338,35
mediapart,lemonde,2017,2,218,27
mediapart,lemonde,2017,3,215,23
mediapart,lemonde,2018,0,629,51
mediapart,lemonde,2018,1,225,18
mediapart,lemonde,2018,2,159,18
mediapart,lemonde,2018,3,185,19
mediapart,lemonde,2019,0,656,55
mediapart,lemonde,2019,1,218,28
mediapart,lemonde,2019,2,160,20
mediapart,lemonde,2019,3,177,19
mediapart,lemonde,2020,0,695,78
mediapart,lemonde,2020,1,289,36
mediapart,lemonde,2020,2,156,16
mediapart,lemonde,2020,3,148,23
mediapart,lemonde,2021,0,572,41
mediapart,lemonde,2021,1,186,22
mediapart,lemonde,2021,2,125,17
mediapart,lemonde,2021,3,161,18
mediapart,lemonde,2022,0,526,65
mediapart,lemonde,2022,1,194,27
mediapart,lemonde,2022,2,105,17
mediapart,lemonde,2022,3,152,15
mediapart,lemonde,2023,0,556,58
mediapart,lemonde,2023,1,202,16
mediapart,lemonde,2023,2,93,8
mediapart,lemonde,2023,3,161,12
mediapart,lemonde,2024,0,428,62
mediapart,lemonde,2024,1,133,20
mediapart,lemonde,2024,2,80,16
mediapart,lemonde,2024,3,126,5
mediapart,lemonde,2025,0,424,46
mediapart,lemonde,2025,1,133,16
mediapart,lemonde,2025,2,103,11
mediapart,lemonde,2025,3,120,10
mediapart,lefigaro,2008,0,548,41
mediapart,lefigaro,2008,1,237,21
mediapart,lefigaro,2008,2,159,27
mediapart,lefigaro,2008,3,165,16
mediapart,lefigaro,2009,0,677,44
mediapart,lefigaro,2009,1,296,31
mediapart,lefigaro,2009,2,205,29
mediapart,lefigaro,2009,3,185,23
mediapart,lefigaro,2010,0,648,57
mediapart,lefigaro,2010,1,255,14
mediapart,lefigaro,2010,2,199,23
mediapart,lefigaro,2010,3,194,24
mediapart,lefigaro,2011,0,763,66
mediapart,lefigaro,2011,1,308,25
mediapart,lefigaro,2011,2,216,22
mediapart,lefigaro,2011,3,223,24
mediapart,lefigaro,2012,0,784,50
mediapart,lefigaro,2012,1,343,37
mediapart,lefigaro,2012,2,230,21
mediapart,lefigaro,2012,3,221,28
mediapart,lefigaro,2013,0,808,50
mediapart,lefigaro,2013,1,334,26
mediapart,lefigaro,2013,2,245,21
mediapart,lefigaro,2013,3,260,24
mediapart,lefigaro,2014,0,822,75
mediapart,lefigaro,2014,1,356,31
mediapart,lefigaro,2014,2,246,30
mediapart,lefigaro,2014,3,230,21
mediapart,lefigaro,2015,0,826,69
mediapart,lefigaro,2015,1,367,25
mediapart,lefigaro,2015,2,253,18
mediapart,lefigaro,2015,3,233,21
mediapart,lefigaro,2016,0,820,50
mediapart,lefigaro,2016,1,335,19
mediapart,lefigaro,2016,2,205,13
mediapart,lefigaro,2016,3,219,15
mediapart,lefigaro,2017,0,836,62
mediapart,lefigaro,2017,1,347,31
mediapart,lefigaro,2017,2,225,22
mediapart,lefigaro,2017,3,219,30
mediapart,lefigaro,2018,0,633,46
mediapart,lefigaro,2018,1,233,24
mediapart,lefigaro,2018,2,165,11
mediapart,lefigaro,2018,3,191,16
mediapart,lefigaro,2019,0,663,62
mediapart,lefigaro,2019,1,228,21
mediapart,lefigaro,2019,2,166,18
mediapart,lefigaro,2019,3,181,15
mediapart,lefigaro,2020,0,701,72
mediapart,lefigaro,2020,1,299,32
mediapart,lefigaro,2020,2,161,24
mediapart,lefigaro,2020,3,154,20
mediapart,lefigaro,2021,0,589,39
mediapart,lefigaro,2021,1,183,15
mediapart,lefigaro,2021,2,130,5
mediapart,lefigaro,2021,3,167,14
mediapart,lefigaro,2022,0,521,44
mediapart,lefigaro,2022,1,193,25
mediapart,lefigaro,2022,2,101,10
mediapart,lefigaro,2022,3,153,11
mediapart,lefigaro,2023,0,550,35
mediapart,lefigaro,2023,1,198,9
mediapart,lefigaro,2023,2,96,14
mediapart,lefigaro,2023,3,163,9
mediapart,lefigaro,2024,0,78,4
mediapart,lefigaro,2024,1,24,2
mediapart,lefigaro,2024,2,12,4
mediapart,lefigaro,2024,3,22,1
mediapart,ouestfrance,2008,0,492,34
mediapart,ouestfrance,2008,1,209,17
mediapart,ouestfrance,2008,2,141,18
mediapart,ouestfrance,2008,3,140,7
mediapart,ouestfrance,2009,0,592,69
mediapart,ouestfrance,2009,1,262,19
mediapart,ouestfrance,2009,2,179,10
mediapart,ouestfrance,2009,3,161,18
mediapart,ouestfrance,2010,0,589,58
mediapart,ouestfrance,2010,1,234,18
mediapart,ouestfrance,2010,2,178,20
mediapart,ouestfrance,2010,3,171,23
mediapart,ouestfrance,2011,0,673,62
mediapart,ouestfrance,2011,1,271,32
mediapart,ouestfrance,2011,2,189,16
mediapart,ouestfrance,2011,3,191,25
mediapart,ouestfrance,2012,0,691,38
mediapart,ouestfrance,2012,1,312,27
mediapart,ouestfrance,2012,2,214,13
mediapart,ouestfrance,2012,3,193,18
mediapart,ouestfrance,2013,0,691,21
mediapart,ouestfrance,2013,1,300,14
mediapart,ouestfrance,2013,2,224,11
mediapart,ouestfrance,2013,3,227,12
mediapart,ouestfrance,2014,0,717,42
mediapart,ouestfrance,2014,1,327,22
mediapart,ouestfrance,2014,2,230,17
mediapart,ouestfrance,2014,3,203,9
mediapart,ouestfrance,2015,0,725,40
mediapart,ouestfrance,2015,1,313,14
mediapart,ouestfrance,2015,2,236,11
mediapart,ouestfrance,2015,3,209,10
mediapart,ouestfrance,2016,0,740,35
mediapart,ouestfrance,2016,1,299,11
mediapart,ouestfrance,2016,2,178,11
mediapart,ouestfrance,2016,3,197,17
mediapart,ouestfrance,2017,0,735,45
mediapart,ouestfrance,2017,1,298,27
mediapart,ouestfrance,2017,2,198,16
mediapart,ouestfrance,2017,3,194,13
mediapart,ouestfrance,2018,0,544,28
mediapart,ouestfrance,2018,1,199,12
mediapart,ouestfrance,2018,2,145,5
mediapart,ouestfrance,2018,3,158,11
mediapart,ouestfrance,2019,0,562,38
mediapart,ouestfrance,2019,1,195,12
mediapart,ouestfrance,2019,2,139,9
mediapart,ouestfrance,2019,3,154,16
mediapart,ouestfrance,2020,0,632,66
mediapart,ouestfrance,2020,1,280,33
mediapart,ouestfrance,2020,2,145,19
mediapart,ouestfrance,2020,3,132,13
mediapart,ouestfrance,2021,0,524,26
mediapart,ouestfrance,2021,1,175,12
mediapart,ouestfrance,2021,2,111,10
mediapart,ouestfrance,2021,3,138,12
mediapart,ouestfrance,2022,0,460,41
mediapart,ouestfrance,2022,1,176,14
mediapart,ouestfrance,2022,2,94,12
mediapart,ouestfrance,2022,3,140,10
mediapart,ouestfrance,2023,0,496,29
mediapart,ouestfrance,2023,1,184,9
mediapart,ouestfrance,2023,2,87,7
mediapart,ouestfrance,2023,3,144,10
mediapart,ouestfrance,2024,0,387,47
mediapart,ouestfrance,2024,1,130,10
mediapart,ouestfrance,2024,2,76,13
mediapart,ouestfrance,2024,3,114,6
mediapart,ouestfrance,2025,0,365,20
mediapart,ouestfrance,2025,1,120,12
mediapart,ouestfrance,2025,2,101,12
mediapart,ouestfrance,2025,3,110,7
mediapart,ouestfrance,2026,0,320,34
mediapart,ouestfrance,2026,1,93,8
mediapart,ouestfrance,2026,2,63,7
mediapart,ouestfrance,2026,3,61,2
